pitcher,name,Team,IP,ERA,ERA_adj_sc,FIP,xFIP,xERA,ERA_minus_FIP,ERA_minus_xERA,BABIP_allowed,lob_pct,hr_fb_rate,hard_hit_rate_allowed,barrel_rate_allowed,swstr_rate,k_pct,bb_pct,G,GS,TBF,key_fangraphs,fg_swstr_rate,fg_hr_fb_rate,BABIP_allowed_all,xERA_all,IP_sc,IP_sc_adj,RA_sc,FIP_sc,FIP_sc_all,lob_pct_sc,ERA_all_sc,park_factor,park_change,park_change_label,career_babip_allowed,career_hh_allowed,career_barrel_allowed,babip_baseline,_age_babip,age_adj_career_babip,park_adj_babip_expected,xwoba_gap,gb_pct,luck_score,conf_phase,career_ip,birth_year,age,fip_minus,pitcher_quality_tier,rtm_signal,rtm_confluence,amplification_cap_applied,stuff_plus_avg,best_pitch_type,stuff_plus_signal,total_starts,disaster_starts,disaster_rate,qs_count,qs_rate,start_variance,volatility_flag,volatility_label,pitch_mix_signal,pitch_mix_note,verdict,raw_buy_score,buy_qualified,lob_confluence_flag,curr_csw,career_csw_p,csw_gap,tier_sell,age_flag,owned_pct,fp_rank,contract_year,player_name,team,ip,player_type,role_override,curr_pitch_types,new_pitches,dropped_pitches,curr_swstr_overall,career_swstr_overall,swstr_gap,curr_primary_velo,career_primary_velo,velo_gap,cbs_rank
663947,Tyler Holton,DET,19.7,5.95,0.0,1.06,,-0.444,4.89,6.39,0.0,,,0.319,0.035,0.087,,,,,,26231.0,,,0.3492063492063492,4.6876023,19.666666666666668,2.0,0.0,1.0579831932773107,4.855531463402309,,5.95,1.0,False,,0.243,0.3438,0.0668,0.243,30,0.243,0.243,0.0275,0.47,0.4159,May,276.2,1996,30,28.0,Elite (FIP-<80),1.504,No confluence,False,,,,20,0,0.0,0,0.0,,False,,,,Neutral,2.9044,True,,0.2601,0.2975,-0.0374,,,0.68,138.0,False,Tyler Holton,DET,19.7,RP,False,"CH,CU,FC,FF,SI,ST","CH,CU,FC,FF,SI,ST",,0.0867,,,91.0,,,
592332,Kevin Gausman,TOR,51.7,4.18,4.18,3.23,,3.443,0.95,0.74,0.285,0.625,0.188,0.22,0.047,0.124,,,,,,14107.0,,,0.2847222222222222,3.4427236315789465,51.66666666666666,51.66666666666666,24.0,3.232176741664408,3.1992165372131343,0.625,4.18,1.0,False,,0.2873,0.414,0.0904,0.2873,35,0.293,0.293,-0.0093,0.408,0.4025,May,1928.1,1991,35,85.2,Above Avg (80-95),-0.213,Buy confluence,False,92.4,FS,,9,1,0.111,5,0.556,3.91,False,,0.0,,Buy low,0.5665,True,Low strand rate,0.2902,0.3116,-0.0214,,Age 35+ — monitor second half,95.47,78,False,Kevin Gausman,TOR,51.7,SP,False,"FF,FS,SL",SL,,0.1244,0.1697,-0.0453,93.8,94.55,-0.75,21
607625,Seth Lugo,KC,51.0,3.88,3.88,2.63,,4.836,1.25,-0.96,0.357,0.716,0.025,0.252,0.048,0.078,,,,,,12447.0,,,0.3571428571428571,4.836428303167422,51.0,51.0,22.0,2.626610644257702,2.5936504398064297,0.7162534435261708,3.88,1.0,False,,0.2866,0.413,0.0925,0.2866,37,0.2981,0.2981,-0.0202,0.385,0.4009,May,1010.2,1989,37,69.4,Elite (FIP-<80),-2.206,Buy confluence,False,104.4,SI,,9,0,0.0,4,0.444,4.28,True,High variance — signals less reliable,-0.08,velo_drop -0.08,Neutral,0.7538,True,,0.2573,0.2775,-0.0202,,Age 35+ — monitor second half,79.0,254,False,Seth Lugo,KC,51.0,SP,False,"CH,CS,CU,FC,FF,SI,SL,ST,SV","CH,CS,FC,SL,ST,SV",,0.0776,0.189,-0.1114,91.4,92.92,-1.52,63
623211,Huascar Brazobán,NYM,21.7,4.98,0.0,0.92,,-1.22,4.06,6.2,0.182,1.0,0.0,0.174,0.009,0.132,,,,,,6107.0,,,0.1896551724137931,1.7748046279069762,21.666666666666668,4.666666666666666,0.0,0.9151260504201676,3.2096383734414218,1.0,4.98,0.95,False,,0.2723,0.2905,0.0637,0.2723,37,0.2832,0.269,-0.0078,0.525,0.3931,May,213.2,1989,37,25.6,Elite (FIP-<80),2.14,No confluence,False,114.3,CH,Elite stuff+buy x1.15 (sp=114),19,0,0.0,0,0.0,0.0,False,,0.0,,Buy low,2.421,True,High strand rate,0.2651,0.3101,-0.045,,Age 35+ — monitor second half,0.42,197.0,False,Huascar Brazobán,NYM,21.7,RP,False,"CH,FC,FF,SI,SL","FC,FF,SI,SL",,0.1329,,,96.0,,,
547179,Michael Lorenzen,COL,43.7,7.17,7.17,4.86,,5.705,2.31,1.47,0.392,0.634,0.212,0.331,0.057,0.088,,,,,,14843.0,,,0.3846153846153846,5.69221403791469,43.66666666666666,42.66666666666666,34.0,4.862670693277311,4.857084057528327,0.634441087613293,7.01,1.18,True,Park change (KC->COL) - career baseline less reliable,0.2881,0.3917,0.0801,0.2881,34,0.2939,0.3468,0.05,0.472,0.3877,May,1010.0,1992,34,108.7,Below Avg (105-115),-0.845,Buy confluence,False,107.0,FF,,10,2,0.2,1,0.1,9.47,True,High variance — signals less reliable,0.0,,Neutral,1.4053,False,,0.2681,0.2733,-0.0052,,,0.74,395.0,False,Michael Lorenzen,COL,43.7,SP,False,"CH,CU,FC,FF,SI,SL,ST","CU,FC,SL,ST",,0.0877,0.177,-0.0893,93.7,94.18,-0.48,
701542,Will Warren,NYY,46.3,4.08,4.08,3.04,,2.853,1.04,1.23,0.308,0.697,0.171,0.247,0.036,0.102,,,,,,30182.0,,,0.3083333333333333,2.852581,46.333333333333336,46.333333333333336,21.0,3.036400459464361,3.003440255013088,0.6971153846153846,4.08,1.0,False,,0.3095,0.4599,0.1099,0.3095,27,0.3095,0.3095,0.0264,0.444,0.3757,May,203.1,1999,27,80.2,Above Avg (80-95),0.187,No confluence,False,100.3,ST,,9,1,0.111,2,0.222,3.76,False,,0.05,velo_gain +0.05,Buy low,0.6304,True,,0.3117,0.3277,-0.016,,,94.0,181,False,Will Warren,NYY,46.3,SP,False,"CH,CU,FF,SI,ST","CH,CU",,0.1022,,,93.7,,,52
670036,Matt Festa,CLE,19.7,7.32,4.15,1.9,,3.411,5.42,3.91,0.308,0.6,0.0,0.287,0.05,0.116,,,,,,19330.0,,,0.2631578947368421,3.2757449213483154,19.666666666666668,4.333333333333334,2.0,1.904137039431157,4.855531463402309,0.6,7.32,1.0,False,,0.2701,0.3294,0.0654,0.2701,33,0.2755,0.2755,0.0564,0.262,0.3603,May,181.0,1993,33,50.1,Elite (FIP-<80),-1.511,Buy confluence,False,,,,20,0,0.0,0,0.0,0.45,False,,,,Buy low,3.271,True,Low strand rate,0.3188,0.3981,-0.0793,,,0.23,190.0,False,Matt Festa,CLE,19.7,RP,False,"FC,FF,SI,ST,UN","FC,FF,SI,ST,UN",,0.1156,,,91.7,,,
670970,Adrián Morejón,SD,22.7,6.35,4.5,2.31,,0.625,4.04,5.72,0.333,0.0,1.0,0.181,0.019,0.179,,,,,,20039.0,,,0.3278688524590163,2.424854775510205,22.666666666666668,4.0,2.0,2.3079831932773107,2.6279641652966257,0.0,6.35,1.0,False,,0.28,0.3323,0.0702,0.28,27,0.28,0.28,0.0313,0.635,0.3578,May,220.0,1999,27,61.0,Elite (FIP-<80),1.685,No confluence,False,77.3,SI,,20,0,0.0,0,0.0,6.36,True,High variance — signals less reliable,0.02,abandonment -0.10 | velo_gain +0.05 | new_pitch +0.07,Buy low,2.4398,True,Low strand rate,0.3562,0.3367,0.0195,,,7.9,348,False,Adrián Morejón,SD,22.7,RP,False,"CH,FF,SI,SL","CH,FF,SL",,0.1794,0.1947,-0.0153,99.3,96.77,2.53,
596133,Luke Weaver,NYM,19.0,4.74,0.0,1.06,,-1.038,3.68,5.78,0.25,1.0,0.0,0.204,0.046,0.122,,,,,,16918.0,,,0.26,3.3344530759493667,19.0,2.0,0.0,1.0579831932773107,3.4987071993523533,1.0,4.74,0.95,True,Park change (NYY->NYM) - career baseline less reliable,0.3061,0.4121,0.0939,0.3061,33,0.3122,0.2966,-0.0119,0.491,0.3507,May,730.1,1993,33,29.4,Elite (FIP-<80),2.098,No confluence,False,98.3,FF,,18,0,0.0,0,0.0,,False,,0.0,,Neutral,2.198,True,,0.2958,0.2886,0.0072,,,3.83,379,False,Luke Weaver,NYM,19.0,RP,False,"CH,FC,FF","CH,FC",,0.1222,0.2321,-0.1099,94.8,94.93,-0.13,
608331,Max Fried,NYY,54.0,3.33,3.33,2.65,,1.629,0.68,1.7,0.267,0.677,0.028,0.2,0.011,0.103,,,,,,13743.0,,,0.2666666666666666,1.628523281105991,54.0,54.0,20.0,2.650575785869904,2.61761558141863,0.6770833333333334,3.33,1.0,False,,0.2747,0.3444,0.0515,0.2747,32,0.2747,0.2747,0.012,0.5,0.3426,May,1107.2,1994,32,69.9,Elite (FIP-<80),1.021,No confluence,False,95.2,FF,,9,1,0.111,4,0.444,3.56,False,,0.0,,Neutral,0.4098,True,,0.2792,0.2766,0.0026,,,99.66,29,False,Max Fried,NYY,54.0,SP,False,"CH,CU,FC,FF,SI,SL,ST","CH,SL,ST",,0.1035,0.1778,-0.0743,93.8,94.45,-0.65,15
