batter,name,apr_PA,apr_BABIP,apr_hard_hit_rate,apr_barrel_rate,apr_z_contact_rate,apr_hr_fb_rate,apr_BA,apr_wOBA,apr_HR_rate,apr_xBA,apr_xwOBA,luck_score,verdict,mj_PA,mj_BABIP,mj_BA,mj_wOBA,mj_HR_rate,year,delta_BABIP,delta_BA,delta_wOBA,delta_HR_rate,xwOBA_gap,xBA_gap
516782,Starling Marte,96,0.2647,0.21481481481481482,0.07246376811594203,0.856,0.0588,0.2235,0.284375,0.0104,0.31220289855072464,0.33402072028239793,0.1756,Buy low,237,0.3274,0.2646,0.29261603375527423,0.0169,2023,0.0627,0.041,0.0082,0.0065,0.0496,0.0887
518692,Freddie Freeman,130,0.3295,0.23243243243243245,0.08791208791208792,0.8547,0.1905,0.2895,0.36923076923076925,0.0308,0.4014888888888889,0.4135288783385842,-0.153,Sell high,347,0.3805,0.3355,0.4462536023054755,0.049,2023,0.051,0.046,0.077,0.0182,0.0443,0.112
518735,Yasmani Grandal,93,0.2931,0.1926605504587156,0.04918032786885246,0.8431,0.2,0.241,0.34408602150537637,0.0323,0.29645901639344263,0.31462634408602147,0.0268,Neutral,210,0.3056,0.2552,0.3080952380952381,0.0238,2023,0.0125,0.0142,-0.036,-0.0084,-0.0295,0.0555
518792,Jason Heyward,62,0.2432,0.3815789473684211,0.125,0.8202,0.25,0.24,0.36854838709677423,0.0484,0.3474358974358975,0.4290375428647774,0.2813,Buy low,179,0.2768,0.2468,0.3505586592178771,0.0391,2023,0.0335,0.0068,-0.018,-0.0093,0.0605,0.1074
518934,Dj Lemahieu,99,0.3276,0.34234234234234234,0.08196721311475409,0.8879,0.2308,0.25,0.3323232323232323,0.0303,0.35785,0.3657780261950644,-0.1426,Sell high,263,0.2697,0.2227,0.2920152091254753,0.019,2023,-0.0579,-0.0273,-0.0403,-0.0113,0.0335,0.1078
519058,Mike Moustakas,56,0.2727,0.23076923076923078,0.029411764705882353,0.8,0.0909,0.2174,0.3,0.0179,0.30006451612903223,0.29844579081632655,0.1338,Buy low,184,0.3482,0.2798,0.358695652173913,0.0435,2023,0.0755,0.0624,0.0587,0.0256,-0.0016,0.0827
519203,Anthony Rizzo,119,0.3288,0.2578616352201258,0.08974358974358974,0.8904,0.1786,0.2816,0.3684873949579832,0.042,0.33187012987012987,0.3830334511893335,-0.1483,Sell high,298,0.2872,0.2285,0.30385906040268457,0.0235,2023,-0.0415,-0.0531,-0.0646,-0.0185,0.0145,0.0503
519317,Giancarlo Stanton,54,0.2703,0.4461538461538462,0.225,0.8143,0.5,0.2692,0.3768518518518519,0.0741,0.3462,0.4279863042186572,0.1409,Buy low,176,0.1667,0.1709,0.28806818181818183,0.0568,2023,-0.1036,-0.0983,-0.0888,-0.0173,0.0511,0.077
521692,Salvador Pérez,108,0.3,0.2792207792207792,0.07317073170731707,0.8443,0.0909,0.2673,0.32546296296296295,0.0278,0.3281975308641975,0.3454503791650073,-0.0005,Neutral,283,0.2784,0.236,0.3047703180212014,0.0495,2023,-0.0216,-0.0314,-0.0207,0.0217,0.02,0.0609
527038,Wilmer Flores,81,0.2712,0.25396825396825395,0.06349206349206349,0.8812,0.2353,0.2632,0.34382716049382717,0.0494,0.3074920634920635,0.3613391128056161,0.1365,Buy low,187,0.3231,0.3114,0.3991978609625669,0.0535,2023,0.0519,0.0482,0.0554,0.0041,0.0175,0.0443
542194,Christian Bethancourt,66,0.2564,0.3170731707317073,0.18181818181818182,0.8372,0.3333,0.25,0.3757575757575758,0.0758,0.348953488372093,0.4188480820163356,0.2121,Buy low,168,0.2672,0.2037,0.23720238095238097,0.0119,2023,0.0108,-0.0463,-0.1386,-0.0639,0.0431,0.099
542303,Marcell Ozuna,67,0.0769,0.2222222222222222,0.12195121951219512,0.7347,0.1667,0.0847,0.20223880597014926,0.0299,0.2536829268292683,0.2948465389696733,1.113,Buy low,286,0.2857,0.2703,0.3858391608391608,0.0699,2023,0.2088,0.1855,0.1836,0.0401,0.0926,0.1689
542932,Jon Berti,91,0.2812,0.2018348623853211,0.04477611940298507,0.856,0.1053,0.2439,0.2934065934065934,0.022,0.3475230769230769,0.34204387919772533,0.0898,Slight buy,203,0.3922,0.3125,0.3359605911330049,0.0,2023,0.1109,0.0686,0.0426,-0.022,0.0486,0.1036
543063,Brandon Crawford,78,0.1778,0.18181818181818182,0.10204081632653061,0.8182,0.2667,0.169,0.2621794871794872,0.0513,0.2776938775510204,0.3037165242165242,0.6023,Buy low,153,0.3,0.2279,0.2839869281045752,0.0065,2023,0.1222,0.0589,0.0218,-0.0447,0.0415,0.1087
543068,C. j. Cron,103,0.2769,0.3130434782608696,0.16901408450704225,0.752,0.2857,0.2424,0.3179611650485437,0.0583,0.34483098591549294,0.3719531769740508,0.1118,Slight buy,126,0.2921,0.2719,0.3472222222222222,0.0397,2023,0.0152,0.0295,0.0293,-0.0186,0.054,0.1024
543228,Yan Gomes,70,0.2727,0.29347826086956524,0.11666666666666667,0.9178,0.2273,0.2985,0.3735714285714286,0.0714,0.29691525423728815,0.3820867936507937,0.1314,Buy low,190,0.3359,0.2791,0.3413157894736842,0.0211,2023,0.0632,-0.0194,-0.0323,-0.0504,0.0085,-0.0016
