pitcher,game_pk,start_ip,start_ra,start_era,qualifying,is_qs,is_disaster
543243,823723,3.6666666666666665,5.0,12.27,True,False,True
543243,824540,3.6666666666666665,4.0,9.82,True,False,False
543243,824776,2.6666666666666665,1.0,3.38,True,False,False
543243,824779,6.333333333333333,0.0,0.0,True,True,False
543243,824786,6.0,2.0,3.0,True,True,False
543510,825105,1.0,5.0,45.0,False,False,False
544150,824451,2.0,1.0,4.5,True,False,False
544150,824851,3.6666666666666665,4.0,9.82,True,False,False
544150,824856,1.6666666666666667,3.0,16.2,False,False,False
544150,824858,2.0,0.0,0.0,True,False,False
544150,824860,3.0,1.0,3.0,True,False,False
547179,823316,1.0,0.0,0.0,False,False,False
547179,823638,7.0,1.0,1.29,True,True,False
547179,823892,4.333333333333333,3.0,6.23,True,False,False
547179,824210,2.6666666666666665,7.0,23.62,True,False,True
547179,824371,5.0,3.0,5.4,True,False,False
547179,824374,5.666666666666667,1.0,1.59,True,False,False
547179,824377,3.0,9.0,27.0,True,False,True
547184,822838,1.3333333333333333,1.0,6.75,False,False,False
547184,824943,1.0,1.0,9.0,False,False,False
547184,825026,1.0,1.0,9.0,False,False,False
547184,825027,1.0,0.0,0.0,False,False,False
547973,823723,1.0,0.0,0.0,False,False,False
547973,824540,1.0,0.0,0.0,False,False,False
547973,824541,1.0,0.0,0.0,False,False,False
547973,824776,0.6666666666666666,2.0,27.0,False,False,False
547973,824778,0.6666666666666666,0.0,0.0,False,False,False
547973,824780,1.0,0.0,0.0,False,False,False
547973,824782,1.0,1.0,9.0,False,False,False
547973,824786,1.0,0.0,0.0,False,False,False
547973,824852,1.0,0.0,0.0,False,False,False
548384,823078,1.0,0.0,0.0,False,False,False
548384,823080,1.0,0.0,0.0,False,False,False
548384,823240,0.6666666666666666,1.0,13.5,False,False,False
548384,823637,1.0,0.0,0.0,False,False,False
548384,823641,0.6666666666666666,0.0,0.0,False,False,False
548384,823644,1.0,0.0,0.0,False,False,False
548384,823648,1.0,0.0,0.0,False,False,False
548384,823651,1.0,0.0,0.0,False,False,False
548384,823965,1.0,1.0,9.0,False,False,False
548384,824691,0.6666666666666666,0.0,0.0,False,False,False
548384,824694,0.6666666666666666,3.0,40.5,False,False,False
552640,824852,1.0,0.0,0.0,False,False,False
552640,824854,1.0,0.0,0.0,False,False,False
554430,824933,5.0,2.0,3.6,True,False,False
571510,823311,4.0,4.0,9.0,True,False,False
571510,824688,4.666666666666667,2.0,3.86,True,False,False
571510,824698,5.333333333333333,0.0,0.0,True,False,False
571510,824704,3.3333333333333335,5.0,13.5,True,False,True
571578,822824,4.333333333333333,2.0,4.15,True,False,False
571578,822829,4.0,4.0,9.0,True,False,False
571578,823801,5.0,1.0,1.8,True,False,False
571578,824045,5.0,1.0,1.8,True,False,False
571927,822995,3.0,4.0,12.0,True,False,True
571927,822997,5.0,2.0,3.6,True,False,False
571927,823079,5.0,4.0,7.2,True,False,False
571927,823730,6.0,1.0,1.5,True,True,False
571927,824446,7.0,2.0,2.57,True,True,False
571927,824614,5.0,1.0,1.8,True,False,False
571945,822750,4.0,0.0,0.0,True,False,False
571945,822753,3.0,2.0,6.0,True,False,False
571945,822758,4.333333333333333,10.0,20.77,True,False,True
571945,823398,3.3333333333333335,3.0,8.1,True,False,False
571945,824611,3.3333333333333335,1.0,2.7,True,False,False
571945,824701,5.0,6.0,10.8,True,False,True
571948,822999,1.3333333333333333,0.0,0.0,False,False,False
571948,823000,1.0,0.0,0.0,False,False,False
571948,823959,1.0,2.0,18.0,False,False,False
571948,824458,1.3333333333333333,1.0,6.75,False,False,False
571948,824459,1.0,0.0,0.0,False,False,False
571948,824688,1.0,0.0,0.0,False,False,False
571948,824689,0.6666666666666666,0.0,0.0,False,False,False
571948,824692,1.3333333333333333,0.0,0.0,False,False,False
571948,824693,1.0,0.0,0.0,False,False,False
571948,824697,1.0,0.0,0.0,False,False,False
571948,824699,0.3333333333333333,0.0,0.0,False,False,False
571948,824700,1.0,2.0,18.0,False,False,False
571948,824704,1.0,0.0,0.0,False,False,False
572143,824288,1.3333333333333333,0.0,0.0,False,False,False
572143,824527,2.0,0.0,0.0,True,False,False
572955,822917,0.6666666666666666,0.0,0.0,False,False,False
572955,822994,1.0,0.0,0.0,False,False,False
572955,822995,1.0,0.0,0.0,False,False,False
572955,823721,1.0,0.0,0.0,False,False,False
572955,823885,1.0,0.0,0.0,False,False,False
572955,823887,0.6666666666666666,0.0,0.0,False,False,False
572955,824528,0.6666666666666666,2.0,27.0,False,False,False
572955,824529,1.0,0.0,0.0,False,False,False
572955,824532,1.0,0.0,0.0,False,False,False
572955,824535,1.3333333333333333,0.0,0.0,False,False,False
572955,824537,1.0,2.0,18.0,False,False,False
572955,824538,0.6666666666666666,0.0,0.0,False,False,False
572955,824540,0.6666666666666666,0.0,0.0,False,False,False
572955,824541,0.3333333333333333,1.0,27.0,False,False,False
573009,822825,1.0,0.0,0.0,False,False,False
573009,822827,1.6666666666666667,0.0,0.0,False,False,False
573009,822828,1.6666666666666667,2.0,10.8,False,False,False
573009,822829,1.0,0.0,0.0,False,False,False
573009,822832,0.6666666666666666,1.0,13.5,False,False,False
573009,823801,1.0,1.0,9.0,False,False,False
573009,824044,1.3333333333333333,0.0,0.0,False,False,False
573009,824620,1.3333333333333333,0.0,0.0,False,False,False
573009,825101,1.0,1.0,9.0,False,False,False
573124,822829,1.3333333333333333,1.0,6.75,False,False,False
573124,822989,0.0,1.0,,False,False,False
573124,823641,0.3333333333333333,0.0,0.0,False,False,False
573124,823718,0.6666666666666666,0.0,0.0,False,False,False
573124,823719,1.0,0.0,0.0,False,False,False
573124,823723,1.0,0.0,0.0,False,False,False
573124,823727,1.0,1.0,9.0,False,False,False
573124,823729,0.6666666666666666,1.0,13.5,False,False,False
573124,823730,0.6666666666666666,2.0,27.0,False,False,False
573124,824133,0.3333333333333333,0.0,0.0,False,False,False
573124,824135,1.0,0.0,0.0,False,False,False
573124,824865,1.0,0.0,0.0,False,False,False
573204,822999,0.3333333333333333,0.0,0.0,False,False,False
573204,823478,0.6666666666666666,0.0,0.0,False,False,False
573204,824459,1.3333333333333333,0.0,0.0,False,False,False
