batter,name,PA,BABIP,hard_hit_rate,barrel_rate,sweet_spot_rate,avg_exit_velocity,z_contact_rate,hr_fb_rate,pull_rate,o_swing_rate,gb_rate,fb_rate,bb_rate,k_rate,bb_k_ratio,wOBA,xwOBA
670541,Yordan Álvarez,125,0.325,0.511,0.191,0.287,94.19787234042553,0.947,0.275,0.489,0.261,0.266,0.426,0.144,0.08,1.8,0.511,0.589
668804,Bryan Reynolds,124,0.308,0.412,0.088,0.176,90.92647058823529,0.879,0.176,0.412,0.246,0.485,0.25,0.177,0.258,0.688,0.343,0.354
645277,Ozzie Albies,124,0.323,0.287,0.03,0.129,86.33960396039603,0.878,0.167,0.416,0.379,0.366,0.297,0.056,0.121,0.467,0.379,0.341
663586,Austin Riley,124,0.244,0.435,0.082,0.129,90.33176470588235,0.826,0.136,0.4,0.306,0.435,0.259,0.097,0.202,0.48,0.29,0.32
802139,JJ Wetherholt,123,0.253,0.456,0.076,0.127,89.31518987341772,0.857,0.179,0.5,0.22,0.4,0.35,0.122,0.179,0.682,0.346,0.375
671056,Iván Herrera,123,0.264,0.474,0.105,0.224,90.52105263157895,0.924,0.222,0.316,0.263,0.461,0.237,0.163,0.154,1.053,0.368,0.419
592450,Aaron Judge,122,0.263,0.544,0.265,0.294,93.16911764705883,0.766,0.5,0.456,0.25,0.368,0.324,0.172,0.246,0.7,0.455,0.497
691016,Tyler Soderstrom,122,0.244,0.482,0.129,0.247,90.03764705882352,0.872,0.107,0.412,0.305,0.4,0.329,0.115,0.189,0.609,0.322,0.35
695734,Daylen Lile,122,0.311,0.37,0.054,0.13,87.5554347826087,0.895,0.094,0.387,0.348,0.366,0.344,0.098,0.139,0.706,0.35,0.366
668227,Randy Arozarena,122,0.359,0.362,0.075,0.125,89.28875000000001,0.784,0.133,0.338,0.333,0.525,0.188,0.107,0.213,0.5,0.351,0.346
669127,Shea Langeliers,122,0.356,0.494,0.123,0.173,93.09012345679012,0.897,0.296,0.284,0.357,0.321,0.333,0.082,0.254,0.323,0.4,0.414
682829,Elly De la cruz,122,0.318,0.589,0.178,0.205,96.12465753424658,0.803,0.375,0.387,0.232,0.467,0.32,0.107,0.279,0.382,0.399,0.423
656941,Kyle Schwarber,121,0.216,0.508,0.203,0.237,93.00508474576272,0.797,0.348,0.552,0.229,0.339,0.39,0.157,0.322,0.487,0.364,0.419
607208,Trea Turner,121,0.253,0.36,0.047,0.093,89.29069767441861,0.867,0.1,0.267,0.313,0.407,0.349,0.099,0.19,0.522,0.297,0.313
686469,Vinnie Pasquantino,120,0.169,0.35,0.075,0.162,87.97375,0.879,0.13,0.5,0.312,0.362,0.288,0.125,0.2,0.625,0.281,0.31
663656,Kyle Tucker,120,0.286,0.4,0.075,0.175,88.62125,0.867,0.111,0.462,0.257,0.362,0.338,0.108,0.225,0.481,0.31,0.321
691406,Junior Caminero,120,0.238,0.446,0.109,0.163,91.80434782608695,0.858,0.381,0.391,0.309,0.457,0.228,0.075,0.158,0.474,0.345,0.377
624413,Pete Alonso,119,0.254,0.554,0.081,0.176,94.54324324324324,0.833,0.125,0.351,0.249,0.432,0.324,0.118,0.252,0.467,0.292,0.337
650490,Yandy Díaz,119,0.337,0.425,0.069,0.172,89.93333333333334,0.908,0.235,0.161,0.252,0.483,0.195,0.101,0.126,0.8,0.396,0.414
665487,Fernando Tatís,119,0.351,0.676,0.135,0.23,95.07432432432432,0.895,0.0,0.243,0.276,0.507,0.187,0.109,0.252,0.433,0.297,0.358
664023,Ian Happ,119,0.283,0.388,0.134,0.179,89.27910447761194,0.793,0.318,0.448,0.263,0.448,0.328,0.143,0.286,0.5,0.369,0.349
665489,Vladimir Guerrero,118,0.372,0.489,0.136,0.148,92.9715909090909,0.839,0.133,0.284,0.3,0.523,0.17,0.119,0.127,0.933,0.377,0.388
650402,Gleyber Torres,118,0.297,0.276,0.066,0.118,84.31447368421053,0.843,0.1,0.118,0.172,0.487,0.263,0.169,0.178,0.952,0.34,0.364
805808,Kevin McGonigle,118,0.345,0.43,0.14,0.221,89.45,0.912,0.062,0.384,0.205,0.291,0.372,0.136,0.127,1.067,0.402,0.42
701398,Sal Stewart,118,0.257,0.5,0.224,0.263,91.41973684210525,0.822,0.31,0.304,0.283,0.43,0.367,0.144,0.186,0.773,0.42,0.454
666182,Bo Bichette,118,0.299,0.466,0.034,0.102,91.57272727272726,0.92,0.077,0.193,0.4,0.557,0.148,0.051,0.203,0.25,0.272,0.334
672640,Otto Lopez,118,0.369,0.523,0.105,0.163,92.66627906976744,0.908,0.136,0.287,0.323,0.506,0.253,0.051,0.195,0.261,0.403,0.372
666018,Jonathan Aranda,118,0.231,0.394,0.113,0.183,90.45070422535211,0.879,0.24,0.324,0.288,0.338,0.352,0.153,0.237,0.643,0.346,0.387
596115,Trevor Story,118,0.26,0.44,0.027,0.08,89.26666666666667,0.808,0.105,0.373,0.445,0.467,0.253,0.051,0.314,0.162,0.26,0.256
665833,Oneil Cruz,117,0.339,0.657,0.239,0.284,97.22985074626865,0.746,0.444,0.47,0.343,0.463,0.269,0.077,0.342,0.225,0.383,0.395
