Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
Luis Tejeda,,0.040100001,0.057599999,0,5.966010153,1,0,0,0,,1,4.738999844,1.121000051,0.707099974,0.662890017,0.148777783,0.696500003,0.0274,0.053599998,0.586700022,5.2803002,6.26850003,0.842354658,1.339000046,0.123802499,0.146971941,-0.023169442,0.281029882,1.817500055,0.298830664,0.690027579,0.439997639,,6.177490917,-0.020741975,,,,,,,,,1.578533176,1.578533176,1.988988861,1.988988861,,,,,,,,,,,,,,,,,,,Luis Tejeda,sa3016589,692549
Darcy Longstaff,,0.0294,0.089900002,0.022,7.122419894,0.289200008,0.151199996,0,0,,1,4.883999825,1.210000038,0.834200025,0.791379988,0.193555549,0.744599998,0.0068,0.049199998,0.462599993,4.163399935,6.701399982,0.621273159,1.741999939,0.094717447,0.152457008,-0.057739561,0.295829077,1.954600036,0.295990501,0.665469941,0.38639569,,7.138901916,-0.020769015,,,,,,,,,0.417066647,0.417066647,1.027577862,1.027577862,,,,,,,,,,,,,,,,,,,Darcy Longstaff,sa3022180,807629
Brady Hill,COL,0.036600001,0.061099999,0,6.81795001,1,0,0,0,,1,4.789000034,1.20570004,0.799300015,0.757550001,0.187444448,0.67019999,0.0277,0.047400001,0.593599975,5.342399776,6.031799912,0.885705735,1.687000036,0.123950714,0.139945706,-0.015994992,0.296138927,1.87590003,0.309466729,0.667254308,0.400237562,,6.568857633,-0.020783392,,,,,,,,,0.994013155,0.994013155,1.597622145,1.597622145,,,,,,,,,,,,,,,,,,,Brady Hill,sa3020559,687984
Garrett Ramsey,,0.040100001,0.057700001,0,5.991929948,1,0,0,0,,1,4.742000103,1.102100015,0.708500028,0.665769994,0.15366666,0.712700009,0.0274,0.050500002,0.635299981,5.717699826,6.414300084,0.891398867,1.382999942,0.133973,0.150295233,-0.016322233,0.276993061,1.814800024,0.297330055,0.691581563,0.418007981,,6.183146433,-0.020804554,,,,,,,,,1.625439969,1.625439969,1.983333346,1.983333346,,,,,,,,,,,,,,,,,,,Garrett Ramsey,sa3020973,804583
Morris Austin,CHW,0.035500001,0.065300003,0.0045,6.28155005,0.896899998,0.0219,0,0,,1,4.782999992,1.114899993,0.7403,0.697950006,0.172444448,0.736899972,0.024599999,0.059099998,0.630400002,5.673600018,6.632099748,0.855475676,1.552000031,0.131800126,0.15406648,-0.022266354,0.279633807,1.851799965,0.295982883,0.690210712,0.409734571,,6.535457508,-0.020821533,,,,,,,,,1.252993403,1.252993403,1.631022271,1.631022271,,,,,,,,,,,,,,,,,,,Morris Austin,sa3022955,809459
Braulio Salas,,0.031599998,0.085199997,0.022399999,6.938640296,0.36590001,0.134900004,0,0,,1,4.867000103,1.195500016,0.814400017,0.770960033,0.184222221,0.745700002,0.0091,0.051100001,0.483399987,4.350599885,6.711300015,0.648249948,1.657999992,0.09932196,0.15321553,-0.053893571,0.293720207,1.941200018,0.2972093,0.669403805,0.4,,6.984968689,-0.020829366,,,,,,,,,0.602166602,0.602166602,1.181511089,1.181511089,,,,,,,,,,,,,,,,,,,Braulio Salas,sa3019820,806466
Mason Miller,KCR,0.040199999,0.057599999,0,6.085710168,1,0,0,0,,1,4.808000088,1.123900056,0.719399989,0.676190019,0.137888893,0.768299997,0.027799999,0.050799999,0.60769999,5.469299912,6.914699972,0.790967061,1.241000041,0.126393506,0.159796169,-0.033402663,0.281756883,1.892200053,0.304013738,0.690225229,0.414628374,,6.200935402,-0.020835605,,,,,,,,,1.539926457,1.539926457,1.965544377,1.965544377,,,,,,,,,,,,,,,,,,,Mason Miller,sa3023658,692223
Fernando Olguin,MIL,0.039999999,0.057799999,0,5.972400248,1,0,0,0,,1,4.684000015,1.094200015,0.702799976,0.663600028,0.177111104,0.632600009,0.027100001,0.054299999,0.675999999,6.083999991,5.693400085,1.068605737,1.593999937,0.144321092,0.13505551,0.009265583,0.273748471,1.726800025,0.291695976,0.692432547,0.374303517,,6.177624159,-0.020847741,,,,,,,,,1.667913353,1.667913353,1.988855619,1.988855619,,,,,,,,,,,,,,,,,,,Fernando Olguin,sa3008571,683124
Jonney Rosario,SDP,0.0407,0.057100002,0,5.878529906,1,0,0,0,,1,4.697000027,1.074000001,0.694500029,0.65316999,0.162,0.701799989,0.027100001,0.047699999,0.656099975,5.904899776,6.316199899,0.934881712,1.458000004,0.139684899,0.149414517,-0.009729617,0.272070929,1.77579999,0.291429661,0.698063246,0.402426159,,6.208779798,-0.020851383,,,,,,,,,1.678699978,1.678699978,1.957699981,1.957699981,,,,,,,,,,,,,,,,,,,Jonney Rosario,sa3016616,700326
Jesus Rios,KCR,0.039700001,0.0581,0,6.217650175,1,0,0,0,,1,4.760000229,1.162400007,0.734300017,0.690850019,0.149000004,0.681400001,0.0275,0.049699999,0.546999991,4.922999918,6.132600009,0.802759011,1.341000035,0.114915959,0.143151254,-0.028235295,0.288515461,1.843800008,0.304059507,0.678510267,0.423617698,,6.202779849,-0.020856068,,,,,,,,,1.445759913,1.445759913,1.963699929,1.963699929,,,,,,,,,,,,,,,,,,,Jesus Rios,sa3021471,694947
