"pitches","player_id","player_name","game_date","game_pk","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
101,669432,"Rogers, Trevor","2026-04-07",824618,101,100,0.24,0.08,0.316,0.32,0.246,0.205,0.198,6,25,85.7,30.4,2205,88.1,88.52,15,54,47,0.4000000000000057,6.66,105,150,117,146,302,322,294,"0.924","-0.924","69.0","7.2",25,19,4,2,0,0,6,24,0,0,2.12485,0.87059,0.63792,-0.31436,"90.2",202,27.77777777777778,0,0,5.94,2.11,0.02,2.34,0.24,0,"-0.914851485",0.198,0.281,"0.914851485",0.042,0.04199999999999998,0.039,0.041,27.8,"22.3",10.48366710752592,-2.7838449653446324,32.63221509095807,0.6792452830188679,36.16715174311257,31.808391027107795
99,669432,"Rogers, Trevor","2026-04-14",824853,99,100,0.429,0.238,0.571,0.667,0.489,0.272,0.218,9,21,86.7,5.5,2137,88.7,89.06,17,48,51,0.3999999999999915,6.6,102,152,115,145,299,316,284,"-1.912","1.912","68.6","7.5",22,15,6,2,0,1,6,27.3,1,4.5,2.26263,0.68949,0.55343,-0.43283,"91.8",181,33.33333333333333,6.666666666666667,4.545454545454546,5.71,2.07,-0.01,2.02,0.455,1,"1.931313131",0.254,0.37,"-1.931313131",0.211,0.201,0.297,0.217,35.4,"21.9",7.920613548227431,-11.836842846256545,32.007071421020775,0.2916666666666667,37.27713900461852,34.29750585600266
95,669432,"Rogers, Trevor","2026-04-19",824452,95,100,0.286,0.333,0.267,0.619,0.398,0.463,0.348,6,21,87.2,28.4,2026,86.6,86.82,8,43,52,0.20000000000000284,6.58,104,150,117,146,296,323,298,"-2.294","2.294","68.7","7.7",24,17,3,1,0,2,5,20.8,2,8.3,2.56537,0.52968,0.47021,-0.27253,"91.1",159,29.411764705882355,17.647058823529413,12.5,5.75,1.98,-0.02,1.88,0.333,3,"2.414736842",0.403,0.708,"-2.414736842",-0.062,-0.07,-0.089,-0.065,18.6,"22.3",13.115595153437114,-10.132637614184155,33.410719577293065,0.5641025641025641,36.345356052434056,36.33934756056355
91,669432,"Rogers, Trevor","2026-04-01",824860,91,100,0.261,0.043,0.3,0.304,0.27,0.235,0.228,6,23,89.1,20.9,2146,88.1,88.46,12,46,45,0.4000000000000057,6.59,109,153,125,147,302,321,291,"1.037","-1.037","70.8","7.1",24,20,5,1,0,0,3,12.5,1,4.2,2.2289,0.76033,0.49495,-0.26681,"91.6",127,25,0,0,5.78,2.03,-0.12,2.21,0.292,0,"-1.13956044",0.26,0.263,"1.13956044",0.033,0.03199999999999997,0.041,0.035,26.1,"23.0",11.269401915774024,-2.1123912218234264,31.552753300686682,0.4782608695652174,36.333509676436975,31.375497254987813
88,669432,"Rogers, Trevor","2026-03-26",824865,88,100,0.136,0,0.176,0.136,0.232,0.297,0.204,3,22,90.1,16.5,2030,88.4,88.55,10,42,46,0.19999999999998863,6.72,109,147,121,144,304,321,294,"1.104","-1.104","70.4","7.4",27,17,3,0,0,0,5,18.5,4,14.8,2.30261,0.65398,0.62102,-0.30625,"92.3",116,29.411764705882355,5.88235294117647,3.7037037037037033,5.72,2,-0.01,2.3,0.296,1,"-1.254545455",0.351,0.267,"1.254545455",-0.068,-0.05499999999999999,-0.131,-0.065,23.8,"22.6",11.025222780563173,-5.628182036024868,34.18452486030133,0.525,36.75229788770414,34.41526896726572
88,669432,"Rogers, Trevor","2026-05-18",822980,89,98.9,0.421,0.316,0.471,0.737,0.493,0.354,0.32,8,19,91.5,13.5,2119,91.2,91.53,6,49,39,0.29999999999999716,6.76,107,150,121,146,300,335,292,"-4.176","4.176","73.4","7.4",22,17,3,4,1,0,3,13.6,2,9.1,1.95898,0.82761,0.98977,-0.61841,"91.7",169,47.05882352941176,5.88235294117647,4.545454545454546,5.74,2.11,-0.07,2.31,0.455,1,"4.745454545",0.381,0.42,"-4.745454545",0.101,0.07400000000000001,0.317,0.139,12.2,"20.9",4.193268347495496,3.164494237986504,28.37145018361061,0.2857142857142857,38.03214726087221,27.931918748112007
82,669432,"Rogers, Trevor","2026-03-19",831501,82,100,0.304,0,0.438,0.304,0.274,,,7,23,94.7,17.3,2178,87.5,87.94,11,39,43,0.4000000000000057,6.64,106,151,121,148,296,315,292,"1.141","-1.141",,,23,16,7,0,0,0,7,30.4,0,0,2.2839,0.73622,0.60852,-0.24309,"93.9",177,66.66666666666666,6.666666666666667,4.3478260869565215,5.85,2.03,-0.05,2.18,0.304,1,"-1.391463415",,,"1.391463415",,,,,28.2,,,,,,,
73,669432,"Rogers, Trevor","2026-05-12",824843,73,100,0.333,0.333,0.308,0.667,0.471,0.434,0.317,6,18,92.4,16.8,2181,90,90.7,11,38,35,0.7000000000000028,6.8,111,151,118,149,298,322,296,"-2.36","2.36","71.5","7.8",21,15,4,0,0,2,3,14.3,3,14.3,2.14301,0.71055,0.98247,0.03863,"93.0",198,46.666666666666664,13.333333333333334,9.523809523809524,5.78,2.03,-0.21,2.21,0.429,2,"3.232876712",0.414,0.605,"-3.232876712",0.016,0.015000000000000013,0.062,0.037,28.9,"22.2",11.839278394221388,-4.048467014291582,34.147046963328364,0.5675675675675675,39.34865414158956,27.614675851882517
62,669432,"Rogers, Trevor","2026-04-25",824851,62,100,0.444,0.222,0.571,0.667,0.524,0.41,0.317,4,9,95.4,3.4,2112,89.4,89.73,9,30,32,0.29999999999999716,6.72,108,152,118,146,302,316,289,"-1.809","1.809","68.0","7.0",11,7,2,2,0,0,2,18.2,2,18.2,2.16226,0.74344,0.96194,-0.87774,"91.4",152,71.42857142857143,14.285714285714285,9.090909090909092,5.75,1.98,-0.12,2.28,0.545,1,"2.917741935",0.441,0.484,"-2.917741935",0.127,0.10400000000000004,0.183,0.114,30,"21.3",8.194857179700282,0.8718301199727524,29.900313079774495,0.6333333333333333,34.580067696307545,28.983350340756168
61,669432,"Rogers, Trevor","2026-03-14",831562,61,100,0.25,0.188,0.25,0.438,0.366,,,4,16,88.3,23.6,2228,88.3,88.54,8,32,29,0.20000000000000284,6.62,109,151,127,146,283,325,273,"-0.371","0.371",,,19,13,3,0,0,1,3,15.8,1,5.3,2.24115,0.73197,0.54787,-0.10295,"91.0",187,46.15384615384615,7.6923076923076925,5.263157894736842,5.88,1.89,-0.27,2.32,0.368,1,"0.608196721",,,"-0.608196721",,,,,25,,,,,,,
