"pitches","player_id","player_name","game_date","game_pk","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
28,641487,"Crawford, J.P.","2026-05-04",823143,28,100,0.333,1,0,1.333,0.699,0.416,0.19,1,3,95.1,25.7,2382,88.3,88.35,1,10,18,0.10000000000000853,6.22,112,147,116,152,294,318,298,"-2.423","2.423","73.0","7.9",5,3,0,0,0,1,0,0,2,40,2.73393,0.19857,0.05357,-0.05357,"90.7",174,66.66666666666666,0,0,5.64,-1.66,0.12,2.28,0.6,0,"8.653571429",0.514,0.343,"-8.653571429",0.143,0.08599999999999997,0.99,0.283,10,"30.6",15.394775917418414,-11.458615838707361,32.24167700760654,0.4,37.40074400556603,43.88317284050479
26,641487,"Crawford, J.P.","2026-04-11",823155,26,100,0.667,0,0.667,0.667,0.642,0.581,0.533,2,3,83.1,35.7,2180,89.6,89.54,0,7,19,-0.09999999999999432,6.17,117,143,102,148,285,312,291,"-1.498","1.498","70.7","7.1",5,3,2,0,0,0,0,0,2,40,2.09192,0.75615,0.07115,-0.01192,"88.6",131,0,0,0,5.37,-0.52,0.15,2.45,0.8,0,"5.761538462",0.72,0.595,"-5.761538462",0.134,0.08000000000000007,0.072,0.061,0,"32.4",6.564687353811954,2.5513962895502114,34.94684327303125,0.42857142857142855,35.69057329688632,37.76075103813852
25,641487,"Crawford, J.P.","2026-05-12",824197,25,100,0.333,0,0.333,0.333,0.462,0.545,0.431,1,3,95.8,19.7,2299,94.1,93.34,0,10,15,-0.7999999999999972,6.14,108,146,102,151,277,316,289,"-1.011","1.011","69.5","7.1",5,3,1,0,0,0,0,0,2,40,1.734,0.89,0.904,-0.904,"90.6",186,66.66666666666666,0,0,5.7,-2.16,0.08,2.33,0.6,0,"4.044",0.658,0.578,"-4.044",-0.098,-0.05800000000000005,-0.245,-0.083,0,"29.3",3.276423236684232,5.634272059070422,33.15647840998873,0.2,36.9931439987508,33.85983222666719
24,641487,"Crawford, J.P.","2026-05-08",824607,24,100,0.333,0,0.5,0.333,0.462,0.469,0.332,1,3,82.3,-4,2349,91,91.27,1,7,17,0.29999999999999716,6.6,114,146,107,149,281,319,300,"-0.203","0.203","64.0","6.7",5,2,1,0,0,0,1,20,2,40,2.00792,0.80042,0.30375,-0.31958,"89.2",135,0,0,0,6.01,-1.1,-0.25,2.41,0.6,0,"0.845833333",0.599,0.375,"-0.845833333",0.001,0.0010000000000000009,-0.042,-0.007,14.3,"35.9",1.8964727592948907,9.025670811706249,34.67818795701705,0.14285714285714285,32.286617981531656,33.99722837955944
23,641487,"Crawford, J.P.","2026-04-21",823148,23,100,0,0,0,0,0,0.146,0.125,0,4,89.9,17,2231,85.6,85.93,2,11,12,0.30000000000001137,6.67,125,149,111,150,287,316,302,"1.055","-1.055","65.5","7.0",4,3,0,0,0,0,1,25,0,0,2.56217,0.63652,0.09696,-0.02391,"89.4",172,33.33333333333333,0,0,5.27,1.89,-0.31,2.14,0,0,"-4.586956522",0.125,0.216,"4.586956522",-0.125,-0.125,-0.216,-0.146,18.2,"25.5",4.023948356135979,7.292801896927571,35.93532453237838,0.18181818181818182,35.56865260540392,35.82657003107407
22,641487,"Crawford, J.P.","2026-03-04",831739,22,100,0,0,0,0,0,,,0,2,92.5,11.3,2265,93.1,92.89,2,14,8,-0.19999999999998863,6.25,98,135,107,141,308,324,309,"0.684","-0.684",,,3,3,0,0,0,0,0,0,0,0,1.62136,1.02591,0.39636,0.21818,"91.1",143,33.33333333333333,0,0,6.09,1.06,-0.21,2.9,0,0,"-3.109090909",,,"3.109090909",,,,,14.3,,,,,,,
22,641487,"Crawford, J.P.","2026-04-18",823151,22,100,0.4,0.4,0.5,0.8,0.512,0.454,0.41,2,5,98.3,20.8,1929,90.2,90.74,2,10,12,0.5,6.59,115,148,105,154,283,315,302,"-0.489","0.489","72.2","6.9",5,4,0,2,0,0,1,20,0,0,2.00727,0.815,0.70545,-0.70545,"94.4",209,75,25,20,6,-1.8,0.02,2.02,0.4,1,"2.222727273",0.41,0.65,"-2.222727273",-0.01,-0.009999999999999953,0.15,0.058,20,"40.5",5.0246234004317705,4.9683614074104865,37.23954424629345,0.6,35.405327892054885,36.01804567963045
22,641487,"Crawford, J.P.","2026-04-26",823068,22,100,0,0,0,0,0,0.127,0.14,0,4,81.7,9.3,2290,90.2,90.41,1,9,13,0.20000000000000284,6.41,119,147,106,152,288,318,300,"1.02","-1.02","68.8","7.1",4,3,0,0,0,0,1,25,0,0,2.27045,0.58136,0.33273,-0.33273,"88.4",144,0,0,0,5.98,-1.57,-0.08,2.31,0,0,"-4.636363636",0.14,0.155,"4.636363636",-0.14,-0.14,-0.155,-0.127,11.1,"39.8",3.827263003513643,6.353691542612592,36.40919216723968,0.4444444444444444,35.52959754375087,33.73583516814951
22,641487,"Crawford, J.P.","2026-05-01",823146,22,100,0.25,0,0.333,0.25,0.321,0.432,0.382,1,4,78,37.3,2467,93.6,93.28,2,7,15,-0.29999999999999716,6.24,122,148,113,154,283,318,292,"-0.106","0.106","70.4","6.7",5,3,1,0,0,0,1,20,1,20,1.47273,1.15273,0.77273,0.41091,"88.9",168,0,0,0,6.26,0.53,-0.39,2.21,0.4,0,"0.481818182",0.506,0.442,"-0.481818182",-0.132,-0.10599999999999998,-0.192,-0.111,28.6,"43.4",-3.5253358954572342,14.743061994670539,37.50543489515571,0.14285714285714285,34.85896449905148,28.943241370460687
21,641487,"Crawford, J.P.","2026-04-07",822916,21,100,0.333,0,0.5,0.333,0.401,0.409,0.34,1,3,72.3,5,1970,88.8,88.95,1,7,14,0.20000000000000284,6.65,107,143,112,153,289,315,308,"-0.213","0.213","69.0","7.1",4,2,1,0,0,0,1,25,1,25,2.49952,0.45476,0.30333,-0.30333,"88.5",136,0,0,0,5.63,-2.13,-0.16,2.22,0.5,0,"1.014285714",0.505,0.363,"-1.014285714",-0.007,-0.0050000000000000044,-0.03,-0.008,14.3,"35.2",5.479951295570866,6.244584382997136,37.93823739133269,0.42857142857142855,37.74540409616072,34.32022149040744
