"pitches","player_id","player_name","game_date","game_pk","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
25,808975,"Kim, Hyeseong","2026-03-21",831937,25,100,0.25,0,0.333,0.25,0.225,,,1,4,81,2.7,2246,92.6,93.43,5,14,11,0.8000000000000114,6.82,118,149,121,151,284,329,297,"0.318","-0.318",,,4,3,1,0,0,0,1,25,0,0,1.9472,0.7392,0.46,0.0728,"89.1",157,33.33333333333333,0,0,5.86,0.99,0.3,2.13,0.25,0,"-1.272",,,"1.272",,,,,35.7,,,,,,,
24,808975,"Kim, Hyeseong","2026-04-25",823960,24,100,0.4,0,0.5,0.4,0.36,0.369,0.389,2,5,91,2.5,2109,89.8,90.56,1,11,13,0.7999999999999972,6.65,119,150,111,154,285,308,304,"0.051","-0.051","65.0","7.2",5,4,2,0,0,0,1,20,0,0,2.02208,0.80667,0.33375,-0.33375,"93.1",141,50,0,0,5.7,-1.8,0.27,2.2,0.4,0,"-0.2125",0.389,0.453,"0.2125",0.011,0.01100000000000001,-0.053,-0.009,9.1,"41.4",7.917907721255899,0.4304784696801167,42.158856627224466,0.5,29.69244615862449,24.135440881973633
22,808975,"Kim, Hyeseong","2026-05-16",824038,22,100,0,0,0,0,0.141,0.187,0.062,0,4,67.4,-12,1814,88.8,88.88,8,11,11,0.10000000000000853,6.65,119,147,122,152,301,324,307,"0.726","-0.726","64.2","7.5",5,2,0,0,0,0,2,40,1,20,2.57318,0.39545,0.92182,-0.92182,"88.0",82,0,0,0,5.78,-2.5,-0.54,2.16,0.2,0,"-3.3",0.249,0.071,"3.3",-0.062,-0.04899999999999999,-0.071,-0.046,72.7,"34.9",13.321207809356148,-0.7180082860986431,37.100334631128696,0.36363636363636365,39.37254804530935,25.626680344950735
22,808975,"Kim, Hyeseong","2026-05-06",824198,22,100,0.4,0.4,0.5,0.8,0.504,0.251,0.213,2,5,85,33.3,2036,80.2,79.9,2,11,11,-0.29999999999999716,6.24,115,147,123,153,291,321,288,"-0.524","0.524","67.5","7.2",5,4,1,0,1,0,1,20,0,0,3.53727,0.49773,0.72273,-0.72273,"89.2",197,25,25,20,5.72,-1.58,-0.28,2.33,0.4,1,"2.381818182",0.213,0.389,"-2.381818182",0.187,0.18700000000000003,0.411,0.253,18.2,"28.8",8.120929701370656,-1.4982661076332535,39.514063045234174,0.2727272727272727,34.636416067423255,27.92686913842394
21,808975,"Kim, Hyeseong","2026-04-06",822832,21,100,0.5,0,0.5,0.5,0.501,0.475,0.317,2,4,87.2,14.5,2062,84.9,84.85,0,10,11,-0.10000000000000853,6.45,93,142,104,152,271,311,296,"-0.72","0.72","55.6","6.3",5,4,2,0,0,0,0,0,1,20,2.87952,0.396,0.11952,-0.36143,"90.0",112,25,25,20,5.59,1.74,-0.04,2.1,0.6,1,"3.428571429",0.453,0.673,"-3.428571429",0.183,0.14699999999999996,-0.173,0.026,0,"34.8",8.644220872999934,-7.54156499089434,34.331562585117354,0.2,34.16560833086656,29.42735622524533
20,808975,"Kim, Hyeseong","2026-05-10",823954,20,100,0,0,,0,0,0,,0,3,,,2161,91.6,92,6,11,9,0.4000000000000057,6.31,113,146,121,151,283,320,306,"0.709","-0.709","60.4","7.0",4,0,0,0,0,0,3,75,0,0,2.0705,0.653,0.654,-0.654,"88.3",158,0,,,6.01,-1.76,-0.41,2.24,0,,"-3.545",0,,"3.545",,0,,0,54.5,"42.8",-1.0819859613368377,14.923661340364312,37.39759311114159,0.18181818181818182,41.11370381983881,13.660878275832387
19,808975,"Kim, Hyeseong","2026-04-29",823958,19,100,0.333,0,0.333,0.333,0.401,0.508,0.464,1,3,79.1,-1.7,2439,92.8,92.35,0,9,10,-0.3999999999999915,5.91,113,148,102,151,285,311,298,"-0.335","0.335","66.4","7.0",4,3,1,0,0,0,0,0,1,25,2.29,0.36474,0.37842,-0.37842,"89.0",102,0,0,0,5.87,-1.78,-0.05,2.32,0.5,0,"1.763157895",0.598,0.524,"-1.763157895",-0.131,-0.09799999999999998,-0.191,-0.107,0,"36.0",1.6832159993506366,5.221669702181747,41.54484853135385,0.3333333333333333,35.207189912187786,21.085542314301435
19,808975,"Kim, Hyeseong","2026-05-04",824201,19,100,0.2,0,0.2,0.2,0.18,0.336,0.348,1,5,91.1,7.2,2199,89.4,89.12,1,8,11,-0.30000000000001137,6.37,118,147,100,154,284,317,291,"0.626","-0.626","66.0","7.1",5,5,1,0,0,0,0,0,0,0,2.32526,0.57684,0.51158,-0.52842,"90.8",133,20,0,0,5.9,-2.09,-0.47,2.78,0.2,0,"-3.294736842",0.348,0.425,"3.294736842",-0.148,-0.14799999999999996,-0.225,-0.156,12.5,"35.2",6.785557338337124,2.3514764202818563,39.09376050979846,0.5,36.343734732325146,23.429027617708844
19,808975,"Kim, Hyeseong","2026-04-17",824373,19,100,0.333,0,0.333,0.333,0.401,0.343,0.237,1,3,79.2,12.3,2154,89.7,89.88,2,6,13,0.20000000000000284,6.1,107,145,110,150,295,330,317,"-0.035","0.035","61.1","7.1",4,3,1,0,0,0,0,0,1,25,2.12158,0.69,0.72632,-0.72632,"88.0",155,0,0,0,5.87,-2.26,-0.24,1.94,0.5,0,"0.184210526",0.428,0.278,"-0.184210526",0.096,0.07200000000000001,0.055,0.058,33.3,"40.1",6.712844144884599,-0.2949635572324123,40.64482654278656,0.6666666666666666,34.24034683150992,24.4500525190451
18,808975,"Kim, Hyeseong","2026-05-09",823955,18,100,0,0,0,0,0.176,0.236,0.088,0,3,76.3,-4.5,2187,87.3,87.98,2,6,12,0.7000000000000028,6.61,121,148,128,153,282,320,307,"0.405","-0.405","66.5","7.7",4,2,0,0,0,0,1,25,1,25,2.35111,0.64833,-0.02944,0.02944,"88.0",82,0,0,0,5.79,-1.77,0.08,1.96,0.25,0,"-2.25",0.316,0.099,"2.25",-0.088,-0.066,-0.099,-0.06,33.3,"42.5",15.041055459217578,-6.89622118494764,42.839653171730745,0.3333333333333333,31.51595452438873,29.501251349907548
