"pitches","player_id","player_name","game_date","game_pk","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
29,682998,"Carroll, Corbin","2026-04-21",825099,29,100,0,0,,0,0.282,0.282,,0,3,,,2399,89.4,89.34,7,12,17,-0.10000000000000853,6.48,110,146,118,152,302,336,301,"0.026","-0.026","70.5","8.0",5,0,0,0,0,0,3,60,2,40,2.34655,0.57138,0.23621,-0.23621,"88.0",122,,,,6.05,-2.21,0.21,2.06,0.4,,"-0.089655172",0.4,,"0.089655172",,0,,0,58.3,"37.7",15.234091451196651,-8.31932452714586,28.307540773832457,0.5833333333333334,38.993525604904086,39.649915664048194
29,682998,"Carroll, Corbin","2026-04-26",825094,29,100,0.25,0,0.5,0.25,0.321,0.179,0.051,1,4,80.9,-16.5,2187,92.1,91.18,4,11,18,-0.8999999999999915,5.48,,,,,,,,"0.223","-0.223",,,5,2,1,0,0,0,2,40,1,20,2.33448,0.43379,0.71679,-0.2225,"91.2",140,0,0,0,5.69,-1.59,0.23,2.28,0.4,0,"-0.768965517",0.241,0.056,"0.768965517",0.199,0.15900000000000003,0.194,0.142,36.4,,,,,,,
27,682998,"Carroll, Corbin","2026-04-29",823796,27,100,0.4,0.6,1,1,0.597,0.432,0.252,2,5,88.3,-15.5,2268,91.4,91.56,4,12,15,0.19999999999998863,6.43,121,149,122,153,295,324,299,"-1.35","1.35","71.1","7.5",5,2,1,0,0,1,3,60,0,0,2.1063,0.68346,0.32333,0.10926,"90.6",138,50,50,20,5.31,-1.08,-0.45,2.26,0.4,1,"5",0.252,0.788,"-5",0.148,0.14800000000000002,0.212,0.165,33.3,"28.3",9.77084876136381,2.1055049665318615,26.771887584988182,0.75,38.92213332599073,31.651787628231965
25,682998,"Carroll, Corbin","2026-05-13",822900,25,100,0.5,0.5,0.5,1,0.679,0.569,0.359,1,2,97.4,25,2226,91.9,92.7,2,8,17,0.7999999999999972,6.66,97,145,114,151,293,340,307,"-1.535","1.535","75.6","7.6",5,2,0,1,0,0,0,0,3,60,1.9472,0.7528,0.6796,-0.382,"93.6",222,100,0,0,5.88,-1.17,-0.17,2.84,0.8,0,"6.14",0.743,0.475,"-6.14",0.141,0.05700000000000005,0.525,0.11,25,"38.7",9.85048899787799,2.5609960115583563,26.940428703932096,0.875,43.097514176789765,32.95164391127713
24,682998,"Carroll, Corbin","2026-04-12",823479,24,100,0.5,0.25,0.667,0.75,0.577,0.416,0.34,2,4,93.2,8,2157,91.5,92.06,3,13,11,0.5999999999999943,6.66,123,149,103,149,284,326,299,"-0.88","0.88","72.7","7.5",5,3,1,1,0,0,1,20,1,20,2.10792,0.65208,0.37125,0.25292,"89.9",196,66.66666666666666,0,0,6.35,-0.99,0.24,2.24,0.6,0,"3.666666667",0.472,0.455,"-3.666666667",0.16,0.128,0.295,0.161,23.1,"46.0",12.196476037960549,3.7668694149782556,26.965572153012396,0.6153846153846154,38.40653865109089,32.416974369973474
23,682998,"Carroll, Corbin","2026-03-30",825108,23,100,0.5,1.25,0.5,1.75,0.882,0.795,0.443,2,4,99.2,28.7,2355,90.6,89.97,2,6,17,-0.5999999999999943,6.05,108,147,125,147,293,328,308,"-2.497","2.497","72.9","8.0",5,3,0,0,1,1,1,20,1,20,2.13087,0.67435,0.60217,0.49261,"97.8",262,66.66666666666666,66.66666666666666,40,6.45,0.82,0.07,1.53,0.6,2,"10.856521739",0.554,1.538,"-10.856521739",0.057,0.04599999999999993,0.212,0.087,33.3,"46.5",17.975603760845846,-5.051759749867935,30.7575632271607,0.6666666666666666,37.34867219221185,38.80052485988833
23,682998,"Carroll, Corbin","2026-05-01",824686,23,100,0,0,0,0,0,0.124,0.138,0,5,99.9,-6,2099,89.2,89.37,6,11,12,0.20000000000000284,6.49,92,144,111,149,301,324,305,"0.678","-0.678","74.3","7.4",5,2,0,0,0,0,3,60,0,0,2.21217,0.67913,0.47174,-0.75,"94.0",114,100,0,0,5.62,-1.27,-0.03,2.34,0,0,"-2.947826087",0.138,0.15,"2.947826087",-0.138,-0.138,-0.15,-0.124,54.5,"34.5",9.058695610728254,7.264485852772664,27.96931724446947,0.7272727272727273,41.57431928706681,29.885240400008737
20,682998,"Carroll, Corbin","2026-05-16",824359,20,100,0.333,0.333,0.5,0.667,0.538,0.678,0.516,1,3,93.1,17.5,2445,88.5,88.8,2,5,15,0.29999999999999716,6.02,112,147,120,151,305,339,309,"-1.008","1.008","76.8","7.7",5,2,0,1,0,0,1,20,2,40,2.54,0.3545,-0.194,0.194,"94.4",256,50,50,20,5.82,-2.56,0.19,2.72,0.6,1,"5.04",0.71,1.057,"-5.04",-0.183,-0.10999999999999999,-0.39,-0.14,40,"37.6",15.370811807503692,-6.211092963838739,29.33201206359028,0.4,32.628372919444445,36.34129956010092
20,682998,"Carroll, Corbin","2026-04-17",825101,20,100,0.25,0,0.5,0.25,0.321,0.297,0.194,1,4,93.5,29.5,2228,90.4,90.07,3,6,14,-0.30000000000001137,6.15,115,144,114,152,285,328,302,"-0.025","0.025","74.5","7.4",5,2,1,0,0,0,2,40,1,20,2.365,0.4675,0.73,-0.081,"92.5",241,50,0,0,5.84,1,0.16,2.02,0.4,0,"0.125",0.355,0.259,"-0.125",0.056,0.04500000000000004,-0.009,0.024,50,"33.8",9.992857294120554,6.836411422615518,29.31567336977393,0.6,39.80475290329989,30.392411728217418
20,682998,"Carroll, Corbin","2026-05-17",824358,20,100,0.5,1.5,,2,0.975,0.847,0.444,2,4,107.2,26.5,2375,90.5,90.8,2,8,12,0.29999999999999716,6.11,116,148,127,153,309,343,307,"-3.628","3.628","76.7","7.4",5,2,0,0,0,2,2,40,1,20,2.4515,0.3195,0.4045,-0.4045,"95.7",296,100,100,40,5.63,-1.87,-0.19,2.57,0.6,2,"18.14",0.555,1.736,"-18.14",0.056,0.04499999999999993,0.264,0.128,25,"39.5",10.446273376598434,5.526608882664625,22.914063826066148,0.625,40.18279860487052,30.23100706841022
