"pitches","player_id","player_name","game_date","game_pk","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
30,669477,"Schmitt, Casey","2026-04-18",822751,30,100,0.333,0.167,0.5,0.5,0.363,0.151,0.132,2,6,90.7,20,2253,88.8,89.59,4,18,12,0.7999999999999972,6.68,104,151,119,149,312,328,307,"-0.274","0.274","71.7","7.4",6,4,1,1,0,0,2,33.3,0,0,2.73433,0.203,-0.09967,0.19167,"90.7",120,25,0,0,5.94,0.1,0.3,2.24,0.333,0,"0.913333333",0.132,0.224,"-0.913333333",0.201,0.201,0.276,0.212,22.2,"40.4",8.371486138350381,-4.817196156157869,32.08702607622353,0.4444444444444444,34.024494526418295,32.19633536550587
27,669477,"Schmitt, Casey","2026-05-04",823228,27,100,0.333,1,0,1.333,0.697,0.55,0.312,1,3,99.8,6.5,2566,91.3,91.26,0,14,13,0,6.15,118,154,126,149,305,326,295,"-1.505","1.505","76.7","11.4",4,2,0,0,0,1,1,25,1,25,2.00111,0.73296,0.44444,0.44444,"90.9",146,100,50,25,6.01,-1.8,0.17,2.06,0.5,1,"5.574074074",0.484,0.895,"-5.574074074",0.021,0.016000000000000014,0.438,0.147,0,"35.4",6.251070567315976,-14.54828833137314,30.754945470228925,0.6428571428571429,33.08952042897895,31.656316966892078
24,669477,"Schmitt, Casey","2026-04-17",822752,24,100,0.4,0.6,0.333,1,0.597,0.733,0.422,2,5,99.9,32.5,1991,85.5,85.69,1,12,12,0.20000000000000284,6.33,102,147,123,143,314,328,303,"-1.325","1.325","68.7","7.2",5,4,1,0,0,1,1,20,0,0,2.66375,0.47,0.01833,0.5125,"93.6",139,75,50,40,5.86,-0.26,0.38,2.4,0.4,2,"5.520833333",0.422,1.358,"-5.520833333",-0.022,-0.021999999999999964,-0.358,-0.136,8.3,"32.6",6.317187582563674,-3.010611225463964,32.27914719972482,0.6363636363636364,32.429656290800374,32.18064239892767
21,669477,"Schmitt, Casey","2026-04-30",823471,21,100,0.4,0.4,0.4,0.8,0.543,0.543,0.448,2,5,90.5,32,2385,89.1,89,0,8,13,-0.09999999999999432,6.46,93,151,123,148,293,322,291,"-1.022","1.022","69.6","7.1",6,5,1,0,1,0,0,0,0,0,2.32857,0.60143,0.38952,0.15238,"93.6",145,40,20,16.666666666666664,5.84,-2.1,0.01,2.24,0.5,1,"4.866666667",0.54,0.732,"-4.866666667",-0.048,-0.040000000000000036,0.068,0,0,"39.7",6.904820277032409,-4.400735305763627,32.63932779185708,0.875,30.760155495788464,28.68672094054468
20,669477,"Schmitt, Casey","2026-02-25",831753,20,100,0.333,0,0.333,0.333,0.3,,,1,3,98,32,2202,88.1,88.77,1,11,9,0.7000000000000028,6.51,115,152,127,149,298,311,291,"-0.018","0.018",,,3,3,1,0,0,0,0,0,0,0,2.272,0.71211,0.2055,0.2055,"92.9",165,33.33333333333333,0,0,5.49,-1.3,0.32,1.93,0.333,0,"0.09",,,"-0.09",,,,,9.1,,,,,,,
19,669477,"Schmitt, Casey","2026-05-17",825006,19,100,0.4,0,0.4,0.4,0.36,0.445,0.46,2,5,81.7,15.2,2035,89.5,89.98,0,9,10,0.5,6.26,102,150,116,146,285,314,297,"-0.093","0.093","67.0","7.4",5,5,2,0,0,0,0,0,0,0,1.93263,0.91842,0.85474,-0.42737,"89.6",176,20,0,0,6.09,1.45,-0.28,2.13,0.4,0,"0.489473684",0.46,0.564,"-0.489473684",-0.06,-0.06,-0.164,-0.085,0,"46.2",6.791785030000495,-3.5068400787062073,39.056323851282166,0.6666666666666666,30.795748282728592,29.656065955914787
19,669477,"Schmitt, Casey","2026-04-11",824857,19,100,0.25,0,0.5,0.25,0.225,0.301,0.299,1,4,89.6,17.5,2158,89.3,88.99,4,10,9,-0.29999999999999716,6.22,107,152,124,145,302,315,283,"0.423","-0.423","69.1","7.2",4,2,1,0,0,0,2,50,0,0,2.44579,0.49053,0.39474,-0.08526,"90.0",183,50,0,0,5.77,-0.3,0.17,2.38,0.25,0,"-2.226315789",0.299,0.392,"2.226315789",-0.049,-0.04899999999999999,-0.142,-0.076,40,"37.3",3.150232280887794,0.6219604458489605,38.013017212319895,0.3,34.45016725212239,27.086708128108828
19,669477,"Schmitt, Casey","2026-04-07",823235,19,100,0.333,0.333,1,0.667,0.496,0.444,0.234,1,3,104.4,22,2284,90,90.67,4,10,9,0.7000000000000028,6.76,105,152,110,145,294,325,286,"-0.449","0.449","64.8","6.7",4,1,0,1,0,0,2,50,1,25,2.7,0.14263,0.86632,-0.97368,"92.2",199,100,100,25,5.86,0.74,0.48,2.17,0.5,1,"2.363157895",0.426,0.628,"-2.363157895",0.099,0.07400000000000001,0.039,0.052,40,"30.0",-0.6651657472685568,-4.850916630013398,39.864811695782045,0.3,33.46672970558787,26.649080976913723
18,669477,"Schmitt, Casey","2026-04-24",823232,18,100,0.25,0,0.25,0.25,0.225,0.265,0.276,1,4,83,15.5,2376,93.3,92.67,2,8,10,-0.5999999999999943,6.04,114,154,127,147,295,326,302,"0.358","-0.358","71.4","7.3",4,4,1,0,0,0,0,0,0,0,1.76,0.88722,0.72111,0.72111,"90.2",208,25,0,0,6.03,-1.93,0.43,2.14,0.25,0,"-1.988888889",0.276,0.333,"1.988888889",-0.026,-0.026000000000000023,-0.083,-0.04,25,"35.9",5.903441164604422,-6.503322252266181,34.333283801138194,0.5,30.458095466618495,31.818155145074503
18,669477,"Schmitt, Casey","2026-03-19",831756,18,100,0.4,0,0.4,0.4,0.36,,,2,5,95.2,-12,2442,87.1,86.33,1,8,10,-0.7999999999999972,5.67,102,153,121,148,299,320,298,"-0.077","0.077",,,5,5,2,0,0,0,0,0,0,0,2.65222,0.40556,0.29059,0.29059,"93.9",78,60,0,0,5.41,-2.41,0.37,2,0.4,0,"0.427777778",,,"-0.427777778",,,,,12.5,,,,,,,
