"pitches","player_id","player_name","game_date","game_pk","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
40,594580,"Moll, Sam","2026-05-02",823388,40,100,0.286,0,0.4,0.286,0.313,0.276,0.217,2,7,79,17,2467,87.4,84.71,4,17,23,-2.700000000000003,4.59,113,147,117,147,303,317,286,"0.052","-0.052","68.0","6.6",8,5,2,0,0,0,2,25,1,12.5,3.203,-0.19179,0.405,0.212,"89.6",124,0,0,0,4.8,1.99,0.07,2.25,0.375,0,"-0.13",0.329,0.236,"0.13",0.069,0.045999999999999985,0.05,0.037,23.5,"13.1",5.049753476752494,4.405004604623266,34.552893400608866,0.4117647058823529,32.91152678172158,26.469049873747288
31,594580,"Moll, Sam","2026-04-12",824533,31,100,0,0,0,0,0.264,0.396,0.179,0,5,88.9,16,2299,85.7,83.17,1,9,22,-2.5,4.7,108,150,123,144,290,320,296,"0.081","-0.081","70.9","7.3",9,4,0,0,0,0,1,11.1,3,33.3,3.45097,-0.31226,0.61129,-0.31903,"91.8",74,25,0,0,4.79,2.05,0.3,2.2,0.375,0,"-0.261290323",0.531,0.199,"0.261290323",-0.179,-0.15600000000000003,-0.199,-0.132,11.1,"13.4",5.989677761303567,0.707762077401358,33.30409423650968,0.5555555555555556,40.184884648336215,26.640043217639395
28,594580,"Moll, Sam","2026-03-11",831793,28,100,0,0,0,0,0.423,,,0,2,103,-2,2312,87.1,84.65,0,6,22,-2.3999999999999915,4.67,105,149,116,147,296,334,296,"-0.414","0.414",,,5,1,0,0,0,0,1,20,3,60,3.24607,-0.2396,0.46464,0.11464,"90.5",100,100,0,0,4.94,2.41,0.24,2.22,0.6,0,"1.478571429",,,"-1.478571429",,,,,0,,,,,,,
28,594580,"Moll, Sam","2026-04-21",822995,28,100,0.333,0.167,0.333,0.5,0.363,0.203,0.196,2,6,86.3,0.5,2530,83.6,80.28,0,12,16,-3.299999999999997,4.46,102,150,118,147,292,325,290,"0.103","-0.103","65.7","6.9",6,6,1,1,0,0,0,0,0,0,3.68893,-0.34214,-0.30179,-0.4675,"93.1",149,33.33333333333333,0,0,4.9,2.16,-0.09,1.83,0.333,0,"-0.367857143",0.196,0.275,"0.367857143",0.137,0.137,0.225,0.16,0,"14.0",4.451380307991248,2.7124639819560423,33.50430009208198,0.4166666666666667,34.374430357438136,26.005444259564957
28,594580,"Moll, Sam","2026-04-08",823885,28,100,0,0,0,0,0.184,0.281,0.141,0,6,84.5,-19.5,2655,85.7,82.56,3,10,18,-3.1000000000000085,4.58,105,150,109,150,283,318,299,"1.055","-1.055","64.5","6.5",8,4,0,0,0,0,2,25,0,0,3.27714,-0.09357,-0.10429,-0.18,"90.0",90,25,0,0,4.82,1.99,-0.14,2.05,0.25,0,"-3.767857143",0.356,0.154,"3.767857143",-0.141,-0.10599999999999998,-0.154,-0.097,30,"13.9",-0.18856260062676933,12.72894197840663,32.34945280459317,0.2,35.943981397086205,24.597901084248313
22,594580,"Moll, Sam","2026-05-16",824435,26,84.6,0.25,0,0.333,0.25,0.18,0.27,0.211,1,4,94.1,2.3,2605,85.7,82.84,3,11,11,-2.9000000000000057,4.5,96,135,94,130,282,322,296,"0.54","-0.54","65.7","9.9",6,3,1,0,0,0,2,33.3,1,16.7,3.28273,-0.13636,0.01,-0.31273,"91.9",170,66.66666666666666,0,0,4.79,1.83,-0.3,2.35,0.333,0,"-2.454545455",0.379,0.242,"2.454545455",0.039,-0.045999999999999985,0.008,-0.09,27.3,"12.0",6.873554104133359,2.813982018591619,31.58390807336216,0.375,40.54495519676522,27.717129772549896
19,594580,"Moll, Sam","2026-03-09",831943,19,100,0,0,0,0,0.176,,,0,3,100.7,2,2514,88.6,86.15,1,8,11,-2.3999999999999915,4.62,111,152,124,148,287,334,295,"0.459","-0.459",,,4,2,0,0,0,0,1,25,1,25,3.11579,-0.20211,0.77368,-0.31789,"94.7",65,100,50,25,4.95,1.76,0.31,2.21,0.25,1,"-2.415789474",,,"2.415789474",,,,,12.5,,,,,,,
17,594580,"Moll, Sam","2026-03-06",831889,17,100,0,0,0,0,0,,,0,3,89.3,-29,2518,87,83.7,5,12,5,-3.299999999999997,4.59,114,147,129,152,322,342,292,"0.774","-0.774",,,3,2,0,0,0,0,1,33.3,0,0,3.14412,-0.05688,0.23706,-0.24529,"92.0",68,50,0,0,4.92,2.16,-0.06,1.97,0,0,"-4.552941176",,,"4.552941176",,,,,41.7,,,,,,,
17,594580,"Moll, Sam","2026-05-10",824520,17,100,0,0,0,0,0,0.051,0.055,0,3,69.8,41.5,2576,85.7,82.99,1,5,12,-2.700000000000003,4.55,117,152,120,151,301,310,279,"0.771","-0.771","69.0","7.3",3,2,0,0,0,0,1,33.3,0,0,3.11765,0.03,0.18471,-0.11765,"88.0",210,0,0,0,4.77,1.93,-0.06,2.19,0,0,"-4.535294118",0.055,0.069,"4.535294118",-0.055,-0.055,-0.069,-0.051,20,"12.0",10.157082987116091,-13.276267541765334,37.737513826259985,0,31.459166843200123,36.433434066198
16,594580,"Moll, Sam","2026-03-18",831895,16,100,0,0,,0,0,,,0,2,,,2264,83.6,80.94,3,7,9,-2.6999999999999886,4.63,111,152,117,147,312,325,314,"0.903","-0.903",,,2,0,0,0,0,0,2,100,0,0,3.55812,-0.25375,-0.00063,0.09813,"89.1",90,,,,4.99,2.59,-0.26,1.57,0,,"-5.64375",,,"5.64375",,,,,42.9,,,,,,,
16,594580,"Moll, Sam","2026-03-02",831930,16,100,0,0,0,0,0,,,0,3,104.1,19,2476,87.9,85.45,2,6,10,-2.5,4.59,117,150,120,151,287,330,312,"0.775","-0.775",,,3,1,0,0,0,0,2,66.7,0,0,3.13813,-0.17375,0.58875,0.04,"96.1",309,100,0,0,5.01,2.34,0.43,2.26,0,0,"-4.84375",,,"4.84375",,,,,33.3,,,,,,,
16,594580,"Moll, Sam","2026-03-23",832078,16,100,0.25,0,0.333,0.25,0.225,,,1,4,103.7,-1,1993,84.9,82.31,3,7,9,-2.6000000000000085,4.73,104,152,120,148,293,316,295,"0.458","-0.458",,,4,3,1,0,0,0,1,25,0,0,3.46687,-0.27667,0.66,-0.66,"99.8",132,100,0,0,4.85,2.31,-0.2,2.14,0.25,0,"-2.8625",,,"2.8625",,,,,42.9,,,,,,,
16,594580,"Moll, Sam","2026-03-14",831728,16,100,0.25,0,0.5,0.25,0.225,,,1,4,98.6,-21,2350,87.5,85,3,7,9,-2.5,4.68,104,146,115,150,298,314,288,"0.394","-0.394",,,4,2,1,0,0,0,2,50,0,0,3.08438,-0.0775,0.68375,-0.57875,"98.6",5,50,0,0,5.11,2.33,-0.06,2.03,0.25,0,"-2.4625",,,"2.4625",,,,,42.9,,,,,,,
