"pitches","player_id","player_name","game_date","game_pk","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
33,673548,"Suzuki, Seiya","2025-03-31",778501,33,100,0.4,0.2,0.667,0.6,0.404,0.322,0.261,2,5,99.7,15,2393,87.1,86.22,4,12,21,-0.8999999999999915,6.02,112,142,115,137,304,337,298,"-0.094","0.094","72.7","7.1",7,3,1,1,0,0,3,42.9,1,14.3,2.4203,0.67,-0.09697,-0.09697,"92.5",170,100,0,0,5.8,-1.84,0.52,2.5,0.429,0,"0.284848485",0.355,0.296,"-0.284848485",0.139,0.07400000000000001,0.304,0.082,33.3,"37.3",8.53529165581935,0.9886517304562399,30.830971034064664,0.6666666666666666,38.74861751782432,33.22770013299456
29,673548,"Suzuki, Seiya","2025-10-09",813050,29,100,0.2,0,0.333,0.2,0.176,0.073,0.064,1,5,85.8,2.7,2328,89.1,88.8,3,12,17,-0.29999999999999716,6.37,111,146,127,146,298,329,305,"0.619","-0.619",,,5,3,1,0,0,0,2,40,0,0,2.51793,0.43241,0.33793,-0.16069,"89.3",130,33.33333333333333,0,0,5.65,-0.94,-0.08,2.03,0.2,0,"-2.134482759",0.064,0.101,"2.134482759",0.136,0.136,0.099,0.103,25,"38.8",,,,,,
28,673548,"Suzuki, Seiya","2025-04-05",778450,28,100,0,0,0,0,0.277,0.295,0.029,0,3,85.1,27,2176,84.7,85.29,6,10,18,0.5999999999999943,6.8,125,152,128,148,304,330,298,"0.171","-0.171","66.7","7.3",5,1,0,0,0,0,2,40,2,40,2.3975,0.86714,0.235,-0.43357,"88.0",154,0,0,0,5.9,-0.45,0.25,2.44,0.4,0,"-0.610714286",0.417,0.047,"0.610714286",-0.029,-0.01699999999999996,-0.047,-0.018,60,"43.5",13.35538998926354,-4.984190705050267,30.063664126657823,0.5,38.496772270290016,35.91691608759826
28,673548,"Suzuki, Seiya","2025-03-19",778564,28,100,0,0,0,0,0.138,0.154,0.021,0,4,73,-2,2170,89.9,90,4,12,16,0.09999999999999432,6.63,106,153,129,149,303,324,291,"0.708","-0.708","67.3","6.7",5,1,0,0,0,0,3,60,1,20,2.15857,0.74036,0.15571,-0.02714,"88.2",109,0,0,0,6.11,-1.54,0.01,2.56,0.2,0,"-2.528571429",0.217,0.021,"2.528571429",-0.021,-0.016999999999999987,-0.021,-0.016,33.3,"57.5",0.14675810033169112,12.532318571561992,31.403380292402442,0.5,36.30259733000378,23.650782327928013
27,673548,"Suzuki, Seiya","2025-07-05",777229,27,100,0.25,0.25,0.5,0.5,0.389,0.234,0.115,1,4,89.2,24.5,2236,88.9,88.83,3,12,15,-0.10000000000000853,6.24,107,151,120,146,297,324,301,"-0.309","0.309","73.8","7.8",5,2,0,1,0,0,2,40,1,20,2.58296,0.33852,0.33462,-0.33462,"91.3",185,50,0,0,6.17,1.38,0.21,2.56,0.4,0,"1.144444444",0.292,0.173,"-1.144444444",0.135,0.10800000000000004,0.327,0.155,25,"41.2",13.350857466063621,-16.761935165948266,33.48092547922166,0.6666666666666666,37.82000231330213,40.67765317797808
26,673548,"Suzuki, Seiya","2025-05-24",777791,26,100,0.333,0.333,0.333,0.667,0.486,0.5,0.42,1,3,99.7,7,2315,89.3,89.01,1,10,16,-0.29999999999999716,6.21,94,152,123,146,303,323,281,"-0.538","0.538","68.2","6.3",4,3,0,1,0,0,0,0,1,25,2.06654,0.83269,0.34115,-0.17115,"92.2",171,100,0,0,5.91,1.15,0.17,2.49,0.5,0,"2.069230769",0.565,0.616,"-2.069230769",-0.087,-0.06499999999999995,0.051,-0.014,10,"41.7",-2.5765372236270467,17.464682216721535,28.202643158005117,0.1111111111111111,37.957922708289985,24.02923130398234
26,673548,"Suzuki, Seiya","2025-06-19",777450,26,100,0,0,0,0,0,0.186,0.2,0,5,97.1,14.3,2426,92.3,92.62,4,14,12,0.29999999999999716,6.5,111,151,127,151,302,332,296,"1.353","-1.353","68.5","7.6",5,3,0,0,0,0,2,40,0,0,2.05154,0.67115,0.15231,0.09846,"91.1",136,66.66666666666666,0,0,5.85,-1.59,0.15,2.38,0,0,"-5.203846154",0.2,0.226,"5.203846154",-0.2,-0.2,-0.226,-0.186,28.6,"40.0",10.76814661633737,-6.859540852383436,29.40773518991405,0.6428571428571429,39.546422285968745,36.22495961593825
26,673548,"Suzuki, Seiya","2025-04-25",778182,26,100,0.4,0.4,0.5,0.8,0.501,0.356,0.344,2,5,95,15.5,2345,88.8,88.43,2,8,18,-0.3999999999999915,5.99,107,149,120,147,293,303,274,"-0.521","0.521","70.8","7.5",5,4,0,2,0,0,1,20,0,0,2.12192,0.785,0.07,0.14308,"94.6",179,75,0,0,6.27,-0.74,0.44,2.49,0.4,0,"2.003846154",0.344,0.47,"-2.003846154",0.056,0.05600000000000005,0.33,0.145,25,"43.0",13.713322543703741,-4.808927521155835,28.251073759989684,0.75,43.075431186646995,36.75599499020524
26,673548,"Suzuki, Seiya","2025-07-26",776994,26,100,0.2,0,0.333,0.2,0.176,0.42,0.337,1,5,95.2,14.7,2244,86.3,86.33,3,9,17,0,6.18,99,151,118,145,298,329,296,"0.689","-0.689","71.7","7.1",5,3,1,0,0,0,2,40,0,0,2.62385,0.44423,0.26654,-0.60962,"94.7",181,66.66666666666666,33.33333333333333,20,5.54,1.99,0.55,2.31,0.2,1,"-2.65",0.337,0.664,"2.65",-0.137,-0.137,-0.464,-0.244,33.3,"29.0",5.204562870612479,1.3428966551675385,31.130449111436874,0.5555555555555556,42.261692044854165,34.01740480952442
26,673548,"Suzuki, Seiya","2025-04-02",778471,26,100,0.6,1.2,0.5,1.8,0.941,0.649,0.363,3,5,99.8,28,2406,89.6,89.41,3,12,14,-0.19999999999998863,6.21,109,151,121,145,296,331,285,"-3.107","3.107","72.2","7.5",6,4,1,0,0,2,1,16.7,1,16.7,2.285,0.60038,-0.13192,-0.44346,"94.2",267,75,50,33.33333333333333,6.02,-0.72,0.44,2.53,0.667,2,"11.95",0.469,1.219,"-11.95",0.237,0.19800000000000006,0.581,0.292,25,"40.6",13.12835006519311,-5.505121115829745,30.229800951441366,0.4166666666666667,40.29214729122729,37.417055368846306
