"pitches","player_id","player_name","game_date","game_pk","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
105,500779,"Quintana, Jose","2025-06-27",777339,105,100,0.292,0.125,0.368,0.417,0.333,0.293,0.232,7,24,83.2,19.5,1970,87,87.46,8,45,60,0.5,6.64,110,150,122,151,309,326,299,"-0.948","0.948","70.0","6.9",26,19,4,3,0,0,5,19.2,2,7.7,2.37495,0.67819,0.61114,-0.57838,"91.1",173,31.57894736842105,5.263157894736842,3.8461538461538463,5.66,2.16,0.11,2.26,0.346,1,"0.902857143",0.291,0.373,"-0.902857143",0.06,0.05499999999999999,0.044,0.04,17.8,"42.5",7.603007690395066,4.6923497634824916,33.18908456603995,0.5681818181818182,36.93365845859136,25.439003150672885
101,500779,"Quintana, Jose","2025-06-14",777512,101,100,0.4,0.15,0.467,0.55,0.459,0.397,0.302,8,20,86.7,12.4,1999,85,84.91,9,46,55,-0.09999999999999432,6.42,106,144,120,146,310,324,298,"-3.257","3.257","68.7","7.4",24,16,7,0,0,1,4,16.7,3,12.5,2.78238,0.4385,0.40842,-0.26168,"91.3",140,37.5,6.25,4.166666666666666,5.63,2.21,0.09,2.13,0.5,1,"3.224752475",0.418,0.489,"-3.224752475",0.098,0.08200000000000002,0.061,0.062,19.6,"40.4",12.346021412017661,-1.5052246661399673,33.64154804628336,0.3695652173913043,38.34597790732611,32.56756410518456
101,500779,"Quintana, Jose","2025-06-07",777597,101,100,0.25,0,0.313,0.25,0.282,0.239,0.178,5,20,87.9,23.6,2029,87,87.36,8,43,58,0.4000000000000057,6.64,109,148,121,151,307,326,300,"0.945","-0.945","63.5","6.4",23,16,5,0,0,0,4,17.4,3,13,2.41297,0.64267,0.68079,-0.30851,"90.3",146,25,0,0,5.64,2.17,-0.07,2.3,0.348,0,"-0.935643564",0.285,0.213,"0.935643564",0.072,0.063,0.037,0.043,18.6,"40.1",1.1025913436417247,10.665505016401402,30.37659662897146,0.3333333333333333,39.99135235320243,24.126394502602817
100,500779,"Quintana, Jose","2025-04-16",778295,100,100,0.2,0.15,0.2,0.35,0.294,0.334,0.26,4,20,89.8,0.8,1925,86.4,86.36,6,38,62,0,6.49,111,152,124,149,310,332,299,"-0.055","0.055","70.4","7.5",24,17,3,0,0,1,4,16.7,3,12.5,2.5223,0.586,0.7777,-0.5123,"92.0",133,58.82352941176471,5.88235294117647,4.166666666666666,5.73,2.17,0.22,2.1,0.304,1,"0.055",0.357,0.398,"-0.055",-0.06,-0.05299999999999999,-0.048,-0.04,15.8,"41.0",11.003002209797932,3.9347817014686086,35.84454234030002,0.4864864864864865,39.32743249908599,28.762098531407005
99,500779,"Quintana, Jose","2025-07-26",776996,99,100,0.333,0.333,0.294,0.667,0.445,0.426,0.322,7,21,89.6,16.4,1989,87.9,88.36,3,39,60,0.5,6.64,107,151,124,150,311,323,292,"-2.867","2.867","72.0","7.1",23,19,4,1,0,2,2,8.7,2,8.7,2.31182,0.6698,0.84535,-0.79869,"92.1",166,42.10526315789473,15.789473684210526,13.043478260869565,5.67,2.19,0.23,2.09,0.391,3,"2.895959596",0.381,0.632,"-2.895959596",0.011,0.010000000000000009,0.035,0.019,7.7,"41.9",5.867257206720924,2.0313973482730345,28.342717605284015,0.4473684210526316,36.9428425748544,27.034788135338555
98,500779,"Quintana, Jose","2025-04-27",778150,99,99,0.25,0.05,0.357,0.3,0.298,0.32,0.232,5,20,90.4,16.3,1904,87,86.81,8,38,60,-0.20000000000000284,6.54,108,150,123,149,302,317,302,"0.608","-0.608","68.4","7.4",23,14,4,1,0,0,6,26.1,3,13,2.43061,0.64949,0.83663,-0.44867,"90.6",179,35.714285714285715,7.142857142857142,4.3478260869565215,5.71,2.31,0.28,2.19,0.348,1,"-0.620408163",0.332,0.386,"0.620408163",0.018,0.01599999999999996,-0.086,-0.022,21.1,"40.6",4.417024527358403,2.7016214065464825,33.21763793032336,0.4864864864864865,41.195746927120865,27.659861416786654
98,500779,"Quintana, Jose","2025-08-17",776709,98,100,0.217,0.043,0.25,0.261,0.219,0.333,0.31,5,23,86.5,17.4,1995,85.5,85.81,6,44,54,0.29999999999999716,6.44,112,151,123,151,293,327,293,"2.13","-2.13","71.3","7.3",25,20,4,1,0,0,4,16,1,4,2.74214,0.41124,0.40408,-0.36571,"91.1",160,35,0,0,5.79,2.35,0.02,2.03,0.24,0,"-2.173469388",0.328,0.455,"2.173469388",-0.093,-0.08800000000000002,-0.194,-0.114,13.6,"41.7",10.236161184527075,-3.009881495282618,31.091022556291755,0.5454545454545454,37.948873953537245,35.36635571853525
97,500779,"Quintana, Jose","2025-09-03",776471,97,100,0.292,0.125,0.353,0.417,0.348,0.344,0.265,7,24,89.3,-2.1,1922,86.3,86.68,13,44,53,0.4000000000000057,6.57,108,151,124,150,313,330,303,"-1.028","1.028","73.3","7.7",27,18,6,0,0,1,6,22.2,3,11.1,2.62866,0.47458,0.59608,-0.34351,"93.1",145,50,11.11111111111111,7.4074074074074066,5.64,2.09,0.02,1.89,0.37,2,"1.059793814",0.346,0.443,"-1.059793814",0.027,0.02400000000000002,-0.026,0.004,29.5,"41.0",12.525769651714148,-3.3725326286108226,33.993227383955436,0.5454545454545454,41.7651110888219,32.99598954301217
95,500779,"Quintana, Jose","2025-07-09",777175,95,100,0.1,0,0.125,0.1,0.189,0.396,0.292,2,20,89.5,14.1,1929,87,87.48,8,38,57,0.5,6.65,116,151,126,152,311,324,301,"2.756","-2.756","71.9","7.6",24,16,2,0,0,0,4,16.7,4,16.7,2.41537,0.62853,0.62926,-0.19347,"92.6",163,43.75,12.5,8.333333333333332,5.66,2.21,0.06,2.09,0.25,2,"-2.901052632",0.41,0.51,"2.901052632",-0.192,-0.15999999999999998,-0.41,-0.207,21.1,"41.7",12.9429514143511,-0.18978811826120545,37.70915253584627,0.6052631578947368,41.14919349828698,29.510966315483483
95,500779,"Quintana, Jose","2025-08-28",776553,95,100,0.313,0,0.357,0.313,0.392,0.472,0.373,5,16,85.3,29.6,1959,87.7,88.18,6,36,59,0.5,6.6,106,149,119,149,311,329,306,"-1.772","1.772","69.5","7.2",22,14,5,0,0,0,2,9.1,4,18.2,2.32105,0.67168,0.72547,-0.44968,"90.6",195,21.428571428571427,7.142857142857142,4.545454545454546,5.67,2.08,-0.02,2.24,0.5,1,"1.865263158",0.544,0.515,"-1.865263158",-0.06,-0.04400000000000004,-0.202,-0.08,16.7,"41.2",8.332614765416535,-0.37531434814039577,33.56605631576865,0.45714285714285713,36.3483270844279,32.15116138232076
