"pitches","player_id","player_name","game_date","game_pk","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
114,665152,"Kremer, Dean","2025-08-17",776705,114,100,0.13,0,0.188,0.13,0.139,0.138,0.121,3,23,87.6,7.2,2014,86.8,85.95,21,59,55,-0.8999999999999915,5.96,108,150,115,149,286,324,295,"3.614","-3.614","71.2","7.4",24,16,3,0,0,0,7,29.2,1,4.2,2.2186,0.86825,0.43307,0.00728,"90.5",106,25,0,0,6.42,-1.99,0.23,2.34,0.167,0,"-3.170175439",0.158,0.14,"3.170175439",0.009,0.009000000000000008,-0.01,0.001,35.6,"47.4",12.420812019872356,-6.965657211446797,28.225244750602638,0.44642857142857145,38.760128723319056,34.40450047221687
105,665152,"Kremer, Dean","2025-06-12",777540,105,100,0.2,0.24,0.2,0.44,0.3,0.351,0.26,5,25,93.3,21.8,1865,85,84.42,17,58,47,-0.5999999999999943,5.94,122,149,132,151,300,332,308,"0.564","-0.564","71.7","7.7",27,17,3,0,0,2,8,29.6,2,7.4,2.50762,0.69486,0.51276,-0.16838,"91.6",172,41.17647058823529,11.76470588235294,7.4074074074074066,6.32,-2.2,-0.11,2.56,0.259,2,"-0.537142857",0.315,0.512,"0.537142857",-0.06,-0.055999999999999994,-0.072,-0.051,29.3,"44.7",17.540531900387133,-8.731040376804934,34.90819886850448,0.3620689655172414,37.54135997046039,35.705530375763686
103,665152,"Kremer, Dean","2025-08-05",776868,103,100,0.32,0.28,0.389,0.6,0.398,0.289,0.207,8,25,85.8,15.4,2064,87.8,87.36,16,53,50,-0.3999999999999915,6.1,117,145,116,148,294,326,294,"-1.152","1.152","71.1","7.7",26,19,4,2,1,1,6,23.1,1,3.8,2.24709,0.75631,0.42621,-0.22155,"91.5",179,31.57894736842105,10.526315789473683,7.6923076923076925,6.35,-2.06,0.01,2.32,0.346,2,"1.118446602",0.237,0.443,"-1.118446602",0.113,0.10899999999999999,0.157,0.109,30.2,"45.8",13.2116124606152,-6.6841362528932216,32.683810476273486,0.43137254901960786,38.16436302534472,32.697661121887705
102,665152,"Kremer, Dean","2025-05-31",777699,102,100,0.25,0.042,0.353,0.292,0.271,0.289,0.24,6,24,84.4,11.3,2057,87.4,86.9,8,48,54,-0.5,6.06,111,149,122,150,305,326,298,"1.2","-1.2","71.0","7.5",26,17,5,1,0,0,7,26.9,2,7.7,2.23225,0.80245,0.59843,-0.11137,"90.9",153,29.411764705882355,5.88235294117647,3.8461538461538463,6.22,-2.15,-0.14,2.29,0.308,1,"-1.176470588",0.299,0.355,"1.176470588",0.01,0.009000000000000008,-0.063,-0.018,16.7,"43.7",11.07249027853201,-0.29781226148072104,34.131191164649906,0.5106382978723404,38.97123519115379,29.843602706835362
101,665152,"Kremer, Dean","2025-08-12",776776,102,99,0.192,0,0.25,0.192,0.189,0.258,0.236,5,26,87,12.8,1957,86.7,86.17,14,51,50,-0.5,5.99,110,146,118,149,301,325,304,"2.846","-2.846","72.2","7.7",27,20,5,0,0,0,6,22.2,1,3.7,2.22485,0.85059,0.50554,-0.24119,"91.9",150,35,5,3.7037037037037033,6.32,-2.09,-0.16,2.25,0.222,1,"-2.817821782",0.264,0.32,"2.817821782",-0.044,-0.04200000000000001,-0.128,-0.069,27.5,"44.6",14.787796175625093,-10.352293524162791,33.471594739461075,0.29411764705882354,36.63266640977874,37.52595147675529
101,665152,"Kremer, Dean","2025-04-22",778222,102,99,0.423,0.5,0.45,0.923,0.56,0.44,0.347,11,26,93.5,11.6,2031,87,86.91,10,52,49,-0.09999999999999432,6.27,120,145,117,146,302,324,311,"-3.657","3.657","72.0","7.2",26,22,3,5,1,2,4,15.4,0,0,2.53686,0.51804,0.54186,-0.3252,"92.9",151,50,18.181818181818183,15.384615384615385,6.11,-2.43,-0.06,2.25,0.423,4,"3.620792079",0.347,0.7,"-3.620792079",0.076,0.07600000000000001,0.223,0.12,19.2,"39.6",6.811486796849131,1.8641523313974784,32.779212242026595,0.46153846153846156,37.07590419618693,29.720377567926242
99,665152,"Kremer, Dean","2025-07-11",777157,99,100,0.125,0,0.176,0.125,0.134,0.207,0.161,3,24,86,19.9,2073,88.5,88.04,13,50,49,-0.5,6.01,113,149,119,149,300,322,297,"3.651","-3.651","70.0","6.9",25,17,3,0,0,0,7,28,1,4,2.08737,0.86667,0.53848,0.07869,"91.3",171,41.17647058823529,5.88235294117647,4,6.2,-2.35,0.06,2.5,0.16,1,"-3.687878788",0.195,0.279,"3.687878788",-0.036,-0.035,-0.154,-0.073,26,"40.5",9.695913010570226,-7.5937345901991815,29.031042959302585,0.5,37.083660205746106,33.92208860360122
98,665152,"Kremer, Dean","2025-07-19",777095,98,100,0.136,0.045,0.188,0.182,0.204,0.226,0.167,3,22,83.3,1.7,1998,87.1,86.91,13,53,45,-0.19999999999998863,6,105,144,117,147,297,320,289,"2.155","-2.155","69.7","7.4",25,16,2,1,0,0,6,24,3,12,2.33551,0.69459,0.6548,-0.40704,"89.5",149,12.5,0,0,6.15,-2.09,-0.09,2.25,0.24,0,"-2.198979592",0.267,0.205,"2.198979592",-0.031,-0.027000000000000024,-0.023,-0.022,24.5,"39.6",9.257377723250288,1.695959506360643,30.12142109595108,0.4528301886792453,40.19499583893756,29.585891451559146
97,665152,"Kremer, Dean","2025-09-23",776223,97,100,0.048,0,0.059,0.048,0.073,0.197,0.165,1,21,79.8,26.8,2036,87.6,87.27,11,47,50,-0.29999999999999716,6.05,118,150,115,149,292,316,299,"3.675","-3.675","69.9","7.5",22,17,1,0,0,0,4,18.2,0,0,2.12804,0.87711,0.62412,-0.30227,"89.0",166,11.76470588235294,5.88235294117647,4.545454545454546,6.16,-2.36,-0.21,2.49,0.091,1,"-3.788659794",0.203,0.239,"3.788659794",-0.117,-0.11200000000000002,-0.191,-0.124,23.4,"40.5",13.150115817346961,-4.06193531475117,31.335485521749952,0.5319148936170213,40.64440614108364,33.84613976048075
97,665152,"Kremer, Dean","2025-09-16",776306,97,100,0.2,0.15,0.2,0.35,0.294,0.278,0.174,4,20,84.9,28.3,2058,88.6,88.48,16,50,47,-0.09999999999999432,6.28,110,149,121,148,293,322,302,"0.733","-0.733","66.3","7.1",23,16,3,0,0,1,4,17.4,3,13,2.01206,0.93588,0.59856,-0.38309,"90.6",169,31.25,6.25,4.3478260869565215,6.19,-2.26,0.08,2.43,0.304,1,"-0.755670103",0.282,0.339,"0.755670103",0.026,0.02200000000000002,0.011,0.016,32,"41.8",13.16886710643882,-4.617476211244487,30.48215437113481,0.34,38.58113933199592,34.53518654468626
