"pitches","player_id","player_name","game_date","game_pk","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
26,647304,"Naylor, Josh","2025-10-10",813054,26,100,0.5,0.167,0.5,0.667,0.503,0.438,0.443,3,6,92.4,10.3,2290,89.8,89.98,2,17,9,0.20000000000000284,6.46,123,148,128,152,293,330,310,"-0.533","0.533","65.7","7.6",6,6,2,1,0,0,0,0,0,0,2.53692,0.34192,0.00538,0.26154,"91.7",127,66.66666666666666,0,0,5.77,-1.09,-0.51,2.13,0.5,0,"2.05",0.443,0.576,"-2.05",0.057,0.056999999999999995,0.091,0.065,11.8,"44.7",3.728456430257414,-5.169621982250238,32.98649043540298,0.23529411764705882,38.45201382251388,23.26403059576286
26,647304,"Naylor, Josh","2025-09-10",776373,26,100,0.2,0,0.333,0.2,0.262,0.267,0.132,1,5,98.6,23,2384,88.2,88.22,5,11,15,0,6.23,120,149,115,151,284,321,298,"0.549","-0.549","70.7","7.8",6,3,1,0,0,0,2,33.3,1,16.7,2.68923,0.26115,-0.01077,-0.33231,"93.3",154,66.66666666666666,0,0,5.62,-1.27,-0.55,2.04,0.333,0,"-2.111538462",0.277,0.306,"2.111538462",0.068,0.055999999999999994,-0.106,-0.005,45.5,"35.1",7.502081609497729,-5.6575067465969475,32.94556762638941,0.18181818181818182,39.194731733096994,23.06275447027057
24,647304,"Naylor, Josh","2025-06-09",777577,24,100,0.6,0.8,0.5,1.4,0.811,0.71,0.535,3,5,99.7,20.4,2182,89.8,90.1,1,13,11,0.29999999999999716,6.38,110,142,121,148,288,323,300,"-1.812","1.812","73.1","7.3",6,5,1,1,0,1,0,0,1,16.7,2.44917,0.405,0.52417,-0.52417,"96.0",224,80,40,33.33333333333333,5.39,-2.45,0.02,2.33,0.667,2,"7.55",0.613,1.172,"-7.55",0.065,0.05400000000000005,0.228,0.101,7.7,"23.7",3.553394378712179,-3.9921144601275635,27.96279045790942,0.3333333333333333,38.04119831724289,23.403185573550488
24,647304,"Naylor, Josh","2025-03-30",778515,24,100,1,0.5,1,1.5,0.842,0.597,0.29,2,2,97.8,-2,2378,87.8,87.98,0,7,17,0.20000000000000284,6.39,121,150,124,154,295,332,305,"-2.467","2.467","62.9","7.4",5,2,1,1,0,0,0,0,3,60,2.53208,0.4825,0.27375,0.24792,"91.3",93,50,50,20,5.51,1.02,-0.28,1.93,1,1,"10.279166667",0.716,0.817,"-10.279166667",0.71,0.28400000000000003,0.683,0.245,0,"32.2",3.866808846899024,-5.739016893961424,32.15942005872546,0.7142857142857143,33.88856422067762,22.911620290525484
23,647304,"Naylor, Josh","2025-08-14",776750,23,100,0.4,0,0.4,0.4,0.353,0.406,0.356,2,5,98.4,7.4,2338,87.8,87.53,3,14,9,-0.29999999999999716,6.15,125,149,123,152,301,326,309,"-0.011","0.011","71.1","8.3",5,5,2,0,0,0,0,0,0,0,2.51696,0.47261,0.18087,-0.23478,"95.0",177,80,20,20,6.03,-1.52,-0.02,2.05,0.4,1,"0.047826087",0.356,0.594,"-0.047826087",0.044,0.04400000000000004,-0.194,-0.053,21.4,"40.3",14.02193916297165,-18.641970550098836,35.4565778157374,0.5,34.46419533802968,30.844624640556965
23,647304,"Naylor, Josh","2025-03-03",778802,23,100,0.5,0.25,0.5,0.75,0.534,,,2,4,101,15.8,2195,90.9,91.25,0,12,11,0.3999999999999915,6.73,112,145,126,151,299,323,314,"-0.815","0.815","71.9","7.3",4,4,1,1,0,0,0,0,0,0,2.12087,0.69913,0.42652,-0.42652,"93.2",186,75,0,0,5.34,-1.63,0.24,2.3,0.5,0,"3.543478261",,,"-3.543478261",,,,,0,,0.7795795118248644,-2.4579419596529792,30.257294448818676,0.16666666666666666,39.20013245283057,22.334134017829538
22,647304,"Naylor, Josh","2025-08-12",776776,23,95.7,0.25,0,0.333,0.25,0.221,0.149,0.162,1,4,93.2,34.7,2021,89,88.39,2,13,9,-0.5999999999999943,6.01,99,144,124,150,304,328,312,"0.167","-0.167","72.2","7.6",4,3,1,0,0,0,1,25,0,0,2.02227,0.89318,0.76227,-0.76227,"91.5",233,33.33333333333333,0,0,6.08,-2,-0.64,2.54,0.25,0,"-0.759090909",0.162,0.184,"0.759090909",0.088,0.088,0.066,0.072,15.4,"43.8",7.4857670365014055,-8.306471111970742,30.29679461925417,0.38461538461538464,37.60552321375664,25.357028888812316
22,647304,"Naylor, Josh","2025-07-07",777203,22,100,0.5,1.5,,2,0.829,0.765,0.433,1,2,106.9,25,2439,90.5,89.54,2,7,15,-1,6.03,126,148,126,154,299,327,303,"-2.381","2.381","70.8","7.8",5,1,0,0,0,1,1,20,2,40,2.20455,0.70333,0.29273,0.19,"94.3",272,100,100,20,5.77,-0.71,-0.04,2.1,0.8,1,"10.822727273",0.773,1.689,"-10.822727273",0.067,0.027000000000000024,0.311,0.064,28.6,"42.6",10.923292128512582,-16.068182833645757,30.39225155669696,0.8,31.56357072760149,27.24915745099847
22,647304,"Naylor, Josh","2025-09-06",776447,22,100,0.25,0.75,0,1,0.546,0.375,0.232,1,4,91.5,14,1809,88.7,88.77,0,7,15,0.09999999999999432,6.32,130,146,113,154,317,324,299,"-0.84","0.84","67.8","7.2",5,4,0,0,0,1,0,0,1,20,2.56409,0.36182,0.37091,-0.37091,"92.0",192,50,0,0,6.2,-1.16,-0.19,2.47,0.4,0,"3.818181818",0.386,0.473,"-3.818181818",0.018,0.014000000000000012,0.527,0.171,0,"51.6",4.589016108653665,-2.5526177715874554,31.502657420973616,0.42857142857142855,34.9567940741527,20.849139908725302
20,647304,"Naylor, Josh","2025-08-27",776561,20,100,0.333,0,0.333,0.333,0.393,0.301,0.185,1,3,69.6,-19.3,2055,88.1,87.74,2,10,10,-0.3999999999999915,5.99,109,144,119,150,295,326,298,"-0.306","0.306","71.5","8.0",4,3,1,0,0,0,0,0,1,25,2.597,0.378,0.4655,0.1845,"90.9",38,33.33333333333333,0,0,5.61,-0.3,0.16,1.85,0.5,0,"1.53",0.388,0.197,"-1.53",0.148,0.11199999999999999,0.136,0.092,20,"37.4",14.155811195644903,-20.026069395833044,35.74016516874584,0.4444444444444444,29.56966412670923,30.58310777100202
