"pitches","player_id","player_name","game_date","game_pk","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
24,641343,"Bauers, Jake","2025-09-13",776339,24,100,0.2,0,0.25,0.2,0.176,0.177,0.193,1,5,91.8,-1.7,2428,87.7,87.99,2,11,13,0.29999999999999716,6.53,116,147,104,150,291,316,296,"0.58","-0.58","76.2","8.0",5,4,1,0,0,0,1,20,0,0,2.83542,0.16708,-0.43167,0.19,"91.6",110,25,0,0,5.51,-0.94,-0.04,1.99,0.2,0,"-2.416666667",0.193,0.211,"2.416666667",0.007,0.007000000000000006,-0.011,-0.001,18.2,"42.4",15.16938444750146,-9.035755687672335,35.62699620354569,0.45454545454545453,36.964130269168244,34.707516022075346
24,641343,"Bauers, Jake","2025-09-05",776453,24,100,0.4,0,0.667,0.4,0.353,0.356,0.369,2,5,95.7,31,2413,91.1,92.13,3,12,12,1,6.84,117,142,114,147,292,309,292,"-0.261","0.261","75.6","7.2",5,3,2,0,0,0,2,40,0,0,2.29083,0.49292,0.05542,-0.05542,"90.9",184,33.33333333333333,0,0,5.49,-2.07,0.02,2.25,0.4,0,"1.0875",0.369,0.439,"-1.0875",0.031,0.031000000000000028,-0.039,-0.003,25,"31.1",4.455457225984535,3.093899675624197,36.42676162875887,0.16666666666666666,33.13135249360341,24.07428395395144
23,641343,"Bauers, Jake","2025-07-04",777254,23,100,0,0,0,0,0.173,0.271,0.143,0,3,60.1,-50,2313,92.2,91.28,1,11,12,-0.9000000000000057,6.01,124,147,120,149,299,312,285,"0.643","-0.643","78.2","7.7",4,2,0,0,0,0,1,25,1,25,2.14826,0.58652,0.89696,-0.69957,"88.6",80,0,0,0,5.93,-0.8,-0.43,2.34,0.25,0,"-2.795652174",0.357,0.143,"2.795652174",-0.143,-0.10699999999999998,-0.143,-0.098,9.1,"31.6",9.247358511979094,-3.146201024858683,36.612273552183424,0.5,35.47834793648321,25.98175335747395
22,641343,"Bauers, Jake","2025-08-23",776621,22,100,0,0,,0,0.353,0.353,,0,2,,,1926,88.6,89.81,3,8,14,1.2000000000000028,6.95,103,144,115,149,309,320,302,"-0.235","0.235","79.1","7.8",4,0,0,0,0,0,2,50,1,25,2.82,0.09136,0.43045,-0.43045,"96.7",101,,,,4.9,-1.68,-0.1,2.35,0.5,,"1.068181818",0.5,,"-1.068181818",,0,,0,37.5,"22.5",12.168331632177987,-7.944553650727851,35.79848539747026,0.625,34.043985639931925,30.814535250047694
21,641343,"Bauers, Jake","2025-09-07",776419,21,100,0.5,0.25,0.5,0.75,0.565,0.368,0.313,2,4,101.1,11,2225,93.2,93.86,0,7,14,0.7000000000000028,6.69,108,143,120,151,299,308,296,"-0.887","0.887","77.4","7.6",5,4,1,1,0,0,0,0,1,20,1.76667,0.8819,0.7381,-0.7381,"96.7",121,75,0,0,5.71,-1.42,0.02,2.12,0.6,0,"4.223809524",0.45,0.335,"-4.223809524",0.187,0.14999999999999997,0.415,0.197,0,"37.2",9.591032279223736,-3.3529195325293406,35.88763455864235,0.5714285714285714,35.89402780518438,29.410151168160876
21,641343,"Bauers, Jake","2025-09-17",776291,21,100,0.25,0,0.333,0.25,0.221,0.148,0.161,1,4,86.1,41.7,2114,90,90.43,2,9,12,0.4000000000000057,6.67,106,128,104,137,305,316,291,"0.345","-0.345","69.7","7.4",4,3,1,0,0,0,1,25,0,0,2.2581,0.5881,0.8819,-0.8819,"94.2",172,33.33333333333333,0,0,5.59,-2.48,-0.25,2.16,0.25,0,"-1.642857143",0.161,0.179,"1.642857143",0.089,0.089,0.071,0.073,22.2,"29.0",6.474663393877245,-11.30844736467975,40.98764119389716,0.2222222222222222,35.24117883976532,32.5166282893164
21,641343,"Bauers, Jake","2025-05-23",777806,21,100,0,0,0,0,0.138,0.412,0.17,0,4,105.5,35,2325,91.3,91.49,6,8,13,0.20000000000000284,6.59,112,143,108,147,303,310,303,"0.803","-0.803","72.2","7.6",5,1,0,0,0,0,3,60,1,20,1.95381,0.83143,0.40905,0.05381,"96.8",297,100,100,20,5.82,-0.66,-0.41,2.11,0.2,1,"-3.823809524",0.336,0.674,"3.823809524",-0.17,-0.136,-0.674,-0.274,75,"37.1",9.441260369467837,1.431526264158479,34.971167196709,0.375,37.17713142396827,28.30861657336073
21,641343,"Bauers, Jake","2025-03-15",779151,21,100,0.333,0,0.333,0.333,0.393,,,1,3,,,,,,2,10,11,,,,,,,,,,"-0.655","0.655",,,4,3,1,0,0,0,0,0,1,25,,,,,,,,,,,,,,0.5,,"3.119047619",,,"-3.119047619",,,,,20,,,,,,,
20,641343,"Bauers, Jake","2025-05-14",777925,20,100,0.4,0.2,0.667,0.6,0.427,0.367,0.277,2,5,96.1,31.3,2406,87,87.47,3,8,12,0.5,6.5,111,143,119,150,298,321,302,"-0.456","0.456","75.0","7.2",5,3,1,1,0,0,2,40,0,0,3.066,-0.018,-0.218,0.152,"95.1",253,66.66666666666666,33.33333333333333,20,6.04,-1.58,-0.56,2.81,0.4,1,"2.28",0.277,0.603,"-2.28",0.123,0.123,-0.003,0.06,37.5,"43.1",7.823662629953722,8.564233628052794,30.603499545095467,0.5,37.55993840859109,23.40728862986054
19,641343,"Bauers, Jake","2025-09-20",776244,19,100,0.25,0.25,0.333,0.5,0.313,0.493,0.327,1,4,91.5,-6,2229,91,91.21,1,12,7,0.20000000000000284,6.48,123,146,108,152,305,324,303,"0.161","-0.161","76.4","7.5",4,3,0,1,0,0,1,25,0,0,2.26263,0.52947,0.42684,-0.42684,"93.5",197,66.66666666666666,66.66666666666666,50,6.18,-1.96,0.14,2.4,0.25,2,"-0.847368421",0.327,0.866,"0.847368421",-0.077,-0.07700000000000001,-0.366,-0.18,8.3,"39.1",10.17813200990268,-1.0724709897764892,34.38965379668015,0.4166666666666667,35.577398475654604,29.36990887002121
