"pitches","player_id","player_name","game_date","game_pk","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
29,669127,"Langeliers, Shea","2025-09-13",776340,29,100,0.5,0.5,1,1,0.671,0.478,0.141,1,2,88.1,22,2406,92.4,92.1,2,10,19,-0.30000000000001137,6.36,101,150,114,146,301,332,291,"-1.177","1.177","67.0","6.5",5,1,0,1,0,0,1,20,2,40,1.96414,0.76966,-0.06345,-0.06345,"88.0",205,0,0,0,5.97,-2.03,0.06,2.08,0.8,0,"4.05862069",0.656,0.199,"-4.05862069",0.359,0.14400000000000002,0.801,0.193,20,"38.1",1.3735022566994386,9.316636178988077,34.80306063731559,0.3,37.228833403465345,24.864695807443145
27,669127,"Langeliers, Shea","2025-09-06",776430,27,100,0.5,0.167,0.6,0.667,0.53,0.539,0.402,3,6,99.7,27.2,2299,87.1,87,4,14,13,-0.09999999999999432,6.04,109,152,121,146,316,331,306,"-0.92","0.92","76.0","7.4",7,5,2,1,0,0,1,14.3,1,14.3,3.23963,0.75192,0.12556,0.18926,"96.3",251,60,20,14.285714285714285,5.98,-0.07,-0.1,2.1,0.571,1,"3.407407407",0.488,0.822,"-3.407407407",0.098,0.08299999999999996,-0.155,-0.009,28.6,"43.4",13.613339446837642,-8.449734826677991,31.94524330959091,0.7,38.73053121805865,36.281971289878584
25,669127,"Langeliers, Shea","2025-09-09",776396,25,100,0.4,0,0.667,0.4,0.353,0.377,0.401,2,5,96.7,8.7,2125,86.8,87.15,4,15,10,0.29999999999999716,6.77,100,154,119,144,308,332,301,"0.059","-0.059","71.7","7.2",5,3,2,0,0,0,2,40,0,0,2.8464,0.2568,0.1476,-0.3308,"92.0",136,33.33333333333333,0,0,5.61,2.06,-0.04,2.38,0.4,0,"-0.236",0.401,0.463,"0.236",-0.001,-0.0010000000000000009,-0.063,-0.024,26.7,"35.5",12.088842947458133,-5.01670157752632,29.335770237406724,0.6666666666666666,37.86164687039167,34.38944253613402
25,669127,"Langeliers, Shea","2025-04-05",778442,25,100,0.5,1.5,0,2,0.822,0.833,0.622,1,2,106.6,9.5,2201,91.9,91.27,1,8,17,-0.6000000000000085,5.72,107,152,128,145,311,336,301,"-2.303","2.303","73.7","6.9",5,2,0,0,0,1,0,0,3,60,2.06,0.6308,0.4988,0.3332,"93.5",202,100,50,20,5.95,-1.69,0.57,1.88,0.8,1,"9.212",0.849,1.952,"-9.212",-0.122,-0.04899999999999993,0.048,-0.011,12.5,"38.4",9.591357904025635,9.9996291303469,31.16002976113639,0.625,42.32797067565933,28.068519811316797
25,669127,"Langeliers, Shea","2025-05-24",777784,25,100,0.333,0,0.4,0.333,0.294,0.351,0.38,2,6,101.1,15.2,2264,90.9,91.54,1,12,13,0.5999999999999943,6.84,96,143,115,135,303,321,277,"0.391","-0.391","69.9","6.6",6,5,2,0,0,0,1,16.7,0,0,2.2596,0.5408,0.4248,-0.58,"95.8",166,80,0,0,5.79,-0.94,0.29,2.25,0.333,0,"-1.564",0.38,0.423,"1.564",-0.047,-0.046999999999999986,-0.09,-0.057,8.3,"30.9",5.823862054399603,4.239602618920757,29.627747452173217,0.4,40.02594746524389,29.512140945541567
25,669127,"Langeliers, Shea","2025-07-25",777007,25,100,0.6,0.6,0.667,1.2,0.749,0.453,0.314,3,5,97.5,24,2451,91.2,91.09,3,14,11,-0.10000000000000853,6.49,103,153,123,148,291,332,309,"-2.108","2.108","73.0","7.0",6,4,2,0,0,1,1,16.7,1,16.7,1.7268,1.0788,0.2396,0.2396,"92.9",194,75,25,16.666666666666664,5.83,-2.07,0.49,2.77,0.667,1,"8.432",0.428,0.659,"-8.432",0.286,0.23900000000000005,0.541,0.296,21.4,"44.0",12.111766302292294,0.7651999785825,24.133884663823373,0.7142857142857143,41.05345633512272,31.98605379318474
24,669127,"Langeliers, Shea","2025-08-20",776665,24,100,0.2,0.6,0,0.8,0.407,0.318,0.186,1,5,80.3,7.3,2283,83.4,83.83,3,15,9,0.3999999999999915,6.83,101,153,118,148,303,329,297,"0.202","-0.202","74.2","7.5",5,4,0,0,0,1,1,20,0,0,2.92708,0.43958,-0.00042,-0.03625,"91.5",136,25,25,20,5.77,-1.15,0.45,2.1,0.2,1,"-0.841666667",0.186,0.584,"0.841666667",0.014,0.014000000000000012,0.216,0.089,20,"31.7",14.332204486613797,-12.150227519874145,29.093181685486606,0.4666666666666667,40.232905186908454,39.22830097637678
24,669127,"Langeliers, Shea","2025-04-04",778456,24,100,0.5,0,0.5,0.5,0.491,0.574,0.58,2,4,104.1,4,2203,87.4,87.58,2,8,16,0.19999999999998863,6.36,107,149,129,146,312,341,313,"-0.815","0.815","68.8","7.0",5,4,2,0,0,0,0,0,1,20,2.77417,0.2325,-0.09542,-0.09542,"102.4",105,100,0,0,5.5,-1.72,0.26,1.73,0.6,0,"3.395833333",0.685,0.646,"-3.395833333",-0.08,-0.08500000000000008,-0.146,-0.083,25,"38.8",8.222588573164037,-3.66709286087211,31.97088456605134,0.5,34.81135332918112,35.09052721084711
24,669127,"Langeliers, Shea","2025-05-02",778091,24,100,0,0,0,0,0,0.05,0.053,0,4,83.4,39.2,2329,87.8,87.29,0,12,12,-0.5,6.18,105,142,120,139,287,302,291,"1.144","-1.144","71.4","6.8",5,5,0,0,0,0,0,0,0,0,2.20542,0.795,-0.11957,-0.11957,"89.7",161,40,0,0,5.88,-1.36,0.19,2.13,0,0,"-4.766666667",0.048,0.061,"4.766666667",-0.053,-0.048,-0.061,-0.05,0,"45.9",11.991427739156395,2.5931687623376076,27.75050354077541,0.6666666666666666,39.54886204484663,31.710593986756837
24,669127,"Langeliers, Shea","2025-08-19",776674,24,100,0.2,0.6,0,0.8,0.407,0.629,0.468,1,5,101.5,18.3,2390,87.1,87.52,3,17,7,0.4000000000000057,6.56,99,153,119,148,304,328,290,"-0.973","0.973","73.6","7.2",5,4,0,0,0,1,1,20,0,0,2.52375,0.53458,0.41167,0.41167,"93.5",166,75,25,20,5.16,-2.12,0.51,2.11,0.2,1,"4.054166667",0.468,1.044,"-4.054166667",-0.268,-0.268,-0.244,-0.222,17.6,"32.8",12.094394764439844,-1.9820598560676799,28.54175880963853,0.47058823529411764,41.606548792420135,34.66541628398968
