"pitches","player_id","player_name","game_date","game_pk","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
31,687911,"King, Bryan","2025-04-08",778398,31,100,0.2,0.2,0.5,0.4,0.324,0.286,0.204,1,5,92.5,-10.5,2212,87.8,87.92,6,14,17,0.10000000000000853,6.39,118,152,120,148,300,317,295,"0.342","-0.342","72.3","7.2",6,2,0,1,0,0,3,50,1,16.7,2.03903,0.99733,-0.23935,0.29742,"94.1",169,50,0,0,5.4,2.69,-0.02,2.63,0.333,0,"-1.103225806",0.337,0.267,"1.103225806",-0.004,-0.0040000000000000036,0.133,0.038,42.9,"34.5",8.34904180752473,2.2839686867266717,30.54392380006039,0.5,36.20463934647048,31.595086099026123
30,687911,"King, Bryan","2025-03-18",778716,30,100,0.167,0,0.333,0.167,0.147,,,1,6,,,,,,3,14,16,,,,,,,,,,"0.857","-0.857",,,6,3,1,0,0,0,3,50,0,0,,,,,,,,,,,,,,0.167,,"-2.856666667",,,"2.856666667",,,,,21.4,,,,,,,
27,687911,"King, Bryan","2025-02-23",779085,27,100,0.4,0,0.5,0.4,0.484,,,2,5,91.3,4.8,2202,87.1,87.72,1,8,19,0.6000000000000085,6.57,110,151,121,150,283,313,279,"-0.594","0.594",,,8,4,2,0,0,0,1,12.5,2,25,2.42481,0.60037,-0.27778,-0.12148,"92.6",151,50,0,0,5.29,2.75,-0.57,1.88,0.625,0,"2.2",,,"-2.2",,,,,12.5,,,,,,,
27,687911,"King, Bryan","2025-05-19",777858,27,100,0.2,0,0.333,0.2,0.262,0.148,0.013,1,5,79.9,19.5,2082,90.4,91.16,5,14,13,0.7999999999999972,6.5,107,143,112,143,304,330,289,"0.168","-0.168","65.8","6.3",6,3,1,0,0,0,2,33.3,1,16.7,1.94889,0.83667,0.0037,-0.02,"88.5",125,0,0,0,5.4,2.8,-0.2,2.78,0.333,0,"-0.622222222",0.211,0.014,"0.622222222",0.187,0.12200000000000003,0.186,0.114,35.7,"34.9",0.05583171999920705,12.595201616682427,33.00541917304028,0.35714285714285715,33.09024389294279,23.191400394662423
27,687911,"King, Bryan","2025-08-23",776629,27,100,0.4,0.2,0.5,0.6,0.427,0.242,0.259,2,5,94.8,8,2228,88.1,88.29,3,13,14,0.20000000000000284,6.53,114,150,116,152,298,329,311,"-0.574","0.574","65.1","7.1",5,4,1,1,0,0,1,20,0,0,2.29259,0.69778,-0.60074,-0.24741,"91.3",181,50,0,0,5.57,2.39,-0.69,1.99,0.4,0,"2.125925926",0.259,0.299,"-2.125925926",0.141,0.14100000000000001,0.301,0.185,23.1,"35.9",5.614859194992641,6.0979980247249435,28.409978086176924,0.46153846153846156,42.407942216349916,24.55992848915384
27,687911,"King, Bryan","2025-06-20",777428,27,100,0.167,0.5,0,0.667,0.34,0.43,0.28,1,6,80.9,-2,2125,87.3,87.85,5,13,14,0.5,6.59,114,151,116,146,312,330,303,"-0.085","0.085","70.3","6.8",6,3,0,0,0,1,3,50,0,0,2.36815,0.66,-0.43741,0.54407,"92.3",176,33.33333333333333,33.33333333333333,16.666666666666664,5.46,2.63,-0.05,2.66,0.167,1,"0.314814815",0.28,0.755,"-0.314814815",-0.113,-0.11300000000000002,-0.088,-0.09,38.5,"33.1",8.042613321360562,6.671596142437899,29.5965273256256,0.3333333333333333,32.375311541502874,27.071347207822928
26,687911,"King, Bryan","2025-08-04",776875,26,100,0.5,1.167,0.5,1.667,0.888,0.445,0.269,3,6,100.8,26,2205,89.1,89.21,3,13,13,0.10000000000000853,6.43,117,152,114,150,315,329,293,"-2.007","2.007","73.1","6.5",6,4,0,1,0,2,2,33.3,0,0,1.94154,0.96923,-0.15654,0.15346,"93.6",229,75,50,33.33333333333333,5.35,2.75,0.13,2.69,0.5,2,"7.719230769",0.269,0.82,"-7.719230769",0.231,0.23099999999999998,0.847,0.443,23.1,"33.8",3.40089517358974,9.985081975640004,28.268504341467153,0.3076923076923077,34.592397962798586,24.058796810634327
25,687911,"King, Bryan","2025-03-15",778718,25,100,0.286,0,0.333,0.286,0.252,,,2,7,,,,,,2,10,15,,,,,,,,,,"0.175","-0.175",,,7,6,2,0,0,0,1,14.3,0,0,,,,,,,,,,,,,,0.286,,"-0.7",,,"0.7",,,,,20,,,,,,,
23,687911,"King, Bryan","2025-06-25",777366,23,100,0.5,0,0.6,0.5,0.441,0.229,0.22,3,6,90.1,-6.8,2224,89.8,89.71,1,17,6,-0.09999999999999432,6.5,106,143,114,143,296,325,297,"-0.473","0.473","66.4","6.6",6,5,3,0,0,0,1,16.7,0,0,1.83522,1.0513,-0.04522,-0.16696,"90.2",161,60,0,0,5.59,2.78,-0.2,3.02,0.5,0,"2.056521739",0.22,0.32,"-2.056521739",0.28,0.28,0.18,0.212,5.9,"33.9",5.349465286724819,9.487635319035352,28.01934130401996,0.29411764705882354,38.5536362288369,22.442931549515684
23,687911,"King, Bryan","2025-03-12",778728,23,100,0,0,0,0,0.346,,,0,2,,,,,,0,7,16,,,,,,,,,,"-0.16","0.16",,,4,2,0,0,0,0,0,0,2,50,,,,,,,,,,,,,,0.5,,"0.695652174",,,"-0.695652174",,,,,0,,,,,,,
