"pitches","player_id","player_name","game_date","game_pk","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
107,622663,"Severino, Luis","2025-06-07",777599,107,100,0.348,0.304,0.353,0.652,0.447,0.378,0.291,8,23,85.1,6.6,2259,90.3,90.11,11,47,60,-0.20000000000000284,6.26,112,148,115,149,301,325,287,"-3.731","3.731","67.9","6.9",28,19,5,1,0,2,5,17.9,4,14.3,2.07467,0.75748,0.03827,-0.24269,"91.5",149,36.84210526315789,5.263157894736842,3.571428571428571,5.99,-1.91,0.09,2.22,0.429,1,"3.486915888",0.384,0.498,"-3.486915888",0.057,0.044999999999999984,0.154,0.069,23.4,"39.5",10.877878363728975,2.6807190315041076,32.90690452640999,0.5333333333333333,35.091461030053594,27.455198596929275
107,622663,"Severino, Luis","2025-04-01",778494,111,96.4,0.25,0.292,0.235,0.542,0.347,0.407,0.298,6,24,92.1,20.1,2206,91.6,91.05,12,55,52,-0.5,6.32,110,148,110,148,300,335,296,"-1.369","1.369","69.5","7.0",28,19,3,1,0,2,6,21.4,3,10.7,1.88673,0.89877,0.28103,0.32159,"92.7",170,42.10526315789473,10.526315789473683,7.142857142857142,6,-2.02,0.21,2.48,0.321,2,"1.279439252",0.374,0.593,"-1.279439252",-0.048,-0.05299999999999999,-0.051,-0.06,21.8,"40.6",10.924255175863566,1.4281758120061854,33.194465474647444,0.52,34.56732939773617,28.659003957511747
104,622663,"Severino, Luis","2025-06-13",777529,104,100,0.214,0.071,0.222,0.286,0.247,0.331,0.296,6,28,91.5,8,2212,91.2,91.16,1,43,61,0,6.21,110,150,118,150,312,327,300,"2.274","-2.274","73.1","7.0",30,27,4,2,0,0,1,3.3,2,6.7,1.95587,0.80874,0.22788,0.15885,"93.8",151,55.55555555555556,3.7037037037037033,3.3333333333333335,5.94,-2.11,0.25,2.45,0.267,1,"-2.186538462",0.343,0.416,"2.186538462",-0.082,-0.07600000000000001,-0.13,-0.084,2.3,"40.0",6.432450512420012,3.6825828681951487,26.68691149316327,0.5348837209302325,37.008221895641626,27.46075680408014
104,622663,"Severino, Luis","2025-08-05",776865,104,100,0.238,0,0.294,0.238,0.261,0.354,0.266,5,21,90,13.2,2312,91.1,91.28,7,45,59,0.20000000000000284,6.55,113,148,129,151,305,329,298,"0.918","-0.918","71.5","7.4",25,17,5,0,0,0,5,20,2,8,1.97471,0.82163,0.0974,-0.00683,"92.4",167,52.94117647058824,11.76470588235294,8,5.91,-2.29,0.05,2.53,0.32,2,"-0.882692308",0.362,0.378,"0.882692308",-0.028,-0.04199999999999998,-0.14,-0.093,15.6,"37.1",8.980503567260552,4.28878356021113,32.0761203549303,0.4883720930232558,38.49778037052313,25.68665451550138
103,622663,"Severino, Luis","2025-04-13",778333,103,100,0.19,0.048,0.267,0.238,0.249,0.323,0.282,4,21,93.7,-5.8,2289,92.7,92.89,9,48,55,0.20000000000000284,6.35,115,147,116,147,296,318,298,"0.754","-0.754","69.6","7.0",24,15,3,1,0,0,6,25,3,12.5,1.98214,0.69136,-0.00369,-0.12835,"92.4",168,66.66666666666666,0,0,5.92,-2.04,0.3,2.65,0.292,0,"-0.732038835",0.371,0.333,"0.732038835",-0.092,-0.07900000000000001,-0.095,-0.074,18.8,"39.4",7.104781999960305,8.592535393853924,28.629340176237246,0.46808510638297873,37.14879306875859,23.922276005387342
102,622663,"Severino, Luis","2025-05-05",778038,102,100,0.227,0.045,0.294,0.273,0.29,0.303,0.239,5,22,85.5,7.1,2223,91.4,91.07,6,45,57,-0.30000000000001137,6.17,113,148,114,149,294,313,303,"0.057","-0.057","69.2","7.0",26,17,4,1,0,0,5,19.2,4,15.4,2.03451,0.75153,0.0949,0.01549,"90.9",164,23.52941176470588,0,0,5.98,-1.96,0.2,2.69,0.346,0,"-0.055882353",0.356,0.296,"0.055882353",-0.012,-0.010000000000000009,-0.023,-0.013,13.3,"37.5",6.188535501950859,1.5671774946000858,30.95617081704255,0.38636363636363635,34.65202964669947,28.928467902775065
99,622663,"Severino, Luis","2025-03-27",778547,99,100,0.158,0,0.231,0.158,0.256,0.359,0.25,3,19,83.6,8.5,2326,91.7,91.55,12,44,55,-0.20000000000000284,6.3,111,147,119,149,295,323,292,"1.272","-1.272","68.7","6.8",25,14,3,0,0,0,6,24,4,16,1.94121,0.8232,-0.00081,0.11838,"91.4",175,35.714285714285715,7.142857142857142,4,5.92,-2.02,0.12,2.71,0.333,1,"-1.284848485",0.406,0.375,"1.284848485",-0.092,-0.07300000000000001,-0.217,-0.103,27.3,"42.8",2.8225009664112237,7.883324628837535,31.204709051301354,0.4186046511627907,36.03312947430316,24.90702184692341
99,622663,"Severino, Luis","2025-05-22",777812,99,100,0.292,0.042,0.368,0.333,0.291,0.292,0.258,7,24,89.4,21.3,2320,91.5,91.3,10,45,54,-0.20000000000000284,6.26,108,151,117,144,300,328,298,"0.66","-0.66","69.9","7.0",25,19,6,1,0,0,5,20,0,0,2.01657,0.73687,-0.06222,0.03051,"92.3",176,31.57894736842105,5.263157894736842,4,5.91,-2.01,0.34,2.35,0.32,1,"-0.666666667",0.287,0.375,"0.666666667",0.034,0.03300000000000003,-0.042,-0.001,22.2,"38.5",8.11048354817705,1.6603116845109533,32.50094855081584,0.5227272727272727,38.14101209854697,27.014231564697166
97,622663,"Severino, Luis","2025-06-24",777386,97,100,0.318,0.364,0.278,0.682,0.443,0.442,0.329,7,22,91.9,32.1,2325,89.8,89.54,7,44,53,-0.29999999999999716,6.11,111,149,125,150,305,326,289,"-2.596","2.596","69.8","7.0",24,20,3,2,0,2,2,8.3,1,4.2,2.18299,0.6734,-0.14,-0.05031,"93.3",203,55.00000000000001,20,16.666666666666664,5.75,-1.93,0.17,2.72,0.375,4,"2.67628866",0.385,0.673,"-2.67628866",-0.011,-0.010000000000000009,0.009,0.001,15.9,"39.7",9.696562729662276,2.2906536975203817,34.28007823422407,0.5853658536585366,35.24195302486496,26.442896998841956
97,622663,"Severino, Luis","2025-09-19",776266,97,100,0.318,0.091,0.35,0.409,0.317,0.332,0.276,7,22,89.3,15.3,2401,92.6,92.88,7,49,48,0.30000000000001137,6.54,108,146,118,147,306,332,294,"-0.48","0.48","70.6","7.0",24,20,5,2,0,0,3,12.5,1,4.2,1.90515,0.78856,-0.00144,-0.02351,"91.5",140,40,5,4.166666666666666,5.85,-2.23,0.08,2.55,0.333,1,"0.494845361",0.31,0.436,"-0.494845361",0.042,0.02300000000000002,-0.027,-0.015,14.3,"38.8",6.544167236289339,5.490849143862718,33.45169538402109,0.5102040816326531,34.43579129597184,23.752486494018076
97,622663,"Severino, Luis","2025-06-18",777456,97,100,0.375,0.125,0.444,0.5,0.392,0.242,0.219,9,24,82.9,14.8,2265,91.6,91.7,5,50,47,0.10000000000000853,6.36,104,150,117,147,290,320,297,"-0.62","0.62","68.7","6.9",25,19,8,0,0,1,5,20,1,4,2.01062,0.73227,0.2267,0.15742,"91.1",146,36.84210526315789,0,0,5.99,-2.17,0.2,2.33,0.4,0,"0.639175258",0.25,0.3,"-0.639175258",0.156,0.15000000000000002,0.2,0.15,10,"40.9",3.4549286105967933,3.270641392348879,32.86582998663643,0.46,36.041652636513795,25.433015580190016
97,622663,"Severino, Luis","2025-06-02",777669,97,100,0.346,0.154,0.36,0.5,0.387,0.376,0.305,9,26,88.5,18.3,2316,90.5,90.03,8,54,43,-0.5,6.18,115,150,118,149,294,323,283,"-1.991","1.991","68.9","6.9",28,25,5,4,0,0,1,3.6,1,3.6,1.99763,0.83557,-0.07186,-0.03371,"92.6",176,52,8,7.142857142857142,6.06,-2.03,0.32,2.65,0.393,2,"2.05257732",0.355,0.524,"-2.05257732",0.041,0.038000000000000034,-0.024,0.011,14.8,"41.1",5.411384340952633,1.9287788922189786,31.965432700318498,0.4807692307692308,34.99812620119956,26.818499406601603
97,622663,"Severino, Luis","2025-05-11",777957,97,100,0.429,0.143,0.474,0.571,0.465,0.452,0.416,9,21,95,11.5,2212,92.4,91.87,9,45,52,-0.5,6.16,112,144,113,145,303,333,300,"-2.698","2.698","72.1","7.5",24,19,6,3,0,0,2,8.3,2,8.3,1.86505,0.84619,0.3567,-0.13876,"95.2",172,57.89473684210527,5.263157894736842,4.166666666666666,5.97,-1.82,0.25,2.63,0.5,1,"2.781443299",0.489,0.553,"-2.781443299",0.013,0.01100000000000001,0.018,0.013,20,"40.7",8.721764869081612,1.100474513436574,32.70758591384269,0.5348837209302325,36.40230535457307,25.710517291487037
96,622663,"Severino, Luis","2025-04-07",778414,96,100,0.276,0.345,0.25,0.621,0.374,0.346,0.293,8,29,89.8,19.5,2219,91.3,91.01,2,49,47,-0.29999999999999716,6.32,120,149,117,150,296,329,298,"-1.993","1.993","69.8","7.0",29,26,2,4,0,2,3,10.3,0,0,2.06677,0.71385,0.30156,-0.14427,"93.1",167,46.15384615384615,7.6923076923076925,6.896551724137931,5.88,-2.05,0.33,2.61,0.276,2,"2.076041667",0.293,0.522,"-2.076041667",-0.017,-0.01699999999999996,0.099,0.028,4.1,"37.8",7.905438998317909,1.054848897647566,27.313675300407187,0.6122448979591837,38.730332359487704,30.2693830199724
96,622663,"Severino, Luis","2025-07-11",777152,96,100,0.35,0.05,0.538,0.4,0.36,0.286,0.222,7,20,88.3,5.8,2343,95,95.12,10,46,50,0.09999999999999432,6.4,111,148,116,150,304,328,295,"-1.607","1.607","68.4","6.6",24,13,6,1,0,0,8,33.3,2,8.3,1.48052,1.06156,0.394,0.25947,"91.3",164,53.84615384615385,0,0,6.04,-1.87,0.17,2.87,0.417,0,"1.673958333",0.322,0.261,"-1.673958333",0.128,0.09499999999999997,0.139,0.074,21.7,"41.9",1.4986699157899428,9.296749264058178,31.03040856852152,0.3409090909090909,34.68511217339951,20.943896912005776
96,622663,"Severino, Luis","2025-05-17",777879,96,100,0.182,0.045,0.235,0.227,0.2,0.161,0.14,4,22,75.1,6.9,2283,92.5,92.39,9,45,51,-0.09999999999999432,6.23,113,149,109,149,295,323,293,"2.822","-2.822","65.8","6.9",23,17,3,1,0,0,5,21.7,1,4.3,1.78833,0.90611,0.22232,-0.06484,"89.2",148,11.76470588235294,0,0,6.11,-1.89,0.23,2.54,0.217,0,"-2.939583333",0.178,0.173,"2.939583333",0.042,0.03900000000000001,0.054,0.039,20,"42.1",4.734832234240426,4.00800385965394,32.8983723292953,0.4418604651162791,33.155271978677476,24.242815120034024
95,622663,"Severino, Luis","2025-06-29",777307,95,100,0.294,0.471,0.25,0.765,0.499,0.432,0.229,5,17,84.3,27.4,2381,90,89.84,8,41,54,-0.20000000000000284,6.34,111,146,120,147,308,325,289,"-3.455","3.455","75.0","7.7",22,14,1,2,0,2,3,13.6,3,13.6,2.26042,0.60337,-0.10474,0.14389,"92.4",196,50,21.428571428571427,13.636363636363635,5.79,-2.31,0.12,2.69,0.455,3,"3.636842105",0.405,0.626,"-3.636842105",0.065,0.04999999999999999,0.139,0.067,19.5,"34.9",12.730699582976984,-4.592842626765535,32.03530841755097,0.5121951219512195,34.08932879959757,29.799185319420435
