"pitches","player_id","player_name","game_date","game_pk","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
32,641355,"Bellinger, Cody","2025-08-12",776774,32,100,0,0,0,0,0.138,0.292,0.137,0,4,83.6,-1.8,2299,90.4,90.69,2,17,15,0.29999999999999716,6.43,113,144,119,153,290,332,281,"0.309","-0.309","66.7","7.7",5,4,0,0,0,0,0,0,1,20,1.92594,0.87094,0.46687,-0.46687,"90.2",127,25,0,0,5.75,-1.71,0.09,2.38,0.2,0,"-0.965625",0.31,0.332,"0.965625",-0.137,-0.10999999999999999,-0.332,-0.154,11.8,"41.9",13.329434731443767,-6.8850670490229025,34.37733375438886,0.5294117647058824,26.67829191515552,31.84469635120573
28,641355,"Bellinger, Cody","2025-09-13",776344,28,100,0.5,0.25,0.4,0.75,0.427,0.381,0.294,2,4,89.1,14.2,2268,90.7,91.52,0,15,13,0.7999999999999972,6.71,106,146,126,151,281,320,312,"-0.647","0.647","69.7","7.6",5,5,1,1,0,0,0,0,0,0,2.3,0.49036,0.37607,-0.62964,"90.7",182,40,20,20,5.66,-0.94,-0.2,2.51,0.4,1,"2.310714286",0.316,0.391,"-2.310714286",0.206,0.08400000000000002,0.359,0.046,0,"40.1",11.378224325469834,-1.5501484990218168,28.2520593121941,0.6,30.46614591962849,29.890513221174523
26,641355,"Bellinger, Cody","2025-04-06",778428,26,100,0.2,0,0.25,0.2,0.176,0.144,0.156,1,5,93,16,2382,87,86.72,5,13,13,-0.20000000000000284,6.37,110,145,117,149,292,311,302,"0.588","-0.588","68.0","8.1",5,4,1,0,0,0,1,20,0,0,2.52192,0.55192,0.70692,0.53231,"96.5",79,50,0,0,5.26,1.71,-0.41,2.3,0.2,0,"-2.261538462",0.156,0.181,"2.261538462",0.044,0.04400000000000001,0.019,0.032,38.5,"29.8",18.37452205980509,-6.514871394722584,35.34135206652812,0.4166666666666667,31.30803281966079,33.371180887664565
26,641355,"Bellinger, Cody","2025-05-12",777941,26,100,0.5,0,1,0.5,0.491,0.493,0.465,2,4,92.4,14.5,2342,89.2,88.59,2,11,15,-0.6000000000000085,5.92,111,146,114,148,281,318,304,"-0.781","0.781","72.7","8.1",5,2,2,0,0,0,2,40,1,20,2.55808,0.34269,0.47808,-0.47808,"92.4",181,50,0,0,5.52,-2.17,-0.28,2.18,0.6,0,"3.003846154",0.572,0.541,"-3.003846154",0.035,0.028000000000000025,-0.041,-0.002,18.2,"29.3",16.256771293399787,-8.85386547085775,37.694898453761304,0.6363636363636364,30.81076627492483,32.69329016438471
25,641355,"Bellinger, Cody","2025-08-31",776514,25,100,0.2,0.2,0.5,0.4,0.25,0.14,0.097,1,5,86.4,5.5,2175,88.2,88.11,2,10,15,-0.10000000000000853,6.22,112,146,109,149,294,323,301,"0.17","-0.17","66.5","7.9",5,2,0,1,0,0,3,60,0,0,2.524,0.4556,0.6092,0.3764,"91.0",127,50,50,20,5.64,-0.08,-0.41,2.53,0.2,1,"-0.68",0.097,0.239,"0.68",0.103,0.10300000000000001,0.161,0.11,20,"39.7",17.564874320919866,-3.4843855435628575,33.05862524059587,0.5,31.320551926053778,31.073115535735983
25,641355,"Bellinger, Cody","2025-03-30",778523,25,100,0,0,0,0,0,0.283,0.077,0,3,95.7,31.3,2429,88.9,87.54,1,12,13,-1.4000000000000057,5.73,108,139,118,151,301,330,298,"1.016","-1.016","70.2","7.8",4,4,0,0,0,0,0,0,0,0,1.9108,1.0296,0.282,-0.242,"93.3",265,50,25,25,6.06,-0.73,-0.39,2.84,0,1,"-4.064",0.19,0.144,"4.064",-0.077,-0.19,-0.144,-0.283,8.3,"37.6",14.318262916824146,-5.309007978695699,34.54014858794433,0.75,29.564143931358625,30.0345546001119
25,641355,"Bellinger, Cody","2025-04-28",778140,25,100,0.25,0,0.333,0.25,0.315,0.275,0.189,1,4,96.3,13.7,2173,89.6,89.46,2,6,19,-0.09999999999999432,6.33,95,141,129,150,312,328,309,"0.049","-0.049","74.9","7.9",5,3,1,0,0,0,1,20,1,20,2.2356,0.6704,0.3928,-0.1344,"95.0",133,66.66666666666666,0,0,6.16,-1.52,-0.5,2.41,0.4,0,"-0.196",0.351,0.194,"0.196",0.061,0.049000000000000044,0.056,0.04,33.3,"46.8",16.018418030755115,-9.266773897391811,31.76794593133284,0.8333333333333334,33.11159224241957,34.00550473219566
25,641355,"Bellinger, Cody","2025-09-03",776472,25,100,0.25,0.75,0,1,0.546,0.306,0.144,1,4,87.3,15.3,2220,89.1,88.88,2,9,16,-0.19999999999998863,6.45,117,146,135,152,290,321,310,"-0.76","0.76","71.3","7.7",5,4,0,0,0,1,0,0,1,20,2.3968,0.5676,0.7164,-0.7164,"91.1",217,50,0,0,5.66,-1.98,-0.48,2.41,0.4,0,"3.04",0.315,0.367,"-3.04",0.106,0.08500000000000002,0.633,0.24,22.2,"31.3",10.929215750351032,-0.34191632994010845,29.26523471684165,0.5555555555555556,33.82390103837631,31.237104550620277
25,641355,"Bellinger, Cody","2025-05-04",778057,25,100,0.25,0.75,0,1,0.546,0.397,0.186,1,4,88.4,19.7,2194,90.2,90.02,1,10,15,-0.20000000000000284,6.32,115,144,110,154,296,323,296,"-0.813","0.813","67.4","7.9",5,3,0,0,0,1,1,20,1,20,2.4332,0.4188,0.4572,-0.4572,"89.8",93,33.33333333333333,33.33333333333333,20,6.35,-1.35,0.06,1.98,0.4,1,"3.252",0.349,0.604,"-3.252",0.064,0.051000000000000045,0.396,0.149,10,"51.4",15.731049867822376,-4.7592054473705385,35.156647827756835,0.4,29.74757884415338,29.470403953093296
25,641355,"Bellinger, Cody","2025-03-27",778557,25,100,0.5,0,0.5,0.5,0.393,0.321,0.302,1,2,100.5,27,2267,91.7,92.17,2,12,13,0.5,6.85,118,140,107,147,300,328,296,"-0.433","0.433","70.3","7.6",4,2,1,0,0,0,1,25,1,25,1.8444,0.9144,0.6828,0.0228,"91.1",150,100,0,0,5.41,-1.03,-0.58,2.65,0.5,0,"1.732",0.403,0.354,"-1.732",0.198,0.09699999999999998,0.146,0.072,16.7,"33.4",15.323243030740743,-1.4730272243021096,29.093433396370465,0.5454545454545454,31.28808338076038,28.892792172161307
