"pitches","player_id","player_name","game_date","game_pk","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
111,608331,"Fried, Max","2025-07-29",776949,111,100,0.16,0.24,0.2,0.4,0.264,0.207,0.151,4,25,86.2,11.5,2433,85.1,85.27,17,48,63,0.20000000000000284,6.51,111,152,119,150,295,326,278,"0.765","-0.765","70.8","7.7",27,16,1,1,1,1,9,33.3,2,7.4,3.31712,-0.05315,-0.31127,0.17782,"92.2",174,43.75,6.25,3.7037037037037033,6.13,1.62,-0.07,2.28,0.222,1,"-0.689189189",0.213,0.245,"0.689189189",0.009,0.009000000000000008,0.155,0.057,35.4,"47.7",9.67366317192313,-3.6401184748872764,29.755028121329346,0.5833333333333334,36.79268522644918,33.08528155299604
107,608331,"Fried, Max","2025-09-24",776199,107,100,0.167,0.042,0.222,0.208,0.196,0.186,0.137,4,24,81,-1.2,2185,88.6,88.95,11,47,60,0.30000000000001137,6.55,106,149,129,151,294,315,276,"2.152","-2.152","67.9","6.9",27,18,3,1,0,0,7,25.9,2,7.4,2.75636,0.23132,0.3333,-0.30406,"91.0",158,22.22222222222222,5.555555555555555,3.7037037037037033,5.94,1.38,0.4,2.33,0.222,1,"-2.011214953",0.198,0.202,"2.011214953",0.03,0.023999999999999994,0.006,0.01,23.4,"45.0",6.734536682668117,0.05895115548895777,32.76200342917422,0.4222222222222222,39.26551445987277,29.175230776243026
106,608331,"Fried, Max","2025-06-15",777500,106,100,0.24,0.2,0.333,0.44,0.316,0.304,0.264,6,25,91.1,7,2564,87.9,87.97,15,56,50,0.09999999999999432,6.36,114,151,122,151,284,317,294,"-1.486","1.486","69.1","7.1",27,16,4,0,1,1,9,33.3,2,7.4,2.99566,0.02953,-0.31462,0.31632,"91.9",120,50,6.25,3.7037037037037033,5.91,1.74,-0.05,2.34,0.296,1,"1.401886792",0.319,0.369,"-1.401886792",-0.024,-0.02300000000000002,0.071,0.012,26.8,"45.2",7.294165961327032,5.65857344477062,31.172898372934817,0.39285714285714285,36.25735596461008,29.720221605670346
106,608331,"Fried, Max","2025-06-25",777367,106,100,0.167,0.042,0.235,0.208,0.184,0.197,0.184,4,24,82.5,8.2,2409,87.5,87.92,19,48,58,0.4000000000000057,6.51,111,152,124,152,290,320,284,"2.8","-2.8","70.7","7.3",25,17,3,1,0,0,7,28,1,4,2.90679,0.15689,-0.16368,0.16009,"90.3",127,17.647058823529413,0,0,6.02,1.73,-0.05,2.36,0.2,0,"-2.641509434",0.216,0.215,"2.641509434",-0.017,-0.015999999999999986,-0.007,-0.013,39.6,"44.3",13.29096562332313,-8.995317732392198,33.62355608526287,0.44680851063829785,35.4476639028514,35.795237938940865
105,608331,"Fried, Max","2025-06-20",777438,105,100,0.28,0.04,0.389,0.32,0.296,0.332,0.281,7,25,90.9,11.3,2478,86.9,87.15,14,49,56,0.19999999999998863,6.57,111,151,121,152,297,322,282,"0.893","-0.893","68.3","7.0",27,18,6,1,0,0,7,25.9,0,0,3.11095,0.02638,-0.26943,0.16733,"91.9",119,61.111111111111114,5.555555555555555,3.7037037037037033,6.06,1.67,0,2.41,0.333,1,"-0.85047619",0.335,0.422,"0.85047619",-0.001,-0.0020000000000000018,-0.102,-0.036,28.6,"46.9",9.12281224375443,5.2963820523215706,34.292374866090256,0.5714285714285714,35.505005126113396,28.75268818519748
105,608331,"Fried, Max","2025-09-13",776344,105,100,0.375,0.167,0.471,0.542,0.417,0.281,0.257,9,24,85.1,-4.4,2244,89.2,89.77,13,52,53,0.5999999999999943,6.53,103,150,129,149,280,314,286,"-3.325","3.325","70.4","7.0",26,18,7,1,0,1,6,23.1,2,7.7,2.75848,0.17762,0.19529,-0.19529,"90.7",107,22.22222222222222,0,0,5.95,1.28,0.35,2.59,0.423,0,"3.166666667",0.316,0.302,"-3.166666667",0.118,0.10699999999999998,0.24,0.136,25,"45.6",6.35449164685845,6.584644316714139,29.940564041518705,0.3076923076923077,38.85768417479954,28.239597748164904
105,608331,"Fried, Max","2025-08-04",776871,105,100,0.364,0.045,0.533,0.409,0.38,0.332,0.279,8,22,88.1,1.2,2294,88.5,88.57,14,46,59,0.09999999999999432,6.44,111,150,122,150,302,320,293,"-0.834","0.834","70.1","6.9",25,15,7,1,0,0,7,28,3,12,2.86448,0.13352,0.08943,-0.1001,"91.5",154,26.666666666666668,6.666666666666667,4,6,1.64,0.11,2.26,0.44,1,"0.794285714",0.365,0.371,"-0.794285714",0.085,0.07500000000000001,0.038,0.048,30.4,"46.1",8.171844942492788,4.0757122360545015,34.56693698985304,0.43478260869565216,34.82257159982639,28.037095951658294
103,608331,"Fried, Max","2025-06-05",777644,103,100,0.056,0,0.091,0.056,0.113,0.147,0.087,1,18,82.5,11,2482,86.9,87,17,44,59,0.09999999999999432,6.53,118,151,118,151,292,318,288,"3.554","-3.554","69.9","7.2",20,11,1,0,0,0,7,35,2,10,3.19883,-0.05515,-0.43068,0.27612,"89.9",135,27.27272727272727,0,0,6.05,1.8,-0.12,2.31,0.15,0,"-3.450485437",0.178,0.114,"3.450485437",-0.031,-0.027999999999999997,-0.058,-0.034,38.6,"45.4",8.0830446875956,-0.735614413878263,30.56040605334509,0.46511627906976744,36.4016338368331,31.020352278975754
102,608331,"Fried, Max","2025-09-30",813074,102,100,0.182,0.045,0.25,0.227,0.239,0.241,0.178,4,22,81.2,2.3,2276,87.3,87.5,19,46,56,0.20000000000000284,6.54,109,152,121,151,295,324,283,"1.724","-1.724","69.6","7.3",25,16,3,1,0,0,6,24,3,12,3.09,0.00564,-0.17912,0.07461,"90.8",127,31.25,0,0,5.94,1.38,0.41,2.34,0.28,0,"-1.690196078",0.277,0.243,"1.690196078",0.004,0.0030000000000000027,-0.016,-0.002,41.3,"45.8",8.34905952898008,0.9519511683250719,29.97926722515008,0.34782608695652173,39.14440690913764,32.454254548225705
102,608331,"Fried, Max","2025-07-23",777027,102,100,0.261,0.174,0.3,0.435,0.339,0.317,0.261,6,23,88.3,11.8,2309,91,91.25,6,43,59,0.29999999999999716,6.41,109,149,124,147,295,324,282,"-1.017","1.017","71.0","6.9",26,20,3,2,1,0,3,11.5,3,11.5,2.44373,0.37667,0.01951,-0.00853,"91.7",133,40,5,3.8461538461538463,6.03,1.47,-0.11,2.63,0.346,1,"0.997058824",0.346,0.363,"-0.997058824",0,0,0.072,0.022,14,"47.9",3.069692055526527,5.5262943083366345,31.110485240112084,0.19047619047619047,33.38054231324803,24.0562560262411
