player_name,mlbam_id,player_type,pos,luck_signal,luck_score,fp_rank,trend_dir,trend_strength,trend_notes,combined_signal,recent_metric,prior_metric,metric_delta,metric_label,recent_secondary,prior_secondary,secondary_label,recent_volume,recent_volume_label,prior_volume,window_start_recent,window_end_recent,window_start_prior,window_end_prior
David Peterson,656849,pitcher,,Buy low,0.7475,392,Mixed,0.6459,ERA +0.65 but K/9 up,No Signal,5.94,5.29,0.65,ERA,11.88,8.47,K/9,16.7,IP,17.0,2026-04-27,2026-05-17,2026-04-06,2026-04-26
Joe Ryan,657746,pitcher,,Buy low,0.5035,63,Hot,1.5581,"ERA -1.56, K/9 +0.3",Strong Buy,1.96,3.52,-1.56,ERA,9.33,9.0,K/9,18.3,IP,23.0,2026-04-27,2026-05-17,2026-04-06,2026-04-26
Shohei Ohtani,660271,pitcher,,Sell high,-0.2882,3,Mixed,0.85,ERA +0.85 but K/9 up,No Signal,1.35,0.5,0.85,ERA,11.25,9.5,K/9,20.0,IP,18.0,2026-04-27,2026-05-17,2026-04-06,2026-04-26
Davis Martin,663436,pitcher,,Sell high,-0.4371,201,Hot,0.6759,ERA -0.68,Conflicted (Sell vs Hot),1.09,1.77,-0.68,ERA,12.04,6.2,K/9,24.7,IP,20.3,2026-04-27,2026-05-17,2026-04-06,2026-04-26
Peter Lambert,663567,pitcher,,Sell high,-0.1756,310,Neutral,0.4259,ERA +0.43 (no clear trend),No Signal,3.7,3.27,0.43,ERA,7.03,13.09,K/9,24.3,IP,11.0,2026-04-27,2026-05-17,2026-04-06,2026-04-26
Jesús Luzardo,666200,pitcher,,Buy low,0.8159,47,Hot,5.77,"ERA -5.77, K/9 +2.1",Strong Buy,2.82,8.59,-5.77,ERA,11.28,9.2,K/9,22.3,IP,14.7,2026-04-27,2026-05-17,2026-04-06,2026-04-26
José Soriano,667755,pitcher,,Sell high,-0.5094,129,Cold,5.7857,"ERA +5.79, K/9 -1.4",Strong Sell,6.14,0.35,5.79,ERA,9.82,11.22,K/9,22.0,IP,25.7,2026-04-27,2026-05-17,2026-04-06,2026-04-26
Shane Baz,669358,pitcher,,Neutral,0.2381,300,Neutral,0.476,ERA +0.48 (no clear trend),No Signal,6.19,5.71,0.48,ERA,8.44,7.27,K/9,16.0,IP,17.3,2026-04-27,2026-05-17,2026-04-06,2026-04-26
Keider Montero,672456,pitcher,,Sell high,-0.344,329,Mixed,0.8552,ERA -0.86 but K/9 down,No Signal,3.12,3.97,-0.86,ERA,4.15,7.94,K/9,17.3,IP,22.7,2026-04-27,2026-05-17,2026-04-06,2026-04-26
Kyle Bradish,680694,pitcher,,Buy low,0.3271,111,Mixed,0.8603,ERA +0.86 but K/9 up,No Signal,4.24,3.38,0.86,ERA,11.12,8.86,K/9,17.0,IP,21.3,2026-04-27,2026-05-17,2026-04-06,2026-04-26
Justin Wrobleski,680736,pitcher,,Sell high,-0.3849,280,Cold,3.227,ERA +3.23,Strong Sell,3.92,0.69,3.23,ERA,5.23,4.5,K/9,20.7,IP,26.0,2026-04-27,2026-05-17,2026-04-06,2026-04-26
Randy Vásquez,681190,pitcher,,Sell high,-0.3228,263,Cold,1.0385,"ERA +1.04, K/9 -4.0",Strong Sell,3.74,2.7,1.04,ERA,6.23,10.26,K/9,21.7,IP,16.7,2026-04-27,2026-05-17,2026-04-06,2026-04-26
Spencer Arrighetti,681293,pitcher,,Sell high,-0.3152,259,Mixed,1.0,ERA -1.00 but K/9 down,No Signal,1.0,2.0,-1.0,ERA,7.0,10.5,K/9,18.0,IP,18.0,2026-04-27,2026-05-17,2026-04-06,2026-04-26
Kyle Leahy,681517,pitcher,,Sell high,-0.2107,397,Hot,3.7088,"ERA -3.71, K/9 +1.5",Conflicted (Sell vs Hot),2.08,5.79,-3.71,ERA,7.89,6.43,K/9,21.7,IP,14.0,2026-04-27,2026-05-17,2026-04-06,2026-04-26
Shota Imanaga,684007,pitcher,,Sell high,-0.4007,82,Hot,0.8692,ERA -0.87,Conflicted (Sell vs Hot),1.35,2.22,-0.87,ERA,9.45,9.99,K/9,20.0,IP,24.3,2026-04-27,2026-05-17,2026-04-06,2026-04-26
Jack Kochanowicz,686799,pitcher,,Sell high,-0.2915,364,Mixed,4.1202,ERA +4.12 but K/9 up,No Signal,6.45,2.33,4.12,ERA,6.04,4.19,K/9,22.3,IP,19.3,2026-04-27,2026-05-17,2026-04-06,2026-04-26
Bryce Elder,693821,pitcher,,Sell high,-0.3306,262,Hot,0.8961,"ERA -0.90, K/9 +2.0",Conflicted (Sell vs Hot),2.1,3.0,-0.9,ERA,8.77,6.75,K/9,25.7,IP,24.0,2026-04-27,2026-05-17,2026-04-06,2026-04-26
Paul Skenes,694973,pitcher,,Neutral,-0.0313,4,Mixed,0.5143,ERA +0.51 but K/9 up,No Signal,1.29,0.77,0.51,ERA,11.14,9.26,K/9,21.0,IP,23.3,2026-04-27,2026-05-17,2026-04-06,2026-04-26
Chase Burns,695505,pitcher,,Sell high,-0.6132,76,Hot,2.6259,"ERA -2.63, K/9 +1.6",Conflicted (Sell vs Hot),1.08,3.71,-2.63,ERA,9.0,7.41,K/9,25.0,IP,17.0,2026-04-27,2026-05-17,2026-04-06,2026-04-26
Michael Mcgreevy,700241,pitcher,,Sell high,-1.1211,266,Hot,2.6765,"ERA -2.68, K/9 +2.7",Conflicted (Sell vs Hot),0.5,3.18,-2.68,ERA,7.5,4.76,K/9,18.0,IP,22.7,2026-04-27,2026-05-17,2026-04-06,2026-04-26
Will Warren,701542,pitcher,,Buy low,0.3787,181,Cold,2.5312,ERA +2.53,Conflicted (Buy vs Cold),5.06,2.53,2.53,ERA,12.38,11.81,K/9,16.0,IP,21.3,2026-04-27,2026-05-17,2026-04-06,2026-04-26
Parker Messick,800048,pitcher,,Sell high,-0.2332,101,Mixed,0.8423,ERA +0.84 but K/9 up,No Signal,3.13,2.29,0.84,ERA,11.35,8.24,K/9,23.0,IP,19.7,2026-04-27,2026-05-17,2026-04-06,2026-04-26
Connelly Early,813349,pitcher,,Sell high,-0.4107,218,Mixed,1.1166,ERA +1.12 but K/9 up,No Signal,3.94,2.82,1.12,ERA,9.56,7.25,K/9,16.0,IP,22.3,2026-04-27,2026-05-17,2026-04-06,2026-04-26
