mlbam_id,name,team,proj_ip,proj_w,proj_era,proj_whip,proj_k,proj_sv_h,fp_ros_rank,note
666157,Nick Lodolo,CIN,125.0,8,3.45,1.12,115,0,55,IL — Steamer ROS projection only
669203,Corbin Burnes,BAL,140.0,10,3.15,1.15,125,0,168,IL — Steamer ROS projection only
