player_name,player_name_norm,team,primary_position,all_positions,fp_ros_rank,fp_pos_rank
Justin Wrobleski,justin wrobleski,LAD,P,"SP,RP",311,"SP,RP18"
Griffin Jax,griffin jax,TB,P,"SP,RP",312,"SP,RP19"
Alejandro Kirk,alejandro kirk,TOR,C,C,313,C20
Moises Ballesteros,moises ballesteros,CHC,C,"C,DH",314,C21
Marcell Ozuna,marcell ozuna,PIT,DH,DH,315,DH3
Willi Castro,willi castro,COL,2B,"2B,3B,SS,LF,RF",316,2B22
Ryne Nelson,ryne nelson,ARI,P,"SP,RP",317,"SP,RP20"
Cade Cavalli,cade cavalli,WSH,P,SP,318,SP88
TJ Friedl,tj friedl,CIN,OF,"LF,CF",319,OF59
David Peterson,david peterson,NYM,P,SP,320,SP89
Eduardo Rodriguez,eduardo rodriguez,ARI,P,SP,321,SP90
Josh Lowe,josh lowe,LAA,OF,"LF,CF,RF",322,OF60
Matt Shaw,matt shaw,CHC,3B,"2B,3B,RF,DH",323,3B19
Grant Taylor,grant taylor,CWS,P,"SP,RP",324,"SP,RP21"
J.P. Crawford,j.p. crawford,SEA,SS,SS,325,SS27
Tyler Stephenson,tyler stephenson,CIN,C,C,326,C22
Kyle Manzardo,kyle manzardo,CLE,1B,"1B,DH",327,1B28
Brady House,brady house,WSH,3B,"3B,DH",328,3B20
Merrill Kelly,merrill kelly,ARI,P,SP,329,SP91
Bryce Miller,bryce miller,SEA,P,SP,330,SP92
Caleb Durbin,caleb durbin,BOS,2B,"2B,3B",331,2B23
Keider Montero,keider montero,DET,P,"SP,RP",332,"SP,RP22"
Carson Kelly,carson kelly,CHC,C,C,333,C23
Jorge Soler,jorge soler,LAA,OF,"RF,DH",334,OF61
Cole Young,cole young,SEA,2B,2B,335,2B24
Aaron Civale,aaron civale,ATH,P,"SP,RP",336,"SP,RP23"
Jake McCarthy,jake mccarthy,COL,OF,"LF,CF,RF",337,OF62
Addison Barger,addison barger,TOR,3B,"3B,LF,RF",338,3B21
Jake Bauers,jake bauers,MIL,1B,"1B,LF,RF",339,1B29
Peter Lambert,peter lambert,HOU,P,"SP,RP",340,"SP,RP24"
Austin Wells,austin wells,NYY,C,C,341,C24
Bryan Abreu,bryan abreu,HOU,P,RP,342,RP32
Agustin Ramirez,agustin ramirez,MIA,C,"C,DH",343,C25
Jorge Polanco,jorge polanco,NYM,2B,"2B,3B,DH",344,2B25
Trevor McDonald,trevor mcdonald,SF,P,"SP,RP",345,"SP,RP25"
Colin Rea,colin rea,CHC,P,"SP,RP",346,"SP,RP26"
Giancarlo Stanton,giancarlo stanton,NYY,RF,"LF,RF,DH",347,RF2
A.J. Ewing,a.j. ewing,NYM,2B,"2B,CF",348,2B26
Janson Junk,janson junk,MIA,P,"SP,RP",349,"SP,RP27"
Carmen Mlodzinski,carmen mlodzinski,PIT,P,"SP,RP",350,"SP,RP28"
Martin Perez,martin perez,ATL,P,SP,351,SP93
Anthony Volpe,anthony volpe,NYY,SS,SS,352,SS28
Adrian Morejon,adrian morejon,SD,P,RP,353,RP33
Pierce Johnson,pierce johnson,CIN,P,RP,354,RP34
Caleb Kilian,caleb kilian,SF,P,"SP,RP",355,"SP,RP29"
Grayson Rodriguez,grayson rodriguez,LAA,P,SP,356,SP94
Dylan Lee,dylan lee,ATL,P,RP,357,RP35
Connor Prielipp,connor prielipp,MIN,P,SP,358,SP95
Jackson Holliday,jackson holliday,BAL,2B,"2B,SS",359,2B27
Antonio Senzatela,antonio senzatela,COL,P,"SP,RP",360,"SP,RP30"
Grant Holmes,grant holmes,ATL,P,SP,361,SP96
Jesse Scholtens,jesse scholtens,TB,P,"SP,RP",362,"SP,RP31"
Brandon Young,brandon young,BAL,P,SP,363,SP97
Spencer Horwitz,spencer horwitz,PIT,1B,1B,364,1B30
Rico Garcia,rico garcia,BAL,P,RP,365,RP36
Garrett Mitchell,garrett mitchell,MIL,OF,"CF,RF",366,OF63
Dustin May,dustin may,STL,P,SP,367,SP98
Roki Sasaki,roki sasaki,LAD,P,SP,368,SP99
Jack Kochanowicz,jack kochanowicz,LAA,P,SP,369,SP100
Mauricio Dubon,mauricio dubon,ATL,OF,"2B,3B,SS,LF,CF",370,OF64
Enyel De Los Santos,enyel de los santos,HOU,P,RP,371,RP37
Colton Cowser,colton cowser,BAL,OF,"LF,CF,RF",372,OF65
JR Ritchie,jr ritchie,ATL,P,SP,373,SP101
Sean Manaea,sean manaea,NYM,P,"SP,RP",374,"SP,RP32"
Brayan Bello,brayan bello,BOS,P,SP,375,SP102
Stephen Kolek,stephen kolek,KC,P,SP,376,SP103
Evan Carter,evan carter,TEX,OF,"LF,CF,RF",377,OF66
