name,mlbam_id,april_pa,actual_hr,actual_r,actual_rbi,actual_avg,actual_ros_woba,naive_hr,naive_r,naive_rbi,naive_avg,naive_woba,rtm_hr,rtm_r,rtm_rbi,rtm_avg,rtm_woba,model_hr,model_r,model_rbi,model_avg,model_woba,signal_hr,signal_avg,signal_woba,steamer_hr,steamer_r,steamer_rbi,steamer_avg,steamer_woba,zips_hr,zips_r,zips_rbi,zips_avg,zips_woba
Sean Murphy,669221,70.0,16.0,34.0,45.0,0.199,0.33034825870646767,56.4,90.0,96.0,0.254,0.42571428571428566,33.6,73.2,73.2,0.251,0.37185714285714283,19.2,64.8,58.8,0.244,0.34019,19.2,0.244,0.34019,12.11620044708252,38.38309860229492,40.113399505615234,0.23374961861816984,0.3231374746349638,17.0,46.0,55.0,0.23351648351648352,0.32936385173637134
Miguel Rojas,500743,37.0,7.0,35.0,27.0,0.262,nan,0.0,57.599999999999994,52.8,0.297,0.2864864864864865,13.2,61.199999999999996,56.4,0.261,0.30224324324324325,12.0,60.0,54.0,0.248,0.28768,12.0,0.248,0.28768,1.8799999952316284,11.445300102233887,10.917699813842773,0.2577230767732726,0.2986557807780709,5.0,38.0,37.0,0.25588235294117645,0.2956369572394603
Brooks Baldwin,681460,90.0,11.0,32.0,38.0,0.24,nan,18.0,60.0,58.8,0.241,0.28777777777777774,18.0,61.199999999999996,57.599999999999994,0.245,0.3028888888888889,10.799999999999999,52.8,46.8,0.214,0.26232,10.799999999999999,0.214,0.26232,4.979300022125244,22.559600830078125,22.717500686645508,0.2512843868289929,0.2984268705931916,9.0,47.0,47.0,0.24703087885985747,0.2927613647429498
Taylor Walls,670764,81.0,4.0,36.0,38.0,0.22,0.30388127853881286,6.0,39.6,30.0,0.157,0.22469135802469134,13.2,52.8,45.6,0.207,0.2713456790123457,8.4,46.8,38.4,0.187,0.25775,8.568000000000001,0.187,0.26805999999999996,4.353899955749512,24.976200103759766,21.330299377441406,0.21033964247004988,0.2853960928791142,6.0,46.0,31.0,0.20625,0.28031864754185687
Edmundo Sosa,624641,42.0,11.0,30.0,39.0,0.276,nan,0.0,72.0,62.4,0.368,0.3880952380952381,12.0,64.8,58.8,0.284,0.35304761904761905,12.0,60.0,54.0,0.248,0.30905,12.0,0.248,0.30905,4.8277997970581055,21.05970001220703,21.567399978637695,0.24514987921899387,0.2970837130741121,8.0,38.0,33.0,0.2490566037735849,0.31146623389474276
Ryan Mountcastle,663624,100.0,7.0,34.0,35.0,0.25,nan,10.799999999999999,48.0,44.4,0.202,0.27599999999999997,14.399999999999999,55.199999999999996,51.6,0.225,0.297,20.4,66.0,63.599999999999994,0.257,0.30602,21.419999999999998,0.257,0.33050160000000006,17.74839973449707,53.27899932861328,59.202598571777344,0.2604486463450749,0.3267947053921637,19.0,60.0,72.0,0.25773195876288657,0.3168586320949323
Pavin Smith,656976,91.0,8.0,36.0,28.0,0.258,0.30057803468208094,24.0,86.39999999999999,73.2,0.347,0.4785714285714286,20.4,74.39999999999999,64.8,0.295,0.3982857142857143,18.0,63.599999999999994,55.199999999999996,0.235,0.3428,18.0,0.235,0.315376,9.091699600219727,34.70560073852539,34.10240173339844,0.24990517931201175,0.32827277726645726,13.0,53.0,56.0,0.24808184143222506,0.32204019014237967
Jose Iglesias,578428,80.0,3.0,29.0,36.0,0.229,0.26475903614457835,0.0,56.4,49.199999999999996,0.286,0.32249999999999995,9.6,60.0,52.8,0.265,0.32025,9.6,67.2,60.0,0.294,0.3039,9.6,0.294,0.3039,4.406199932098389,27.890499114990234,26.743799209594727,0.26734070225514406,0.2988774382160063,6.0,45.0,39.0,0.2638522427440633,0.29246708267644755
Davis Schneider,676914,21.0,11.0,33.0,31.0,0.234,nan,0.0,42.0,19.2,0.15,0.2857142857142857,14.399999999999999,56.4,48.0,0.217,0.3018571428571428,10.799999999999999,54.0,43.199999999999996,0.21,0.29842,10.799999999999999,0.21,0.29842,8.413200378417969,29.797399520874023,27.704299926757812,0.2200052766852997,0.3128657734921508,17.0,57.0,58.0,0.2200488997555012,0.3217784361269489
Freddy Fermin,666023,50.0,5.0,32.0,26.0,0.251,0.3009433962264151,10.799999999999999,56.4,52.8,0.244,0.266,15.6,60.0,55.199999999999996,0.247,0.29200000000000004,10.799999999999999,60.0,54.0,0.257,0.27674,10.799999999999999,0.257,0.27674,7.279900074005127,30.15690040588379,31.02549934387207,0.25622105023755637,0.3127615218650615,7.0,36.0,39.0,0.25161290322580643,0.29887571537599533
Joey Bart,663698,89.0,4.0,21.0,30.0,0.249,nan,6.0,66.0,50.4,0.297,0.3724719101123595,12.0,63.599999999999994,54.0,0.271,0.34523595505617977,14.399999999999999,60.0,52.8,0.238,0.31224,14.399999999999999,0.238,0.28726080000000004,10.304400444030762,35.493900299072266,38.110599517822266,0.23900137655284623,0.30690017979715123,11.0,40.0,39.0,0.24825174825174826,0.3202499708038139
