mlbam_id,xwoba_gap,babip_allowed,pa,year
593958,-0.0246,0.2388,83.0,2022
593974,-0.0481,0.2692,28.0,2022
594311,0.0119,0.25,31.0,2022
594577,0.0293,0.2571,33.0,2022
594580,-0.0623,0.2353,22.0,2022
594795,0.0,0.0,,2022
594835,0.0738,0.25,65.0,2022
595014,0.0191,0.0,10.0,2022
595191,0.0,0.3,,2022
595345,-0.064,0.1818,22.0,2022
595881,-0.0312,0.3448,35.0,2022
595939,0.006,0.2778,25.0,2022
596001,-0.0686,0.2917,35.0,2022
596027,0.0,0.25,,2022
596057,0.0697,0.2222,23.0,2022
596071,-0.1249,0.1667,42.0,2022
596112,-0.0524,0.2941,15.0,2022
596133,0.0102,0.6,5.0,2022
596295,-0.0,0.274,85.0,2022
598264,0.0443,0.3,35.0,2022
598287,-0.002,0.2414,37.0,2022
600921,-0.0099,0.2571,46.0,2022
601713,-0.0474,0.3226,78.0,2022
605130,0.0048,0.28,37.0,2022
605135,-0.0324,0.2361,93.0,2022
605151,-0.0267,0.2703,34.0,2022
605154,-0.0585,0.1111,33.0,2022
605156,-0.0392,0.25,43.0,2022
605164,0.0147,0.2419,84.0,2022
605177,-0.0196,0.3333,8.0,2022
605194,-0.0227,0.125,10.0,2022
605195,-0.0328,0.25,30.0,2022
605200,-0.0168,0.2424,78.0,2022
605242,-0.0856,0.1923,32.0,2022
605280,0.0202,0.2188,42.0,2022
605288,-0.0483,0.2237,86.0,2022
605347,0.0089,0.2414,46.0,2022
605397,-0.0156,0.2976,95.0,2022
605400,0.0489,0.2192,106.0,2022
605446,0.0545,0.0714,19.0,2022
605447,-0.0872,0.2581,43.0,2022
605483,0.0,0.3636,,2022
605488,0.0037,0.25,37.0,2022
605507,0.0289,0.3286,77.0,2022
605521,0.0535,0.4211,27.0,2022
605525,-0.062,0.303,33.0,2022
605538,-0.0028,0.2432,46.0,2022
605540,-0.013,0.2687,81.0,2022
606131,0.0,0.2857,,2022
606149,0.057,0.3333,30.0,2022
606160,-0.0108,0.36,37.0,2022
606303,0.0269,0.3636,27.0,2022
606424,-0.1236,0.2222,24.0,2022
606625,0.1004,0.5,11.0,2022
606930,-0.1322,0.1562,30.0,2022
606939,0.0,1.0,,2022
607074,-0.0172,0.2683,88.0,2022
607188,0.0,0.2222,,2022
607200,-0.0096,0.2923,81.0,2022
607216,0.0403,0.2,39.0,2022
607229,0.0,0.1429,,2022
607237,-0.0941,0.0833,19.0,2022
607259,0.0143,0.2754,87.0,2022
607359,-0.0073,0.1739,29.0,2022
607391,0.0255,0.2581,35.0,2022
607455,0.0335,0.2778,17.0,2022
607457,0.0,,,2022
607481,-0.0034,0.3636,43.0,2022
607536,0.0548,0.3293,92.0,2022
607572,0.0472,0.1667,12.0,2022
607625,0.0528,0.36,37.0,2022
607644,-0.0223,0.3023,33.0,2022
607755,0.0907,0.75,9.0,2022
608032,0.0377,0.3548,28.0,2022
608328,-0.2023,0.1111,12.0,2022
608331,-0.0268,0.2874,94.0,2022
