name,team,fpts,W,ERA,K,WHIP,SV,year
Andres Munoz,SEA,282.5,3,2.12,77,0.96,22.0,2024
Mitchell Parker,WAS,280.5,7,4.29,133,1.3,,2024
Andrew Abbott,CIN,280.0,10,3.72,114,1.3,,2024
Alexis Diaz,TEX,277.5,2,3.99,55,1.3,28.0,2024
Albert Suarez,BAL,273.0,9,3.7,108,1.29,,2024
Craig Kimbrel,NYM,271.5,7,5.33,73,1.36,23.0,2024
Marcus Stroman,NYY,270.5,10,4.31,113,1.47,1.0,2024
Michael Lorenzen,COL,270.5,7,3.31,97,1.24,,2024
Camilo Doval,NYY,270.0,5,4.88,78,1.58,23.0,2024
Hector Neris,HOU,269.0,10,4.1,64,1.4,18.0,2024
Javier Assad,CHC,268.0,7,3.73,124,1.4,,2024
Bowden Francis,TOR,268.0,8,3.3,92,0.93,,2024
Evan Phillips,LAD,263.5,5,3.62,63,1.19,18.0,2024
Jhoan Duran,PHI,263.0,6,3.64,66,1.16,23.0,2024
Ryan Feltner,COL,261.0,3,4.49,138,1.34,,2024
Dean Kremer,BAL,260.5,8,4.1,123,1.24,,2024
Griffin Jax,TB,260.5,5,2.03,95,0.87,10.0,2024
Jared Jones,PIT,260.0,6,4.14,132,1.19,,2024
Austin Gomber,TEX,260.0,5,4.75,116,1.31,,2024
Andrew Heaney,LAD,257.5,5,4.28,159,1.25,,2024
Bailey Falter,KC,257.5,8,4.43,97,1.29,,2024
Luke Weaver,NYM,256.5,7,2.89,103,0.93,4.0,2024
Matt Waldron,SD,254.5,7,4.91,133,1.26,,2024
Frankie Montas,NYM,254.0,7,4.84,148,1.37,,2024
Pete Fairbanks,MIA,254.0,3,3.57,44,1.17,23.0,2024
Simeon Woods Richardson,MIN,252.5,5,4.17,117,1.29,,2024
Yoshinobu Yamamoto,LAD,251.5,7,3.0,105,1.11,,2024
Spencer Arrighetti,HOU,250.5,7,4.53,171,1.41,,2024
Nick Lodolo,CIN,247.0,9,4.76,122,1.2,,2024
Michael Kopech,LAD,245.0,6,3.46,88,1.15,15.0,2024
Jason Adam,SD,243.5,7,1.95,81,0.86,4.0,2024
Mitch Spence,KC,243.0,8,4.58,126,1.38,,2024
Trevor Megill,MIL,241.0,1,2.72,50,1.01,21.0,2024
Cole Sands,MIN,239.5,9,3.28,85,1.0,4.0,2024
