id,name,bbe,gb_rate,air_rate,fb_rate,ld_rate,pu_rate,pull_rate,straight_rate,oppo_rate,pull_gb_rate,straight_gb_rate,oppo_gb_rate,pull_air_rate,straight_air_rate,oppo_air_rate,season
645277,"Albies, Ozzie",166,0.3674698795180723,0.6325301204819277,0.3072289156626506,0.23493975903614459,0.09036144578313253,0.41566265060240964,0.3493975903614458,0.23493975903614459,0.1746987951807229,0.1686746987951807,0.024096385542168676,0.24096385542168675,0.1807228915662651,0.21084337349397592,2026
686948,"Baldwin, Drake",145,0.4413793103448276,0.5586206896551724,0.2482758620689655,0.2620689655172414,0.04827586206896552,0.32413793103448274,0.45517241379310347,0.2206896551724138,0.16551724137931034,0.2206896551724138,0.05517241379310345,0.1586206896551724,0.23448275862068968,0.16551724137931034,2026
643289,"Dubón, Mauricio",141,0.3829787234042553,0.6170212765957447,0.2624113475177305,0.2765957446808511,0.07801418439716312,0.3120567375886525,0.40425531914893614,0.28368794326241137,0.1773049645390071,0.15602836879432624,0.04964539007092199,0.1347517730496454,0.2482269503546099,0.23404255319148937,2026
686527,"Canzone, Dominic",76,0.3684210526315789,0.6315789473684211,0.2894736842105263,0.27631578947368424,0.06578947368421052,0.39473684210526316,0.34210526315789475,0.2631578947368421,0.18421052631578946,0.13157894736842105,0.05263157894736842,0.2105263157894737,0.2105263157894737,0.21052631578947367,2026
668227,"Arozarena, Randy",133,0.5413533834586466,0.45864661654135336,0.19548872180451127,0.24812030075187969,0.015037593984962405,0.37593984962406013,0.3458646616541353,0.2781954887218045,0.22556390977443608,0.21804511278195488,0.09774436090225563,0.15037593984962405,0.12781954887218044,0.18045112781954886,2026
670042,"Raley, Luke",75,0.4266666666666667,0.5733333333333333,0.29333333333333333,0.25333333333333335,0.02666666666666667,0.5333333333333333,0.28,0.18666666666666668,0.25333333333333335,0.14666666666666667,0.02666666666666667,0.27999999999999997,0.13333333333333336,0.16,2026
701358,"Smith, Cam",107,0.42990654205607476,0.5700934579439252,0.27102803738317754,0.22429906542056074,0.07476635514018691,0.2897196261682243,0.411214953271028,0.29906542056074764,0.17757009345794392,0.19626168224299065,0.056074766355140186,0.11214953271028036,0.21495327102803738,0.24299065420560745,2026
683737,"Busch, Michael",129,0.4263565891472868,0.5736434108527132,0.37209302325581395,0.16279069767441862,0.03875968992248062,0.40310077519379844,0.32558139534883723,0.2713178294573643,0.23255813953488372,0.12403100775193798,0.06976744186046512,0.17054263565891473,0.20155038759689925,0.2015503875968992,2026
608348,"Kelly, Carson",93,0.4838709677419355,0.5161290322580645,0.22580645161290322,0.21505376344086022,0.07526881720430108,0.3763440860215054,0.3870967741935484,0.23655913978494625,0.25806451612903225,0.20430107526881722,0.021505376344086023,0.11827956989247312,0.18279569892473116,0.21505376344086022,2026
691718,"Crow-Armstrong, Pete",128,0.4375,0.5625,0.2890625,0.1640625,0.109375,0.4296875,0.34375,0.2265625,0.25,0.140625,0.046875,0.1796875,0.203125,0.1796875,2026
