batter,PA_apr,wOBA,xwOBA_curr,xwOBA_fix,HR_apr,year
405395,37,0.46818181818181814,0.3722072072072072,0.33486936936936934,2.0,2022
408234,80,0.3970149253731344,0.33088383169934643,0.33088383169934643,2.0,2022
425877,52,0.25833333333333336,0.2320673076923077,0.2320673076923077,0.0,2022
429664,50,0.38023255813953494,0.3635988095238096,0.345962065337763,1.0,2022
435559,41,0.26805555555555555,0.2391219512195122,0.20461463414634148,1.0,2022
443558,105,0.29946808510638295,0.35464249639249634,0.3482430254930255,4.0,2022
444482,88,0.34210526315789475,0.33138956876456876,0.31115681623931624,3.0,2022
444489,21,0.2,0.26564150943396225,0.26564150943396225,0.0,2022
444876,78,0.2746478873239437,0.27018028846153846,0.27018028846153846,1.0,2022
453568,96,0.4708860759493671,0.3861830357142857,0.3620734838044413,6.0,2022
455117,59,0.249,0.29091923728813557,0.2828636228813559,1.0,2022
455139,55,0.342,0.23805974025974025,0.23805974025974025,1.0,2022
456715,59,0.24814814814814815,0.21017554479418885,0.21017554479418885,0.0,2022
457705,100,0.33406593406593404,0.35093802704240207,0.32823683386058383,2.0,2022
457759,88,0.2455128205128205,0.268375307504995,0.260412603542291,1.0,2022
458015,95,0.313953488372093,0.3301901052631579,0.3301901052631579,1.0,2022
462101,86,0.35974025974025975,0.3607500444281031,0.3467192051965561,2.0,2022
467793,79,0.29044117647058826,0.34078830659495213,0.33610994065709254,1.0,2022
474832,88,0.36645569620253166,0.3440087121212121,0.312249292243354,4.0,2022
476704,39,0.44999999999999996,0.3566153846153846,0.3386482577251808,1.0,2022
488726,87,0.3763513513513514,0.3487717805711266,0.3370923343851287,2.0,2022
488771,31,0.26296296296296295,0.30335104364326376,0.30335104364326376,0.0,2022
492802,9,,0.30000000000000004,0.30000000000000004,0.0,2022
493329,77,0.3159420289855073,0.2611421150278293,0.2611421150278293,0.0,2022
500743,64,0.261864406779661,0.2740216079059829,0.25926024426961924,1.0,2022
500871,97,0.38,0.32191079154951574,0.3066676138660713,2.0,2022
502054,91,0.4,0.3718703058845916,0.3500162682424849,4.0,2022
502110,77,0.4245901639344262,0.299489414899988,0.29881914072971383,1.0,2022
502671,92,0.36590909090909096,0.3322803261964693,0.32221003634139683,2.0,2022
503556,20,0.4227272727272728,0.24678333333333335,0.24678333333333335,0.0,2022
514888,51,0.40750000000000003,0.3321568627450981,0.320161568627451,2.0,2022
