player_name,mlbam_id,year,signal,luck_score,woba_actual,xwoba_actual,predicted_direction,actual_woba_change,correct,PA_apr,wOBA,xwOBA_curr,xwOBA_fix,HR_apr
Willy Adames,642715,2022,Slight Buy,0.0272,0.3468,0.3914,IMPROVED,-0.0202,False,106,0.36947368421052634,0.39629290822908264,0.37219450286548583,5.0
Ozzie Albies,645277,2022,Slight Buy,0.0389,0.3327,0.3458,IMPROVED,-0.0402,False,107,0.36020408163265305,0.37974699599465955,0.34265579468671753,6.0
Cedric Mullins,656775,2022,Slight Buy,0.0292,0.2995,0.3218,IMPROVED,0.0223,True,103,0.3298913043478261,0.32208051849799174,0.3136139016197244,2.0
Kyle Schwarber,656941,2022,Buy Low,0.0418,0.3076,0.3165,IMPROVED,0.0453,True,98,0.40783132530120486,0.37530984650270366,0.3517453895142345,7.0
Alex Verdugo,657077,2022,Buy Low,0.0613,0.2844,0.3408,IMPROVED,0.0319,True,101,0.30511363636363636,0.3238984094015644,0.3176787205755389,3.0
Ryan Mountcastle,663624,2022,Buy Low,0.0551,0.2719,0.3683,IMPROVED,0.0563,True,90,0.316025641025641,0.36250358622131024,0.3514362461539702,3.0
Ke'Bryan Hayes,663647,2022,Sell High,-0.0751,0.3877,0.3581,DECLINED,-0.0986,True,81,0.39249999999999996,0.3663394608356002,0.3663394608356002,0.0
Kyle Tucker,663656,2022,Buy Low,0.0879,0.3145,0.4127,IMPROVED,0.0344,True,93,0.3597560975609756,0.433779775398157,0.40538591651677,4.0
Trent Grisham,663757,2022,Slight Buy,0.0381,0.2465,0.2867,IMPROVED,0.0485,True,98,0.3017857142857143,0.3066969387755102,0.2932361439312567,2.0
Myles Straw,664702,2022,Sell High,-0.0871,0.3565,0.2774,DECLINED,-0.1035,True,107,0.389247311827957,0.27094392523364486,0.27094392523364486,0.0
Jeremy Peña,665161,2022,Slight Buy,0.0229,0.3645,0.3634,IMPROVED,-0.0295,False,91,0.43614457831325304,0.4258660183226021,0.4010023978161245,6.0
Juan Soto,665742,2022,Buy Low,0.0421,0.3725,0.4119,IMPROVED,0.0219,True,111,0.4155,0.4139263441239986,0.40850702630994395,4.0
Bo Bichette,666182,2022,Buy Low,0.0516,0.2464,0.3087,IMPROVED,0.0989,True,109,0.27783505154639176,0.31037930392669105,0.3030259094312782,2.0
Adolis García,666969,2022,Slight Buy,0.0325,0.2977,0.3175,IMPROVED,0.0394,True,99,0.3568965517241379,0.3744165478862701,0.3323621584859211,5.0
Randy Arozarena,668227,2022,Slight Sell,-0.0478,0.2716,0.1999,DECLINED,0.074,False,88,0.2981481481481481,0.20860227272727272,0.20860227272727272,0.0
Bryan Reynolds,668804,2022,Slight Buy,0.0283,0.2963,0.3164,IMPROVED,0.0703,True,95,0.3798780487804878,0.35013492481203007,0.3463538800949743,3.0
Austin Hays,669720,2022,Slight Sell,-0.0546,0.3912,0.3331,DECLINED,-0.0599,True,89,0.3911764705882353,0.34234138096610006,0.3189971765708588,2.0
Seiya Suzuki,673548,2022,Slight Sell,-0.0645,0.4161,0.3527,DECLINED,-0.0975,True,93,0.48703703703703705,0.39694129513131765,0.3654335971053562,5.0
Carlos Santana,467793,2023,Slight Sell,-0.0499,0.354,0.3335,DECLINED,-0.0355,True,107,0.3640186915887851,0.3644203841674333,0.3424911371634199,2.0
Jean Segura,516416,2023,Buy Low,0.0504,0.2095,0.2799,IMPROVED,0.0687,True,87,0.22857142857142856,0.29289129403040415,0.29289129403040415,0.0
Freddie Freeman,518692,2023,Slight Buy,0.0254,0.3664,0.3994,IMPROVED,0.0786,True,120,0.3855932203389831,0.4177146182001329,0.39958326476448985,4.0
Yasmani Grandal,518735,2023,Slight Sell,-0.0436,0.3441,0.2875,DECLINED,-0.0375,True,85,0.3423529411764706,0.3058735294117647,0.2858035143089494,2.0
Jon Berti,542932,2023,Slight Buy,0.0366,0.2871,0.3272,IMPROVED,0.0489,True,87,0.3,0.34788497709187366,0.3312180351474011,2.0
Robbie Grossman,543257,2023,Slight Sell,-0.044,0.3374,0.2969,DECLINED,-0.0464,True,83,0.32108433734939756,0.30971358451212977,0.28519812874968603,2.0
Marcus Semien,543760,2023,Slight Sell,-0.0463,0.3705,0.3046,DECLINED,-0.0173,True,123,0.37398373983739835,0.3534697134213867,0.31072487063328075,5.0
George Springer,543807,2023,Buy Low,0.049,0.2779,0.325,IMPROVED,0.0622,True,114,0.2530701754385965,0.3244435560053981,0.3152443452041002,3.0
Mike Trout,545361,2023,Slight Sell,-0.047,0.4246,0.4026,DECLINED,-0.0712,True,120,0.43291666666666667,0.41398801105684435,0.3912982212814024,7.0
Elías Díaz,553869,2023,Sell High,-0.0804,0.3815,0.3252,DECLINED,-0.0626,True,83,0.40853658536585363,0.355289156626506,0.3494135111876076,2.0
Max Muncy,571970,2023,Slight Buy,0.0235,0.4374,0.4281,IMPROVED,-0.1084,False,93,0.48516483516483516,0.5134126858842369,0.4480062637228359,11.0
Michael Taylor,572191,2023,Slight Sell,-0.0596,0.3188,0.2809,DECLINED,-0.0284,True,89,0.32670454545454547,0.31696510816488405,0.2842337236666932,4.0
Mike Yastrzemski,573262,2023,Sell High,-0.073,0.375,0.3195,DECLINED,-0.0745,True,100,0.3825,0.3656686507936508,0.32581874085838486,5.0
