"last_name, first_name",pitcher_id,attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,ev50,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95percent,barrels,brl_percent,brl_pa
"Webb, Logan",657277,617,2.5,32.1,120.4,89.8,77.9,95.2,86.8,464,133,426.0,285,46.2,43,7.0,5.1
"Lugo, Seth",607625,598,10.7,32.8,115.1,88.5,77.3,93.1,84.5,445,163,407.0,233,39.0,48,8.0,5.7
"Nola, Aaron",605400,570,12.0,35.4,120.5,88.5,77.3,93.8,84.0,441,162,394.0,218,38.2,41,7.2,5.0
"Kirby, George",669923,568,14.8,30.5,113.9,89.0,78.8,91.9,88.1,433,164,402.0,206,36.3,46,8.1,5.9
"Corbin, Patrick",571578,568,10.0,37.3,116.3,90.8,79.9,93.8,88.9,440,161,406.0,265,46.7,47,8.3,6.2
"Mikolas, Miles",571945,567,13.6,38.1,113.0,88.8,77.5,93.6,85.4,440,167,400.0,240,42.3,46,8.1,6.4
"Berríos, José",621244,565,13.4,36.3,114.5,89.6,79.1,92.6,87.7,436,169,392.0,236,41.8,44,7.8,5.6
"Sánchez, Cristopher",650911,557,2.4,30.0,120.0,87.4,75.2,92.0,84.8,450,126,401.0,192,34.5,30,5.4,4.0
"Sears, JP",676664,557,18.1,32.5,114.4,89.3,78.2,94.2,85.6,448,180,402.0,224,40.2,57,10.2,7.5
"Irvin, Jake",663623,557,11.4,32.9,115.6,88.8,77.5,93.9,84.5,462,165,403.0,218,39.1,51,9.2,6.6
"Burnes, Corbin",669203,553,11.0,26.8,114.5,87.5,76.7,91.3,85.7,434,143,406.0,175,31.6,37,6.7,4.7
"Anderson, Tyler",542881,543,17.6,34.1,113.8,87.2,76.3,91.9,82.4,438,173,403.0,179,33.0,43,7.9,5.6
"Gilbert, Logan",669302,542,12.6,33.0,114.9,89.6,79.0,93.7,86.9,459,162,398.0,213,39.3,39,7.2,4.9
"Gomber, Austin",596295,541,15.0,37.5,113.0,90.2,80.0,93.3,87.7,476,188,414.0,223,41.2,52,9.6,7.5
"Keller, Mitch",656605,540,12.4,38.0,115.3,88.8,77.9,92.9,85.3,448,170,403.0,212,39.3,39,7.2,5.0
"Canning, Griffin",656288,537,14.3,32.2,114.7,90.5,80.4,93.7,87.6,464,172,399.0,225,41.9,46,8.6,6.2
"Gausman, Kevin",592332,535,16.1,35.5,117.5,90.2,79.5,94.3,86.5,477,181,404.0,223,42.4,52,9.7,6.9
"Pfaadt, Brandon",694297,528,14.1,33.0,115.5,89.4,78.7,91.8,88.1,472,167,401.0,208,39.4,43,8.1,5.7
"Singer, Brady",663903,528,8.9,35.4,114.7,88.9,77.3,92.7,86.2,451,158,409.0,220,41.7,42,8.0,5.5
"Severino, Luis",622663,527,12.7,30.2,114.7,87.1,75.3,90.9,85.9,442,152,404.0,187,35.6,30,5.7,3.9
"Rea, Colin",607067,526,15.2,36.3,114.3,90.4,80.2,93.0,88.9,438,175,391.0,221,42.0,46,8.7,6.4
"Crawford, Kutter",676710,524,19.8,33.4,116.7,88.4,77.7,93.1,84.4,473,185,394.0,190,36.3,52,9.9,6.9
"Houck, Tanner",656557,524,3.8,30.2,113.8,89.4,78.5,93.9,87.1,422,134,395.0,219,41.8,30,5.7,4.0
"López, Pablo",641154,523,13.3,35.9,113.0,87.9,76.7,91.8,84.2,467,163,393.0,196,37.5,43,8.2,5.6
"Eflin, Zach",621107,523,13.3,30.0,115.3,88.1,76.4,92.5,85.6,450,159,404.0,189,36.1,39,7.5,5.7
"Flexen, Chris",623167,519,17.3,36.8,115.1,88.7,77.9,93.6,84.3,449,181,389.0,194,37.4,42,8.1,5.9
"Taillon, Jameson",592791,515,15.9,32.2,114.0,89.7,79.7,92.4,87.7,433,172,397.0,200,38.8,37,7.2,5.5
"Fedde, Erick",607200,515,14.9,32.4,116.5,88.6,77.5,91.5,88.1,437,162,397.0,194,37.7,39,7.6,5.4
"Quintana, Jose",500779,508,10.7,32.9,114.2,88.0,76.4,92.8,84.8,461,159,397.0,194,38.2,34,6.7,4.7
"Cortes, Nestor",641482,505,22.4,34.9,117.4,89.7,79.1,92.8,88.9,432,190,388.0,220,43.6,40,7.9,5.6
"Bassitt, Chris",605135,504,14.3,36.1,117.2,87.8,75.6,91.0,86.7,444,165,395.0,187,37.1,38,7.5,5.0
"Wheeler, Zack",554430,503,13.5,32.4,114.3,86.5,74.9,90.8,84.4,443,155,397.0,169,33.6,42,8.3,5.3
"Gibson, Kyle",502043,499,12.0,34.3,112.7,88.2,76.6,92.3,85.3,448,162,399.0,195,39.1,46,9.2,6.4
"Feltner, Ryan",663372,495,11.9,33.1,111.3,88.1,76.7,91.6,85.7,478,162,421.0,182,36.8,32,6.5,4.6
