"last_name, first_name",batter_id,attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,ev50,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95percent,barrels,brl_percent,brl_pa
"Kwan, Steven",680757,570,10.7,37.4,105.2,86.0,94.1,87.6,85.2,407,149,386.0,107,18.8,6,1.1,0.8
"Semien, Marcus",543760,565,19.1,37.5,108.6,88.4,98.1,91.2,85.2,433,194,393.0,209,37.0,37,6.5,4.9
"Acuña Jr., Ronald",660670,562,7.4,33.6,121.2,94.7,106.4,98.4,91.6,470,162,420.0,310,55.2,86,15.3,11.7
"Ramírez, José",608070,544,18.0,36.8,111.6,90.0,100.1,92.2,90.6,431,179,402.0,220,40.4,38,7.0,5.5
"Arraez, Luis",650333,544,11.5,44.7,104.0,88.3,95.7,90.4,85.8,410,168,381.0,140,25.7,19,3.5,3.1
"Hoerner, Nico",663538,542,10.5,33.2,109.2,86.6,97.3,89.2,86.5,404,147,380.0,181,33.4,10,1.8,1.5
"Bregman, Alex",608324,537,17.6,35.8,107.5,88.6,98.1,91.9,87.1,416,183,381.0,205,38.2,29,5.4,4.0
"Witt Jr., Bobby",677951,529,15.7,34.4,113.8,90.7,102.1,94.4,88.3,442,180,411.0,241,45.6,61,11.5,8.8
"McNeil, Jeff",643446,526,14.4,31.9,109.0,86.0,96.0,89.7,84.7,400,154,376.0,144,27.4,7,1.3,1.1
"Freeman, Freddie",518692,521,15.2,46.6,110.6,90.0,100.6,93.5,85.1,442,190,400.0,220,42.2,58,11.1,7.9
"Guerrero Jr., Vladimir",665489,506,10.5,32.4,116.7,92.1,104.1,95.3,91.3,450,160,404.0,249,49.2,56,11.1,8.2
"Torres, Gleyber",650402,504,15.1,37.1,112.4,89.7,99.6,93.4,85.6,454,178,394.0,203,40.3,40,7.9,6.0
"Albies, Ozzie",645277,497,16.6,37.4,110.7,88.7,98.7,92.8,84.3,425,187,388.0,194,39.0,41,8.2,6.2
"Stott, Bryson",681082,494,10.1,36.4,108.0,88.1,97.4,91.3,86.3,424,156,386.0,174,35.2,23,4.7,3.6
